Sample,Group,Shannon,Chao1,Observed_OTUs
Sham-1_Lung,Sham,1.4539428323793633,27.166666666666668,27
Sham-2_Lung,Sham,1.5095418719917337,36.0,26
Sham-3_Lung,Sham,1.5542964742602725,21.166666666666668,21
Sham-4_Lung,Sham,1.5697131293288291,39.0,37
Sham-5_Lung,Sham,1.4349399755916057,38.0,37
Sham-6_Lung,Sham,1.4820768806856446,25.0,24
AP-1_Lung,AP,1.6244873690193335,32.25,32
AP-2_Lung,AP,1.6102153529047014,39.0,39
AP-3_Lung,AP,1.6128580929587617,31.125,31
AP-4_Lung,AP,1.4914033399677753,27.0,25
AP-5_Lung,AP,1.4434945108825876,34.166666666666664,34
AP-6_Lung,AP,1.5378460159555083,31.0,28
AP-GiExo-1_Lung,AP-GiNV,1.647993785500267,28.166666666666668,28
AP-GiExo-2_Lung,AP-GiNV,1.7440000358623107,38.5,38
AP-GiExo-3_Lung,AP-GiNV,1.5154340391234327,22.0,22
AP-GiExo-4_Lung,AP-GiNV,1.5223836586826067,29.25,29
AP-GiExo-5_Lung,AP-GiNV,1.5464999914181259,27.25,27
AP-GiExo-6_Lung,AP-GiNV,1.5392272978479338,29.1,29
