,Escherichia-Shigella,unclassified,Bacillus,Enterobacter,Acinetobacter,Ralstonia,Sphingomonas,Clostridium_sensu_stricto_1,Bosea,Massilia,Staphylococcus,Brevundimonas,Bradyrhizobium,Lactobacillus,Pseudomonas,Ochrobactrum,uncultured,Dadabacteriales,Streptococcus,Stenotrophomonas,Micrococcus,Neomicrococcus,Desulfovibrio,Methylobacterium-Methylorubrum,Hydrocarboniphaga,Delftia,Aquabacterium,Sulfuritalea,Acetobacter,Streptomyces,Group
Sham-1_Lung.1,0.5673604388512424,0.15295256534365922,0.10648596321394001,0.05566311713455955,0.045740561471442405,0.03589867699257826,0.015972894482091004,0.010003226847370122,0.0033075185543723785,0.0,0.00048402710551790907,0.00048402710551790907,0.00032268473701193933,0.00032268473701193933,0.0,0.0,0.00016134236850596972,0.0,0.0,0.00048402710551790907,0.0008873830267828333,0.0,0.0,0.00032268473701193933,0.0,0.0,0.0005646982897708939,0.00040335592126492415,0.0,0.0,Sham
Sham-2_Lung.1,0.5625201677960633,0.15674411100354954,0.09672474991932882,0.05525976121329461,0.04259438528557599,0.03130041949015812,0.02113585027428203,0.006373023555985802,0.006131010003226848,0.0,0.0004033559212649241,0.0,0.001210067763794772,0.001048725395288803,0.0,0.001774766053565666,0.0004033559212649241,0.009761213294611165,0.00451758631816715,0.001048725395288803,0.0,0.0,0.0,0.0,0.0004033559212649241,0.0,0.0,8.067118425298483e-05,0.0,8.067118425298483e-05,Sham
Sham-3_Lung.1,0.5121006776379478,0.1515004840271055,0.1389964504678929,0.04953210713133269,0.0717973539851565,0.02315262988060665,0.03202646014843498,0.007744433688286544,0.002178121974830591,0.0,0.0006453694740238787,0.0001613423685059697,0.0004033559212649241,0.00701839303000968,0.001371410132300742,0.0002420135527589545,0.0,0.0,0.0,0.0,0.0001613423685059697,0.0,0.0,0.0,0.0,0.0002420135527589545,0.0003226847370119393,0.0,0.0,0.0,Sham
Sham-4_Lung.1,0.5434010971281058,0.1713455953533398,0.08115521135850275,0.06284285253307519,0.05582445950306551,0.03452726686027751,0.02468538238141336,0.00451758631816715,0.005404969344949984,0.0,0.0,0.001371410132300742,0.001371410132300742,0.001452081316553727,0.000484027105517909,0.001210067763794772,0.00016134236850596966,0.000484027105517909,0.0,0.000968054211035818,0.00233946434333656,0.0,0.001210067763794772,0.0,0.0002420135527589545,0.0,0.0,0.0003226847370119393,0.0,0.0,Sham
Sham-5_Lung.1,0.5888189738625363,0.18546305259761214,0.0217812197483059,0.06364956437560504,0.04985479186834463,0.03646337528234914,0.02847692804130365,0.006776379477250726,0.002662149080348499,0.0,0.000484027105517909,0.0004033559212649241,0.001774766053565666,0.0,0.0008067118425298483,0.000968054211035818,0.002097450790577606,0.0001613423685059697,0.0,0.0,0.0,0.0,0.0006453694740238787,0.0,0.0,0.0007260406582768635,0.0003226847370119393,0.0,0.0007260406582768635,0.0,Sham
Sham-6_Lung.1,0.5401742497579864,0.1719102936431107,0.1143110680864795,0.05671184252984834,0.04799935463052597,0.03307518554372378,0.01944175540496934,0.007502420135527589,0.001774766053565666,0.0,0.0,0.001290738948047757,0.0004033559212649241,0.0002420135527589545,0.0008067118425298483,0.0,0.00032268473701193933,0.0,0.0,0.0003226847370119393,0.0,0.0,0.0,0.000484027105517909,0.0004033559212649241,0.0004033559212649241,0.0,0.0,0.0,0.0,Sham
AP-1_Lung.1,0.4982252339464343,0.1624717650855115,0.1419812842852533,0.05453372055501775,0.05283962568570506,0.03412391093901258,0.02968699580509842,0.0127460471119716,0.002258793159083575,0.0,0.001290738948047757,0.0015327525008067117,0.000484027105517909,0.0,0.001210067763794772,0.0008873830267828332,0.0,0.0,0.0003226847370119393,0.0015327525008067117,0.000484027105517909,0.0,0.0,0.0003226847370119393,0.0004033559212649241,0.0,0.0,0.0005646982897708938,0.0,0.0,AP
AP-2_Lung.1,0.5187963859309456,0.15408196192320106,0.13012262020006454,0.06026137463697968,0.054533720555017755,0.031300419490158125,0.022749273959341725,0.00863181671506938,0.0011293965795417882,0.0,0.0005646982897708939,0.00032268473701193933,0.0016134236850596972,0.00032268473701193933,0.00040335592126492415,0.0,0.0019361084220716363,0.0,0.0,0.0012907389480477573,0.0,0.0,0.0,0.0,0.00048402710551790907,0.0,0.0,0.0,0.0,0.0022587931590835756,AP
AP-3_Lung.1,0.5065343659244917,0.17045821232655697,0.1231848983543078,0.05969667634720878,0.05396902226524685,0.04057760567925137,0.01992578251048725,0.008067118425298484,0.00233946434333656,0.0001613423685059697,0.0,0.0003226847370119393,0.001129396579541788,0.0002420135527589545,0.002178121974830591,0.000968054211035818,0.001371410132300742,0.0,0.002258793159083575,0.0004033559212649241,0.0005646982897708938,0.0,0.001774766053565666,0.0,0.0,0.0001613423685059697,0.001855437237818651,0.0,0.0003226847370119393,0.0,AP
AP-4_Lung.1,0.5534849951597289,0.16432720232333015,0.09987092610519523,0.05525976121329461,0.05154888673765731,0.03307518554372378,0.02242658922232978,0.006695708292997741,0.004275572765408196,0.0,0.002097450790577606,0.0004033559212649241,0.0007260406582768635,0.0,0.001452081316553727,0.0006453694740238787,0.0,0.0,0.0,0.0,0.0,0.0,0.0007260406582768635,0.0,0.0,0.0,0.0,8.067118425298483e-05,0.0,0.0,AP
AP-5_Lung.1,0.5912391093901259,0.16940948693126814,0.023555985801871578,0.056308486608583425,0.058970635688931926,0.04630525976121331,0.024927395934172317,0.014036786060019363,0.0025814778960955155,0.00024201355275895456,0.0006453694740238788,0.0004033559212649242,0.0004840271055179091,0.0007260406582768636,0.0012100677637947722,0.0005646982897708939,0.00016134236850596972,0.0,0.0008067118425298485,0.0005646982897708939,0.0007260406582768636,0.0,0.0007260406582768636,0.0,0.0,0.0,0.0,0.0008067118425298485,0.0,0.0,AP
AP-6_Lung.1,0.5398515650209745,0.16376250403355924,0.1047111971603743,0.05840593739916102,0.0484027105517909,0.03718941594062601,0.024766053565666343,0.008712487899322363,0.001855437237818651,0.0,8.067118425298483e-05,0.001048725395288803,0.0005646982897708938,0.004275572765408197,0.001129396579541788,0.000968054211035818,0.0004033559212649241,0.0,0.0,0.0,0.0005646982897708938,0.0,0.0,0.0008873830267828332,0.0,0.0,0.0,0.0,0.0,0.0,AP
AP-GiNV-1_Lung.1,0.5075830913197806,0.17666989351403678,0.11963536624717651,0.057841239109390125,0.052516940948693136,0.035011293965795415,0.025411423039690222,0.008470474346563409,0.0027428202646014844,0.00016134236850596972,0.0012100677637947722,0.0006453694740238788,0.0012907389480477573,0.0,0.00016134236850596972,0.0,0.002662149080348501,0.0,0.0,0.0,0.0007260406582768636,0.0,0.0,0.0006453694740238788,0.0,0.0014520813165537273,0.0,0.0,0.0005646982897708939,0.0,AP-GiNV
AP-GiNV-2_Lung.1,0.49257825104872527,0.1669086802194256,0.10737334624072281,0.05388835108099386,0.04340109712810583,0.031865117779929,0.020490480800258146,0.007825104872539528,0.004275572765408195,0.044691836076153596,0.000403355921264924,0.006776379477250724,0.0010487253952888027,0.000403355921264924,0.0010487253952888027,0.0016940948693126806,0.000887383026782833,0.0006453694740238785,0.00024201355275895446,0.0004840271055179089,0.0005646982897708937,0.007260406582768633,0.0,0.0003226847370119392,0.0,0.0,0.0,0.0,0.0,0.0008067118425298481,AP-GiNV
