,Proteobacteria,Firmicutes,unclassified,Actinobacteriota,Dadabacteria,Desulfobacterota,Patescibacteria,Chloroflexi,Bacteroidota,Acidobacteriota,Group
Sham-1_Lung.1,0.8809293320425944,0.11729590190383996,0.000484027105517909,0.0008873830267828332,0.0,0.0001613423685059697,0.0,0.0,0.0002420135527589545,0.0,Sham
Sham-2_Lung.1,0.8806873184898354,0.1090674411100355,0.0002420135527589545,0.00016134236850596966,0.009761213294611165,8.067118425298483e-05,0.0,0.0,0.0,0.0,Sham
Sham-3_Lung.1,0.845272668602775,0.154404646660213,0.0,0.00032268473701193933,0.0,0.0,0.0,0.0,0.0,0.0,Sham
Sham-4_Lung.1,0.89972571797354,0.0878509196515005,0.004840271055179091,0.003146176185866409,0.0004840271055179091,0.0012100677637947722,0.001129396579541788,0.0,0.00024201355275895456,8.067118425298485e-05,Sham
Sham-5_Lung.1,0.9637786382704098,0.02928363988383349,0.002904162633107454,0.0006453694740238787,0.0001613423685059697,0.0006453694740238787,0.0002420135527589545,0.001452081316553727,0.0,0.0007260406582768635,Sham
Sham-6_Lung.1,0.8766537592771863,0.12262020006453694,0.0,0.0,0.0,0.0,0.0,8.067118425298483e-05,0.0,0.0,Sham
AP-1_Lung.1,0.8376895772829945,0.15650209745079058,0.003307518554372378,0.0016134236850596966,0.0,0.0,0.0,0.0008873830267828332,0.0,0.0,AP
AP-2_Lung.1,0.8497095837366893,0.14181994191674732,0.001129396579541788,0.0033881897386253625,0.0,0.0,0.0,0.0,0.0008873830267828332,0.0007260406582768634,AP
AP-3_Lung.1,0.8590674411100355,0.13391416585995478,0.003549532107131333,0.0008873830267828332,0.0,0.001774766053565666,0.0003226847370119393,0.0,0.000484027105517909,0.0,AP
AP-4_Lung.1,0.8898838334946758,0.10890609874152953,0.0,0.0,0.0,0.0007260406582768635,0.0,0.0,0.0,0.0,AP
AP-5_Lung.1,0.952646014843498,0.0415456598902872,0.0014520813165537273,0.0018554372378186516,0.0,0.0008873830267828334,0.0016134236850596966,0.0,0.0,0.0,AP
AP-6_Lung.1,0.8796385930945466,0.11777992900935785,8.067118425298483e-05,0.0008067118425298483,0.0,0.0,0.000484027105517909,0.0004033559212649241,0.0,0.000484027105517909,AP
AP-GiExo-1_Lung.1,0.8467247499193288,0.12979993546305257,0.01895772829945144,0.002258793159083575,0.0,0.0,0.0001613423685059697,0.0,0.0,0.0,AP-GiNV
AP-GiExo-2_Lung.1,0.8700387221684416,0.1162471765085512,0.0012907389480477573,0.009277186189093258,0.0006453694740238788,0.0,0.0,0.0006453694740238788,0.0012100677637947724,0.00024201355275895456,AP-GiNV
AP-GiExo-3_Lung.1,0.8710874475637302,0.12850919651500486,0.0,0.00040335592126492415,0.0,0.0,0.0,0.0,0.0,0.0,AP-GiNV
AP-GiExo-4_Lung.1,0.9088415617941271,0.0856727976766699,0.004598257502420136,0.0,0.0001613423685059697,0.0,0.0,0.0,0.0,0.000484027105517909,AP-GiNV
AP-GiExo-5_Lung.1,0.9233623749596644,0.05679251371410133,0.01895772829945144,0.00048402710551790896,0.0,0.0,0.0,0.0,8.067118425298483e-05,0.0,AP-GiNV
AP-GiExo-6_Lung.1,0.8732655695385608,0.12076476282671833,0.004194901581155212,0.001048725395288803,0.0,0.0,0.0007260406582768635,0.0,0.0,0.0,AP-GiNV
