Genus,Mean_AP,Mean_GiNV,Fold_Change
Escherichia-Shigella,0.5346886092287835,0.5283424760675487,0.988131160732247
unclassified,0.16408518877057118,0.17451866193395715,1.0635857096034083
Bacillus,0.10390448531784446,0.09396848445735184,0.9043737060041409
Enterobacter,0.057410992793374215,0.06114875766376251,1.0651053864168618
Acinetobacter,0.05337743358072497,0.05020436700010756,0.9405541561712845
Ralstonia,0.037095299558997534,0.03478272561041196,0.937658571946357
Sphingomonas,0.02408034849951597,0.022251801656448317,0.9240647682858739
Clostridium_sensu_stricto_1,0.009814994084113156,0.006588146713993762,0.6712328767123288
Bosea,0.002406690330214048,0.0036302032913843175,1.5083798882681563
Massilia,6.722598687748737e-05,0.007650317306658063,113.8
Staphylococcus,0.0007798214477788534,0.004759599870926105,6.103448275862069
Brevundimonas,0.0006722598687748735,0.0017478756588146713,2.6000000000000005
Bradyrhizobium,0.0008336022372808434,0.0011025061847907928,1.32258064516129
Lactobacillus,0.0009277186189093258,9.411638162848228e-05,0.10144927536231879
Pseudomonas,0.0012638485532967625,0.0004436915133914166,0.351063829787234
Ochrobactrum,0.0006722598687748735,0.0005915886845218887,0.8800000000000001
uncultured,0.0006453694740238787,0.0007260406582768637,1.1250000000000004
Dadabacteriales,0.0,0.00013445197375497472,inf
Streptococcus,0.0005646982897708938,0.00045713671076691415,0.8095238095238098
Stenotrophomonas,0.0006319242766483811,0.0002823491448854469,0.44680851063829785
Micrococcus,0.00038991072388942674,0.0003899107238894267,0.9999999999999999
Neomicrococcus,0.0,0.0012100677637947722,inf
Desulfovibrio,0.0005378078950198989,0.0,0.0
Methylobacterium-Methylorubrum,0.00020167796063246207,0.00045713671076691415,2.266666666666667
Hydrocarboniphaga,0.0001478971711304722,0.0003899107238894267,2.6363636363636362
Delftia,2.689039475099495e-05,0.00044369151339141664,16.5
Aquabacterium,0.0003092395396364418,0.00012100677637947725,0.39130434782608703
Sulfuritalea,0.00024201355275895454,0.000228568355383457,0.9444444444444442
Acetobacter,5.378078950198988e-05,0.0003764655265139293,7.000000000000003
Streptomyces,0.0003764655265139293,0.0001344519737549747,0.357142857142857
