Sample,Sham,AP,AP-GiNV
AP-1_Lung,,1.6244873690193335,
AP-2_Lung,,1.6102153529047014,
AP-3_Lung,,1.6128580929587617,
AP-4_Lung,,1.4914033399677753,
AP-5_Lung,,1.4434945108825876,
AP-6_Lung,,1.5378460159555083,
AP-GiNV-1_Lung,,,1.647993785500267
AP-GiNV-2_Lung,,,1.7440000358623107
AP-GiNV-3_Lung,,,1.5154340391234327
AP-GiNV-4_Lung,,,1.5223836586826067
AP-GiNV-5_Lung,,,1.5464999914181259
AP-GiNV-6_Lung,,,1.5392272978479338
Sham-1_Lung,1.4539428323793633,,
Sham-2_Lung,1.5095418719917337,,
Sham-3_Lung,1.5542964742602725,,
Sham-4_Lung,1.5697131293288291,,
Sham-5_Lung,1.4349399755916057,,
Sham-6_Lung,1.4820768806856446,,
