Sample,Group,Shannon,Chao1,Observed_OTUs
Sham-1_Stool,Sham,2.9648953026115343,79.6,78
Sham-2_Stool,Sham,2.903930819536934,86.1,86
Sham-3_Stool,Sham,2.935143831202915,75.25,75
Sham-4_Stool,Sham,2.697593139642255,90.66666666666667,88
Sham-5_Stool,Sham,2.6097258151708616,84.1,84
Sham-6_Stool,Sham,3.0370576961486027,72.16666666666667,72
AP-1_Stool,AP,2.5337289356750867,73.16666666666667,73
AP-2_Stool,AP,1.847555422543468,70.0,66
AP-3_Stool,AP,1.883196222378785,79.64285714285714,79
AP-4_Stool,AP,2.2514681209205523,73.0,71
AP-5_Stool,AP,1.9815082670099555,78.75,78
AP-6_Stool,AP,1.9594853949076159,63.5,62
AP-GiExo-1_Stool,AP-GiNV,1.498546876823958,60.5,60
AP-GiExo-2_Stool,AP-GiNV,2.5004359984137987,111.01666666666667,111
AP-GiExo-3_Stool,AP-GiNV,3.1591294531129694,88.5,88
AP-GiExo-4_Stool,AP-GiNV,2.8361858295439686,85.0,84
AP-GiExo-5_Stool,AP-GiNV,2.8789964922774915,80.0,78
AP-GiExo-6_Stool,AP-GiNV,3.215925288875447,75.0,75
