,Muribaculaceae,Lachnospiraceae_NK4A136_group,Bacteroides,uncultured,unclassified,Clostridia_UCG-014,Desulfovibrio,Clostridia_vadinBB60_group,Candidatus_Arthromitus,Oscillibacter,Prevotellaceae_UCG-001,Lactobacillus,Anaeroplasma,Colidextribacter,Parasutterella,Anaerotruncus,Helicobacter,Blautia,Butyricicoccus,ASF356,Streptococcus,Lachnospiraceae_FCS020_group,Roseburia,Alistipes,Mucispirillum,Lachnospiraceae_UCG-001,Akkermansia,GCA-900066575,Candidatus_Saccharimonas,Parabacteroides,Group
Sham-1_Stool.1,0.3802032913843176,0.13294611164891904,0.14069054533720554,0.05542110358180058,0.03557599225556632,0.017102291061632788,0.0008873830267828333,0.053081639238464026,0.0009680542110358181,0.018151016456921593,0.010890609874152952,0.0018554372378186508,0.021135850274282032,0.014440141981284288,0.0010487253952888031,0.015569538560826072,0.03323652791222976,0.0052436269764440145,0.00500161342368506,0.025895450145208134,0.0,0.0036302032913843184,0.0025008067118425306,0.0014520813165537266,0.0020974507905776063,0.0,0.0,0.00032268473701193933,0.0038722168441432726,0.00016134236850596972,Sham
Sham-2_Stool.1,0.3180058083252663,0.15892223297838012,0.18062278154243303,0.051064859632139394,0.03041303646337529,0.05767989674088416,0.001532752500806712,0.01710229106163278,0.0002420135527589545,0.024201355275895453,0.04816069699903194,0.002178121974830591,0.01879638593094547,0.015085511455308162,0.007744433688286544,0.008309131978057438,0.002984833817360439,0.004114230396902226,0.00233946434333656,0.003710874475637302,0.0,0.0,0.001613423685059697,0.005566311713455953,0.004920942239432075,0.00233946434333656,0.001048725395288803,0.0008067118425298483,0.001210067763794772,0.002904162633107454,Sham
Sham-3_Stool.1,0.41029364311068084,0.11552113585027429,0.11479509519199745,0.0648596321393998,0.021539206195546952,0.009680542110358181,0.00250080671184253,0.04517586318167151,0.0005646982897708938,0.01250403355921265,0.01040658276863504,0.006534365924491771,0.0617134559535334,0.01419812842852533,0.001452081316553727,0.01919974185221039,0.03323652791222975,0.003388189738625363,0.00451758631816715,0.01250403355921265,0.0,0.001290738948047757,0.003710874475637302,0.001290738948047757,0.001129396579541788,0.005969667634720878,0.0001613423685059697,0.000484027105517909,0.009922555663117135,0.0002420135527589545,Sham
Sham-4_Stool.1,0.4130364633752825,0.14077121652145855,0.1691674733785092,0.05050016134236852,0.04453049370764764,0.044127137786382706,0.0020974507905776063,0.012665375927718622,0.0004840271055179091,0.01589222329783801,0.004275572765408197,0.0019361084220716365,0.022668602775088743,0.012988060664730563,0.007341077767021622,0.004275572765408197,0.0028234914488544692,0.00782510487253953,0.0020974507905776063,0.0045982575024201364,0.0,0.0008067118425298485,0.002016779606324621,0.0033075185543723785,0.003307518554372379,0.0012907389480477573,0.003226847370119394,0.0014520813165537273,0.0012100677637947722,0.0018554372378186514,Sham
Sham-5_Stool.1,0.46853823814133594,0.08502742820264601,0.14044853178444658,0.047757341077767024,0.041707002258793154,0.048402710551790906,0.002662149080348499,0.021458535011293963,0.0006453694740238787,0.01363343013875444,0.01613423685059697,0.001855437237818651,0.02597612132946112,0.011293965795417877,0.01605356566634398,0.009196515004840271,0.002662149080348499,0.0016940948693126812,0.0026621490803484995,0.003388189738625363,0.0003226847370119393,0.0035495321071313327,0.001936108422071636,0.0025008067118425306,0.005243626976444015,0.001613423685059697,0.000968054211035818,0.0006453694740238787,0.002097450790577606,0.001290738948047757,Sham
Sham-6_Stool.1,0.32897708938367215,0.18812520167796065,0.11769925782510489,0.11495643756050339,0.02613746369796708,0.004920942239432075,0.00250080671184253,0.043159083575346875,0.0,0.023233301064859636,0.004759599870926105,0.0018554372378186508,0.007099064214262665,0.024604711197160376,0.001129396579541788,0.02121652145853501,0.03517263633430139,0.003630203291384317,0.002016779606324621,0.007744433688286544,0.0,0.001290738948047757,0.006857050661503711,0.0024201355275895453,0.0090351726363343,0.0008067118425298483,0.0,0.0008067118425298483,0.0,0.0,Sham
AP-1_Stool.1,0.6200387221684415,0.02049048080025815,0.0025814778960955155,0.06615037108744758,0.08978702807357213,0.008631816715069377,0.04920942239432076,0.0,0.0011293965795417882,0.01032591158438206,0.0,0.037189415940626004,0.0,0.017828331719909652,0.0041949015811552125,0.0026621490803484995,0.0012100677637947722,0.00040335592126492415,0.015569538560826072,0.0045982575024201364,0.00048402710551790907,0.011697321716682805,0.0024201355275895453,0.00040335592126492415,0.0,0.0012907389480477573,0.00024201355275895454,0.0032268473701193936,0.00040335592126492415,0.0,AP
AP-2_Stool.1,0.7854953210713134,0.013472087770248468,0.001048725395288803,0.011616650532429815,0.008793159083575346,0.009438528557599225,0.04356243949661181,0.0,0.02113585027428203,0.0025814778960955146,0.0002420135527589545,0.02621813488222007,0.0,0.0003226847370119393,0.03606001936108422,0.001532752500806712,0.0,0.0,0.002258793159083575,0.0006453694740238787,0.01669893514036786,0.000968054211035818,0.001048725395288803,0.0,0.000484027105517909,0.000484027105517909,0.002984833817360439,0.0008873830267828332,0.0004033559212649241,0.0,AP
AP-3_Stool.1,0.7948531784446596,0.014278799612778316,0.001694094869312681,0.022991287512100677,0.0451758631816715,0.024443368828654402,0.01669893514036786,8.067118425298483e-05,0.0006453694740238787,0.0019361084220716356,0.000968054211035818,0.017586318167150693,0.0,0.003549532107131333,0.01887705711519845,0.000484027105517909,0.0,0.001774766053565666,0.002904162633107454,0.001452081316553727,0.0008067118425298483,0.003307518554372378,0.002097450790577606,0.0001613423685059697,0.000484027105517909,0.0033075185543723776,0.002984833817360439,0.002662149080348499,0.0008873830267828332,0.000484027105517909,AP
AP-4_Stool.1,0.6463375282349145,0.015166182639561149,0.0002420135527589545,0.02912229751532753,0.03162310422717006,0.013956114875766378,0.1732010325911584,0.0,0.001210067763794772,0.002097450790577606,0.0,0.003307518554372378,0.0,0.004114230396902226,0.001774766053565666,0.0,0.0,0.0008067118425298483,0.021942562116811875,0.001532752500806712,0.0006453694740238787,0.014198128428525332,0.011132623426911908,0.0002420135527589545,0.0,0.003630203291384318,0.0005646982897708938,0.006373023555985802,0.004033559212649242,0.0,AP
AP-5_Stool.1,0.7694417554049694,0.035575992255566326,0.00548564052920297,0.032429816069699906,0.022103904485317846,0.04090029041626332,0.020974507905776065,0.0,0.00024201355275895454,0.0035495321071313327,0.0029041626331074545,0.00500161342368506,0.0,0.007260406582768636,0.016134236850596975,0.0010487253952888031,0.0,0.0016940948693126812,0.004920942239432076,0.0006453694740238788,8.067118425298485e-05,0.0019361084220716363,0.0030655050016134243,0.00032268473701193944,0.0,0.00048402710551790907,0.0039528880283962575,0.0021781219748305916,0.0006453694740238788,0.00048402710551790907,AP
AP-6_Stool.1,0.7925943852855759,0.013714101323007417,0.001210067763794772,0.027831558567279764,0.04517586318167151,0.0038722168441432717,0.05614714424007745,0.0,0.0005646982897708938,0.002984833817360438,0.0,0.0025008067118425293,0.0,0.004194901581155211,0.001855437237818651,0.0007260406582768635,0.001048725395288803,0.0,0.007502420135527589,0.000968054211035818,0.0001613423685059697,0.007179735398515651,0.008228460793804453,0.0003226847370119393,0.0,0.006534365924491772,0.0,0.002984833817360439,0.001210067763794772,0.0,AP
AP-GiExo-1_Stool.1,0.8274443368828657,0.020490480800258157,0.02299128751210068,0.016940948693126817,0.01145530816392385,0.04783801226202002,0.004517586318167151,0.002016779606324621,0.0021781219748305916,0.004033559212649243,0.006695708292997743,0.01314940303323653,0.0012100677637947722,0.0019361084220716365,0.0027428202646014844,0.0004840271055179091,0.0,0.0008067118425298485,0.0012907389480477573,0.0004840271055179091,0.0,0.0,0.0004840271055179091,0.0008067118425298485,0.0,0.0,0.0016940948693126815,0.0011293965795417882,0.0008873830267828334,0.0012100677637947722,AP-GiNV
AP-GiExo-2_Stool.1,0.38835108099386917,0.03267182962245886,0.023555985801871574,0.01928041303646338,0.07260406582768637,0.018715714746692483,0.006695708292997742,0.004920942239432076,0.23112294288480154,0.004114230396902227,0.0028234914488544692,0.09511132623426913,0.008389803162310425,0.0037108744756373037,0.0027428202646014844,0.0065343659244917725,0.0,0.0014520813165537273,0.0029041626331074545,0.0009680542110358181,0.043804453049370765,0.0,0.0005646982897708939,0.001532752500806712,0.0022587931590835756,0.0,0.0011293965795417882,0.0,0.0,0.0013714101323007422,AP-GiNV
AP-GiExo-3_Stool.1,0.27266860277508875,0.17892868667312034,0.1580348499515973,0.042191029364311065,0.03686673120361406,0.11310100032268469,0.003710874475637301,0.020651823168764117,0.0007260406582768634,0.03162310422717005,0.03783478541464988,0.0037915456598902864,0.012100677637947716,0.013552758954501448,0.007341077767021619,0.0025008067118425297,0.0,0.008389803162310422,0.0023394643433365596,0.0038722168441432713,0.00016134236850596966,0.0011293965795417878,0.0018554372378186506,0.007502420135527587,0.0016134236850596966,0.0005646982897708937,0.0077444336882865426,0.0012907389480477569,0.0008067118425298481,0.007986447241045497,AP-GiNV
AP-GiExo-4_Stool.1,0.28823814133591474,0.2002258793159083,0.19554695062923522,0.08325266214908035,0.03589867699257824,0.04549854791868344,0.0011293965795417878,0.022103904485317846,0.0011293965795417878,0.02767021619877379,0.03154243304291706,0.001290738948047757,0.006050338818973861,0.021377863827040978,0.00016134236850596966,0.005001613423685058,0.0,0.00871248789932236,0.0009680542110358178,0.0026621490803484986,0.0,0.0003226847370119392,0.0010487253952888027,0.003549532107131332,0.0003226847370119392,0.000887383026782833,0.0003226847370119392,0.0009680542110358178,0.00024201355275895446,0.0010487253952888027,AP-GiNV
AP-GiExo-5_Stool.1,0.2756534365924492,0.28775411423039693,0.08930300096805423,0.0883349467570184,0.05195224265892224,0.012423362374959664,0.0045982575024201364,0.06300419490158117,0.0015327525008067121,0.01710229106163279,0.019361084220716362,0.0032268473701193936,0.0020167796063246214,0.01750564698289771,0.0012100677637947722,0.008389803162310425,0.0,0.029525653436592452,0.0022587931590835764,0.0038722168441432726,0.0,0.0024201355275895453,0.0,0.00250080671184253,0.0011293965795417882,0.00040335592126492415,0.00048402710551790907,0.000564698289770894,0.00016134236850596972,0.0014520813165537273,AP-GiNV
AP-GiExo-6_Stool.1,0.1911100354953211,0.30663117134559537,0.10914811229428849,0.0916424653113908,0.04912875121006777,0.01879638593094547,0.006857050661503712,0.029122297515327522,0.0014520813165537273,0.04493384962891256,0.030977734753146184,0.0008873830267828332,0.033639883833494685,0.02516940948693127,0.0022587931590835756,0.006373023555985803,0.0,0.005969667634720879,0.0016940948693126817,0.00048402710551790907,0.0,0.0,0.0017747660535656663,0.0039528880283962575,0.0056469828977089385,0.007099064214262666,0.0012907389480477573,0.0019361084220716363,0.00040335592126492415,0.007744433688286545,AP-GiNV
