,Bacteroidota,Firmicutes,Desulfobacterota,Proteobacteria,Campilobacterota,unclassified,Deferribacterota,Verrucomicrobiota,Patescibacteria,Actinobacteriota,Group
Sham-1_Stool.1,0.5382381413359147,0.420216198773798,0.0008873830267828332,0.001048725395288803,0.03323652791222975,0.0004033559212649241,0.002097450790577606,0.0,0.003872216844143272,0.0,Sham
Sham-2_Stool.1,0.5552597612132947,0.42400774443368827,0.001532752500806712,0.007744433688286544,0.002984833817360439,0.001129396579541788,0.004920942239432075,0.001048725395288803,0.001210067763794772,0.0001613423685059697,Sham
Sham-3_Stool.1,0.5403355921264925,0.41005162955792196,0.0025008067118425306,0.0014520813165537273,0.03323652791222976,0.0012100677637947722,0.0011293965795417882,0.00016134236850596972,0.009922555663117137,0.0,Sham
Sham-4_Stool.1,0.5923685059696677,0.38714101323007427,0.0020974507905776063,0.007341077767021621,0.0028234914488544692,0.00040335592126492415,0.0033075185543723785,0.0032268473701193936,0.0012100677637947722,8.067118425298485e-05,Sham
Sham-5_Stool.1,0.6293159083575347,0.34019038399483703,0.002662149080348499,0.01605356566634398,0.002662149080348499,0.0,0.005243626976444015,0.000968054211035818,0.002097450790577606,0.0008067118425298483,Sham
Sham-6_Stool.1,0.45708292997741207,0.4945143594707971,0.00250080671184253,0.0012907389480477577,0.03517263633430139,0.0004033559212649241,0.0090351726363343,0.0,0.0,0.0,Sham
AP-1_Stool.1,0.6249596644078735,0.308325266214908,0.04920942239432075,0.007663762504033559,0.001210067763794772,0.001613423685059697,0.0,0.0002420135527589545,0.0004033559212649241,0.006373023555985802,AP
AP-2_Stool.1,0.7868667312036141,0.12132946111648918,0.04356243949661181,0.04267505646982898,0.0,0.0,0.000484027105517909,0.002984833817360439,0.0004033559212649241,0.0016940948693126815,AP
AP-3_Stool.1,0.7981606969990319,0.15868021942562116,0.01669893514036786,0.019603097773475315,0.0,0.0003226847370119393,0.000484027105517909,0.002984833817360439,0.0008873830267828332,0.0021781219748305903,AP
AP-4_Stool.1,0.6473862536302034,0.17263633430138758,0.17320103259115843,0.0019361084220716359,0.0,0.0,0.0,0.0005646982897708939,0.004033559212649243,0.00024201355275895454,AP
AP-5_Stool.1,0.7786382704098097,0.17658922232978383,0.020974507905776065,0.01637625040335593,0.0,0.0,0.0,0.0039528880283962575,0.0006453694740238788,0.00250080671184253,AP
AP-6_Stool.1,0.7949338496289127,0.1425459825750242,0.05614714424007746,0.0019361084220716363,0.0010487253952888031,0.00016134236850596972,0.0,0.0,0.0012100677637947722,0.002016779606324622,AP
AP-GiExo-1_Stool.1,0.8591481122942886,0.13012262020006454,0.00451758631816715,0.003630203291384317,0.0,0.0,0.0,0.001694094869312681,0.0008873830267828332,0.0,AP-GiNV
AP-GiExo-2_Stool.1,0.41844143272023243,0.49943530171022904,0.007260406582768635,0.011293965795417877,0.0001613423685059697,0.05429170700225879,0.002258793159083575,0.001613423685059697,0.000484027105517909,0.0017747660535656665,AP-GiNV
AP-GiExo-3_Stool.1,0.484027105517909,0.493949661181026,0.003710874475637301,0.007341077767021619,0.0,0.00024201355275895446,0.0016134236850596966,0.0077444336882865426,0.0008067118425298481,0.0005646982897708937,AP-GiNV
AP-GiExo-4_Stool.1,0.5199257825104873,0.4771700548564053,0.001129396579541788,0.0004033559212649242,0.0,0.000484027105517909,0.0003226847370119393,0.0003226847370119393,0.0002420135527589545,0.0,AP-GiNV
AP-GiExo-5_Stool.1,0.388270409809616,0.6036624717650856,0.0045982575024201364,0.0012100677637947722,0.0,0.00048402710551790907,0.0011293965795417882,0.00048402710551790907,0.00016134236850596972,0.0,AP-GiNV
AP-GiExo-6_Stool.1,0.3429332042594385,0.6399645046789285,0.006857050661503709,0.0022587931590835747,0.0,0.0006453694740238785,0.005646982897708937,0.0012907389480477569,0.000403355921264924,0.0,AP-GiNV
