PCoA1,PCoA2,Sample,Group
0.18415790222396092,-0.06903240748260207,Sham-1_Stool,Sham
0.2196457568921845,0.05006262841279341,Sham-2_Stool,Sham
0.1440031256732076,-0.06393250459396689,Sham-3_Stool,Sham
0.10731939145511711,0.053923062711401175,Sham-4_Stool,Sham
0.03657968304691652,0.030560036389802467,Sham-5_Stool,Sham
0.24831747542965166,-0.08338779685888367,Sham-6_Stool,Sham
-0.21633430935090814,-0.06963752758493263,AP-1_Stool,AP
-0.353977754488569,0.005204117114833033,AP-2_Stool,AP
-0.2992088309905789,-0.017285795715750053,AP-3_Stool,AP
-0.2659432248077516,-0.09456120248991631,AP-4_Stool,AP
-0.2664578761041277,-0.018240795579663557,AP-5_Stool,AP
-0.3095232350946463,-0.11804293405239706,AP-6_Stool,AP
-0.255350331316268,0.030200179495144048,AP-GiExo-1_Stool,AP-GiExo
-0.12652441282857013,0.3777912194638119,AP-GiExo-2_Stool,AP-GiExo
0.26686178801349264,-0.01076385086833026,AP-GiExo-3_Stool,AP-GiExo
0.26705885683869784,0.028773215540846556,AP-GiExo-4_Stool,AP-GiExo
0.2639875459779717,-0.018877208614341355,AP-GiExo-5_Stool,AP-GiExo
0.35538844943021913,-0.012752435287848597,AP-GiExo-6_Stool,AP-GiExo
