Phylum,Sham-1_Stool,Sham-2_Stool,Sham-3_Stool,Sham-4_Stool,Sham-5_Stool,Sham-6_Stool,AP-1_Stool,AP-2_Stool,AP-3_Stool,AP-4_Stool,AP-5_Stool,AP-6_Stool,AP-GiExo-1_Stool,AP-GiExo-2_Stool,AP-GiExo-3_Stool,AP-GiExo-4_Stool,AP-GiExo-5_Stool,AP-GiExo-6_Stool
Bacteroidota,0.5382381413359149,0.5552597612132946,0.5403355921264924,0.5923685059696676,0.6293159083575347,0.45708292997741207,0.6249596644078735,0.7868667312036141,0.7981606969990319,0.6473862536302033,0.7786382704098096,0.7949338496289126,0.8591481122942884,0.4184414327202323,0.484027105517909,0.5199257825104873,0.388270409809616,0.3429332042594385
Firmicutes,0.420216198773798,0.42400774443368827,0.4100516295579219,0.3871410132300742,0.34019038399483703,0.494514359470797,0.308325266214908,0.12132946111648919,0.15868021942562116,0.17263633430138756,0.1765892223297838,0.1425459825750242,0.13012262020006454,0.4994353017102291,0.4939496611810261,0.4771700548564053,0.6036624717650855,0.6399645046789287
Desulfobacterota,0.0008873830267828332,0.001532752500806712,0.0025008067118425297,0.002097450790577606,0.0026621490803484995,0.0025008067118425297,0.049209422394320745,0.04356243949661181,0.01669893514036786,0.17320103259115843,0.020974507905776058,0.05614714424007745,0.00451758631816715,0.007260406582768635,0.0037108744756373024,0.0011293965795417876,0.004598257502420136,0.006857050661503711
Proteobacteria,0.001048725395288803,0.007744433688286544,0.001452081316553727,0.0073410777670216195,0.016053565666343982,0.0012907389480477573,0.007663762504033559,0.04267505646982898,0.019603097773475315,0.001936108422071636,0.01637625040335592,0.001936108422071636,0.0036302032913843175,0.011293965795417877,0.0073410777670216195,0.00040335592126492415,0.0012100677637947724,0.002258793159083575
Campilobacterota,0.03323652791222975,0.002984833817360439,0.03323652791222975,0.0028234914488544692,0.0026621490803484995,0.035172636334301385,0.0012100677637947724,0.0,0.0,0.0,0.0,0.001048725395288803,0.0,0.00016134236850596966,0.0,0.0,0.0,0.0
unclassified,0.00040335592126492415,0.0011293965795417876,0.0012100677637947724,0.00040335592126492415,0.0,0.00040335592126492415,0.0016134236850596966,0.0,0.00032268473701193933,0.0,0.0,0.00016134236850596966,0.0,0.05429170700225879,0.0002420135527589545,0.000484027105517909,0.000484027105517909,0.0006453694740238787
Deferribacterota,0.002097450790577606,0.004920942239432075,0.0011293965795417876,0.003307518554372378,0.0052436269764440145,0.0090351726363343,0.0,0.000484027105517909,0.000484027105517909,0.0,0.0,0.0,0.0,0.002258793159083575,0.0016134236850596966,0.00032268473701193933,0.0011293965795417876,0.0056469828977089385
Verrucomicrobiota,0.0,0.001048725395288803,0.00016134236850596966,0.003226847370119393,0.000968054211035818,0.0,0.0002420135527589545,0.002984833817360439,0.002984833817360439,0.0005646982897708938,0.003952888028396257,0.0,0.0016940948693126815,0.0016134236850596966,0.007744433688286544,0.00032268473701193933,0.000484027105517909,0.0012907389480477573
Patescibacteria,0.003872216844143272,0.0012100677637947724,0.009922555663117135,0.0012100677637947724,0.002097450790577606,0.0,0.00040335592126492415,0.00040335592126492415,0.0008873830267828332,0.004033559212649242,0.0006453694740238787,0.0012100677637947724,0.0008873830267828332,0.000484027105517909,0.0008067118425298483,0.0002420135527589545,0.00016134236850596966,0.00040335592126492415
Actinobacteriota,0.0,0.00016134236850596966,0.0,8.067118425298483e-05,0.0008067118425298483,0.0,0.006373023555985802,0.0016940948693126815,0.0021781219748305907,0.0002420135527589545,0.0025008067118425297,0.002016779606324621,0.0,0.0017747660535656663,0.0005646982897708938,0.0,0.0,0.0
Others,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0003226847370121355,0.0,0.0,0.002984833817360477,0.0,0.0,0.0,0.0
