Genus,Mean1,Mean2,Log2FC
1013-28-CG33,0.0,0.0,0.0
A2,0.0004302463160159191,0.00048402710551790896,0.13937263576069045
AKYG587,0.0,0.0,0.0
ASF356,0.009640206518231687,0.0016403140798106916,-2.4846046644331783
Acetatifactor,0.0006722598687748735,0.0016940948693126812,1.2160978726321778
Acidobacteriales,0.0,0.0,0.0
Acinetobacter,2.6890394750994945e-05,0.00032268473701193933,1.7359991528088616
Akkermansia,0.0009008282241583307,0.001788211250941164,0.9158258004735599
Alistipes,0.0027562654619769818,0.00024201355275895448,-3.0620046698730494
Anaeroplasma,0.026231580079595567,0.0,-8.040650285583318
Anaerotruncus,0.012961170269979562,0.001075615790039798,-3.473795620345894
Anaerovorax,6.722598687748736e-05,0.0,-0.7417990592972126
Aquamicrobium,0.0,1.3445197375497473e-05,0.18199553479947617
Arcticibacter,0.0,0.0,0.0
Aurantimicrobium,0.0,0.0,0.0
Bacteroides,0.14390394750994948,0.0020436700010756158,-6.069881717057128
Bifidobacterium,0.00017478756588146715,0.0005915886845218888,1.3315975406332035
Blautia,0.004315908357534689,0.0007798214477788534,-2.3274275564889337
Brevundimonas,0.0,0.0001478971711304722,1.309741808256724
Butyricicoccus,0.0031058405937399165,0.009183069807464774,1.5338992762453145
CL500-29_marine_group,0.0,0.0,0.0
Candidatus_Arthromitus,0.000484027105517909,0.004154565989028719,2.8649047359082163
Candidatus_Saccharimonas,0.003052059804237927,0.0012638485532967625,-1.208611456249655
Candidatus_Stoquefichus,6.722598687748736e-05,2.6890394750994945e-05,-0.3982161939761753
Cetobacterium,0.0,5.378078950198989e-05,0.6208752911981117
Clostridia_UCG-014,0.030318920081746803,0.016873722706249327,-0.8416659221300022
Clostridia_vadinBB60_group,0.032107131332687965,1.3445197375497473e-05,-8.149240821550952
Colidextribacter,0.015435086587071099,0.006211681187479831,-1.2994340429477642
Coriobacteriaceae_UCG-002,0.0,0.0,0.0
Curvibacter,0.0,0.0,0.0
Cytophaga,0.0,0.0,0.0
Delftia,0.0,1.3445197375497473e-05,0.18199553479947617
Desulfovibrio,0.002030224803700119,0.05996558029471872,4.817460920415403
Devosia,0.0,1.3445197375497473e-05,0.18199553479947617
Dubosiella,0.0005781434871463914,0.0011159513821662902,0.8424230781338342
Ellin6067,0.0,0.0,0.0
Enterorhabdus,0.0,0.0014789717113047219,3.980913419140623
Erysipelatoclostridium,0.00020167796063246207,2.6890394750994945e-05,-1.2494264375683852
Erysipelotrichaceae,2.6890394750994945e-05,6.722598687748736e-05,0.3982161939761754
Escherichia-Shigella,0.0,0.000712595460901366,3.022537305802844
Faecalibaculum,0.0,1.3445197375497473e-05,0.18199553479947617
Family_XIII_AD3011_group,0.0,4.0335592126492416e-05,0.48888095387785263
Family_XIII_UCG-001,8.067118425298483e-05,6.722598687748736e-05,-0.111567365829564
Fenollaria,0.0,0.0,0.0
GCA-900066575,0.0007529310530278583,0.003052059804237927,1.8857938767772946
Geothermobacter,0.0,0.0,0.0
Gitt-GS-136,0.0,0.0,0.0
Harryflintia,4.0335592126492416e-05,0.0,-0.48888095387785263
Helicobacter,0.018352694417554046,0.0003764655265139293,-5.27531584498678
Incertae_Sedis,0.0007798214477788535,0.001734430461439174,1.0600495407733206
Intestinimonas,0.0,0.0,0.0
