Genus,Mean1,Mean2,Log2FC
1013-28-CG33,0.0,4.0335592126492416e-05,0.48888095387785263
A2,0.00048402710551790896,0.00025545875013445197,-0.716353178807223
AKYG587,0.0,2.6890394750994945e-05,0.3435828653210373
ASF356,0.0016403140798106916,0.002057115198451113,0.309755526992484
Acetatifactor,0.0016940948693126812,0.0009277186189093257,-0.8038108597400282
Acidobacteriales,0.0,2.6890394750994945e-05,0.3435828653210373
Acinetobacter,0.00032268473701193933,0.0,-2.079582018129899
Akkermansia,0.001788211250941164,0.0021108959879531032,0.2276109740514946
Alistipes,0.00024201355275895448,0.003307518554372378,3.3165961125718253
Anaeroplasma,0.0,0.010567925137141014,6.737135795605376
Anaerotruncus,0.001075615790039798,0.004880606647305582,2.082904834487937
Anaerovorax,0.0,0.0001478971711304722,1.309741808256724
Aquamicrobium,1.3445197375497473e-05,0.0,-0.18199553479947608
Arcticibacter,0.0,2.6890394750994945e-05,0.3435828653210373
Aurantimicrobium,0.0,2.6890394750994945e-05,0.3435828653210373
Bacteroides,0.0020436700010756158,0.09976336452619124,5.54180077581763
Bifidobacterium,0.0005915886845218888,0.00013445197375497472,-1.5606218398469085
Blautia,0.0007798214477788534,0.009142734215338282,3.3930370214877756
Brevundimonas,0.0001478971711304722,0.00018823276325696459,0.21749252691525503
Butyricicoccus,0.009183069807464774,0.001909218027320641,-2.207967842900908
CL500-29_marine_group,0.0,2.6890394750994945e-05,0.3435828653210373
Candidatus_Arthromitus,0.004154565989028719,0.03969022265246853,3.225330097587011
Candidatus_Saccharimonas,0.0012638485532967625,0.0004168011186404216,-1.4000023532227934
Candidatus_Stoquefichus,2.6890394750994945e-05,0.0,-0.3435828653210374
Cetobacterium,5.378078950198989e-05,0.0,-0.6208752911981117
Clostridia_UCG-014,0.016873722706249327,0.042728837259330965,1.3352794967296453
Clostridia_vadinBB60_group,1.3445197375497473e-05,0.02363665698612456,7.708977418550262
Colidextribacter,0.006211681187479831,0.013875443691513391,1.1467978467819488
Coriobacteriaceae_UCG-002,0.0,4.0335592126492416e-05,0.48888095387785263
Curvibacter,0.0,0.00018823276325696459,1.527234335171979
Cytophaga,0.0,2.6890394750994945e-05,0.3435828653210373
Delftia,1.3445197375497473e-05,0.0,-0.18199553479947608
Desulfovibrio,0.05996558029471872,0.004584812305044639,-3.680475359140593
Devosia,1.3445197375497473e-05,0.0,-0.18199553479947608
Dubosiella,0.0011159513821662902,0.0,-3.604013641012772
Ellin6067,0.0,2.6890394750994945e-05,0.3435828653210373
Enterorhabdus,0.0014789717113047219,2.6890394750994945e-05,-3.6373305538195857
Erysipelatoclostridium,2.6890394750994945e-05,6.722598687748736e-05,0.3982161939761754
Erysipelotrichaceae,6.722598687748736e-05,5.378078950198989e-05,-0.12092376809910099
Escherichia-Shigella,0.000712595460901366,0.000484027105517909,-0.47650197764139535
Faecalibaculum,1.3445197375497473e-05,0.0,-0.18199553479947608
Family_XIII_AD3011_group,4.0335592126492416e-05,2.6890394750994945e-05,-0.14529808855681528
Family_XIII_UCG-001,6.722598687748736e-05,9.411638162848229e-05,0.21512281401923952
Fenollaria,0.0,9.411638162848229e-05,0.9569218733164522
GCA-900066575,0.003052059804237927,0.0009814994084113154,-1.5432620312672647
Geothermobacter,0.0,5.378078950198989e-05,0.6208752911981117
Gitt-GS-136,0.0,4.0335592126492416e-05,0.48888095387785263
Harryflintia,0.0,0.0,0.0
Helicobacter,0.0003764655265139293,0.0,-2.2523718352756794
Incertae_Sedis,0.001734430461439174,0.001304184145423255,-0.38560007293786924
Intestinimonas,0.0,0.00018823276325696459,1.527234335171979
Lachnoclostridium,0.0004436915133914166,0.0007932666451543509,0.7163025833327797
Lachnospiraceae_FCS020_group,0.0065478111218672695,0.0006453694740238787,-3.1568517516909544
Lachnospiraceae_NK4A136_group,0.01878294073356997,0.17111702699795636,3.1806708150546497
Lachnospiraceae_UCG-001,0.0026218134882220073,0.0014924169086802195,-0.7733501142923926
Lachnospiraceae_UCG-004,0.0,1.3445197375497473e-05,0.18199553479947617
Lachnospiraceae_UCG-006,0.0,0.0003899107238894267,2.292518871806035
Lachnospiraceae_UCG-010,2.6890394750994945e-05,0.0002823491448854469,1.5913077822115091
Lactobacillus,0.015300634613316122,0.019576207378724318,0.3534623644162075
Latescibacteraceae,0.0,2.6890394750994945e-05,0.3435828653210373
Luteimonas,0.0,2.6890394750994945e-05,0.3435828653210373
MB-A2-108,0.0,2.6890394750994945e-05,0.3435828653210373
MND1,0.0,8.067118425298483e-05,0.8533664251267769
Marvinbryantia,0.0,0.00020167796063246207,1.5930093028894228
Monoglobus,0.0,2.6890394750994945e-05,0.3435828653210373
Mucispirillum,0.00016134236850596966,0.001828546843067656,2.883501251764483
Muribaculaceae,0.7347934817683123,0.3739109390125847,-0.9744546889985589
Muribaculum,0.000537807895019899,0.0,-2.6731219559087065
Mycobacterium,0.0,4.0335592126492416e-05,0.48888095387785263
NB1-j,0.0,2.6890394750994945e-05,0.3435828653210373
NK4A214_group,5.378078950198989e-05,0.0007394858556523612,2.448630726457222
Negativibacillus,0.00012100677637947724,0.00013445197375497472,0.08520181920784733
Opitutus,0.0,2.6890394750994945e-05,0.3435828653210373
Oscillibacter,0.003912552436269765,0.021579541787673445,2.4337421139482163
Parabacteroides,0.00016134236850596966,0.0034688609228783474,3.7714507445264074
Parasutterella,0.013149403033236529,0.0027428202646014844,-2.22053256530348
Parcubacteria,0.0,8.067118425298483e-05,0.8533664251267769
Pedosphaeraceae,0.0,2.6890394750994945e-05,0.3435828653210373
Peptococcus,0.0002420135527589545,0.0005243626976444015,0.8683308514974498
Prevotellaceae_UCG-001,0.0006857050661503711,0.021539206195546955,4.783515903833169
Pseudomonas,0.00032268473701193933,0.0001478971711304722,-0.7698402098731749
RF39,0.0,5.378078950198989e-05,0.6208752911981117
Roseburia,0.004665483489297623,0.0009546090136603206,-2.175914359872768
Ruminococcus,5.378078950198989e-05,0.0007529310530278586,2.4715538343137915
Rummeliibacillus,1.3445197375497473e-05,0.0,-0.18199553479947608
SWB02,0.0,2.6890394750994945e-05,0.3435828653210373
Sericytochromatia,0.0,2.6890394750994945e-05,0.3435828653210373
Sideroxydans,0.0,0.00013445197375497472,1.2292924245674894
Sphingobium,6.722598687748736e-05,0.0,-0.7417990592972126
Sphingomonas,6.722598687748736e-05,8.067118425298483e-05,0.11156736582956397
Staphylococcus,5.378078950198989e-05,0.00032268473701193933,1.4587067269317873
Stenotrophomonas,0.00017478756588146715,0.0,-1.458316723781194
Streptococcus,0.003146176185866409,0.0073276325696461225,1.1941611456258932
Streptomyces,0.0004302463160159191,0.0,-2.406662692400758
Sulfuricurvum,0.0,2.6890394750994945e-05,0.3435828653210373
Sulfurifustis,0.0,4.0335592126492416e-05,0.48888095387785263
Tannerellaceae,1.3445197375497473e-05,0.0,-0.18199553479947608
Terrimonas,0.0,2.6890394750994945e-05,0.3435828653210373
Terrisporobacter,4.0335592126492416e-05,0.0,-0.48888095387785263
Thiobacillus,0.0,0.00010756157900397978,1.053539416189464
Tuzzerella,0.00020167796063246207,0.0004168011186404216,0.7765998899273262
Tyzzerella,0.0006319242766483811,0.0009546090136603205,0.5269419293469456
UCG-003,0.0,0.00025545875013445197,1.8296821493542252
UCG-005,0.00012100677637947725,0.00016134236850596966,0.2418504262192364
UCG-009,0.0005512530923953964,0.0007394858556523609,0.36628769978754944
UCG-010,0.0,0.00018823276325696459,1.527234335171979
Virgibacillus,2.6890394750994945e-05,0.0,-0.3435828653210374
WX65,0.0,4.0335592126492416e-05,0.48888095387785263
Woesearchaeales,0.0,0.00012100677637947725,1.144090605359642
Zoogloea,2.6890394750994945e-05,0.0,-0.3435828653210374
[Eubacterium]_coprostanoligenes_group,0.00010756157900397978,0.00013445197375497472,0.1757530083780253
