Sample,AP,AP-GiExo,Sham
AP-1_Stool,2.5337289356750867,,
AP-2_Stool,1.847555422543468,,
AP-3_Stool,1.883196222378785,,
AP-4_Stool,2.2514681209205523,,
AP-5_Stool,1.9815082670099555,,
AP-6_Stool,1.9594853949076159,,
AP-GiExo-1_Stool,,1.498546876823958,
AP-GiExo-2_Stool,,2.5004359984137987,
AP-GiExo-3_Stool,,3.1591294531129694,
AP-GiExo-4_Stool,,2.8361858295439686,
AP-GiExo-5_Stool,,2.8789964922774915,
AP-GiExo-6_Stool,,3.215925288875447,
Sham-1_Stool,,,2.9648953026115343
Sham-2_Stool,,,2.903930819536934
Sham-3_Stool,,,2.935143831202915
Sham-4_Stool,,,2.697593139642255
Sham-5_Stool,,,2.6097258151708616
Sham-6_Stool,,,3.0370576961486027
