Sample,GiNV-1,GiNV-2,GiNV-3
Label,GiNV,GiNV,GiNV
A0A8J5HQD9,72.6,75.1,87.6
A0A8J5H111,76.9,75.1,84.7
A0A8J5F485,74.7,76.1,82.8
A0A8J5GLH4,72.6,73.2,82.8
A0A8J5H5C3,83.3,72.2,75.1
A0A8J5LTD2,68.3,66.3,75.1
A0A8J5GC50,74.7,63.4,69.3
A0A8J5KVC4,76.9,64.4,68.4
A0A8J5FKU9,51.3,63.4,68.4
A0A8J5HFD9,56.6,62.4,67.4
A0A8J5LRY7,61.9,62.4,66.4
A0A8J5H8B8,58.7,56.6,61.6
A0A8J5FIH5,77.9,69.3,60.7
A0A8J5LI97,47,52.7,60.7
A0A8J5LU07,73.7,53.7,59.7
A0A8J5LNN6,72.6,51.7,57.8
A0A8J5FU54,50.2,50.7,57.8
A0A8J5EZR6,57.7,70.2,56.8
A0A8J5HR62,47,49.8,56.8
A0A8J5FEC7,41.6,45.9,56.8
A0A8J5LJH3,45.9,44.9,54.9
A0A8J5GP14,36.3,43.9,53.9
A0A8J5LHL8,52.3,63.4,52
A0A8J5FF76,40.6,44.9,52
A0A8J5I603,38.4,42,52
A0A8J5HX36,61.9,50.7,51
A0A8J5FJR1,36.3,36.1,51
A0A8J5KVB3,55.5,50.7,50.1
A0A8J5KED6,48,51.7,49.1
A0A8J5KAR0,35.2,36.1,49.1
A0A8J5BS66,51.3,45.9,48.1
A0A8J5KYW8,51.3,48.8,47.2
A0A8J5C9G6,56.6,46.8,46.2
A0A8J5I6C8,38.4,42.9,46.2
A0A8J5FMM7,53.4,48.8,44.3
A0A8J5LWQ1,33.1,33.2,44.3
A0A8J5HHW0,32,31.2,44.3
A0A8J5KVI7,33.1,34.1,43.3
A0A8J5H198,39.5,42.9,42.4
A0A8J5LBU8,39.5,41,41.4
A0A8J5EU96,47,40,41.4
A0A8J5FPS2,29.9,30.2,41.4
A0A8J5FGX4,29.9,37.1,39.5
A0A8J5L9W1,42.7,42.9,38.5
A0A8J5C6E8,42.7,42,38.5
A0A8J5F921,42.7,40,38.5
A0A8J5I4J9,43.8,38,37.6
A0A8J5I0B8,40.6,38,37.6
A0A8J5LED1,35.2,37.1,37.6
A0A8J5LAV0,27.8,35.1,37.6
A0A8J5GJP1,23.5,32.2,37.6
A0A8J5GS42,41.6,36.1,35.6
A0A8J5GKL0,38.4,40,34.7
A0A8J5H7B7,38.4,39,34.7
A0A8J5FGY6,34.2,32.2,33.7
A0A8J5GAH1,33.1,31.2,33.7
A0A8J5M1V6,29.9,31.2,33.7
A0A8J5EUR7,31,30.2,33.7
A0A8J5IMI9,44.8,40,32.7
A0A8J5EZV6,39.5,36.1,30.8
A0A8J5BMB1,39.5,34.1,30.8
A0A8J5ERY9,29.9,34.1,30.8
A0A8J5GLE0,31,31.2,30.8
A0A8J5LRJ5,40.6,39,29.9
A0A8J5H2M8,32,28.3,29.9
A0A8J5GL10,23.5,25.4,29.9
A0A8J5FXD2,37.4,30.2,28.9
A0A8J5GXJ6,23.5,24.4,28.9
A0A8J5HME3,26.7,36.1,27.9
A0A8J5BTX1,28.8,32.2,27.9
A0A8J5H2J7,37.4,30.2,27.9
A0A8J5HUU0,32,30.2,27.9
A0A8J5FU49,28.8,28.3,27.9
A0A8J5BXJ6,33.1,27.3,27.9
A0A8J5IIH2,27.8,29.3,27
A0A8J5K8A0,35.2,28.3,27
A0A8J5G1M8,31,25.4,27
A0A8J5L3P8,27.8,21.5,27
A0A8J5GSU3,27.8,20.5,27
A0A8J5LHG8,25.6,33.2,26
A0A8J5KLK1,26.7,29.3,26
A0A8J5LZN8,24.6,29.3,26
A0A8J5F2M1,35.2,28.3,26
A0A8J5I962,28.8,26.3,26
A0A8J5I343,28.8,26.3,26
A0A8J5LMS6,29.9,30.2,25
A0A8J5FBM2,27.8,25.4,25
A0A8J5HUD3,33.1,24.4,25
A0A8J5FGG2,26.7,24.4,25
A0A8J5F5D2,29.9,22.4,25
A0A8J5L264,16,19.5,25
A0A8J5FW69,22.4,32.2,24.1
A0A8J5FJT5,22.4,31.2,24.1
A0A8J5F729,29.9,24.4,24.1
A0A8J5LBF0,25.6,24.4,24.1
A0A8J5FTJ8,31,23.4,24.1
A0A8J5F648,24.6,23.4,24.1
A0A8J5EX99,24.6,23.4,24.1
A0A8J5CDB4,24.6,21.5,24.1
A0A8J5LF05,31,23.4,23.1
A0A8J5LAS6,31,23.4,23.1
A0A8J5GBE2,14.9,23.4,23.1
A0A8J5FWV4,27.8,22.4,23.1
A0A8J5HCD3,20.3,20.5,23.1
A0A8J5IMP9,28.8,22.4,22.1
A0A8J5FZT9,20.3,19.5,22.1
A0A8J5FXH6,26.7,21.5,21.2
A0A8J5L8D7,22.4,21.5,21.2
A0A8J5I995,19.2,21.5,20.2
A0A8J5HGG6,21.4,20.5,20.2
A0A8J5FGM1,21.4,18.5,20.2
A0A8J5KFB5,21.4,17.6,20.2
A0A8J5BU40,21.4,17.6,20.2
A0A8J5KP54,17.1,14.6,20.2
A0A8J5GBR1,23.5,11.7,20.2
A0A8J5LB35,28.8,24.4,19.3
A0A8J5LIM4,28.8,21.5,19.3
A0A8J5GQH4,21.4,20.5,19.3
A0A8J5FVS0,35.2,17.6,19.3
A0A8J5EZ36,17.1,8.8,19.3
A0A8J5HPF9,23.5,53.7,18.3
A0A8J5GH08,19.2,19.5,18.3
A0A8J5GXN6,22.4,18.5,18.3
A0A8J5GSN7,18.2,18.5,18.3
A0A8J5LDX9,18.2,16.6,18.3
A0A8J5GAH3,20.3,15.6,18.3
A0A8J5I2Y1,18.2,13.7,18.3
A0A8J5IEQ0,21.4,21.5,17.3
A0A8J5HPY5,18.2,21.5,17.3
A0A8J5L7C2,18.2,19.5,17.3
A0A8J5FE14,19.2,16.6,17.3
A0A8J5C5H4,17.1,16.6,17.3
A0A8J5L255,16,16.6,17.3
A0A8J5HAI2,18.2,15.6,17.3
A0A8J5GEE1,17.1,15.6,17.3
A0A8J5L0T7,9.6,13.7,17.3
A0A8J5I1L5,18.2,12.7,17.3
A0A8J5G8G5,17.1,37.1,16.4
A0A8J5LDQ6,20.3,14.6,16.4
A0A8J5KZ31,13.9,14.6,16.4
A0A8J5HJX2,19.2,13.7,16.4
A0A8J5M6G1,18.2,11.7,16.4
A0A8J5BXM4,24.6,17.6,15.4
A0A8J5L4N4,18.2,17.6,15.4
A0A8J5GXF3,18.2,17.6,15.4
A0A8J5KJB4,22.4,15.6,15.4
A0A8J5FAQ8,14.9,15.6,15.4
A0A8J5KYY3,16,14.6,15.4
A0A8J5LK15,12.8,13.7,15.4
A0A8J5L0R6,10.7,13.7,15.4
A0A8J5GQM4,14.9,12.7,15.4
A0A8J5LD53,12.8,12.7,15.4
A0A8J5GA92,24.6,25.4,14.4
A0A8J5HRM1,18.2,13.7,14.4
A0A8J5HWH8,17.1,13.7,14.4
A0A8J5GT83,13.9,13.7,14.4
A0A8J5GCG7,33.1,12.7,14.4
A0A8J5LMJ6,20.3,17.6,13.5
A0A8J5F8P8,17.1,17.6,13.5
A0A8J5F5C6,22.4,16.6,13.5
A0A8J5HU87,18.2,13.7,13.5
A0A8J5IB55,16,13.7,13.5
A0A8J5GJN2,12.8,13.7,13.5
