PCoA1,PCoA2,Sample,Group
0.41540756,0.005554752,Sham-1,Sham
0.393758865,-0.048362315,Sham-2,Sham
0.406585346,-0.107577044,Sham-3,Sham
-0.198967795,-0.00847181,HS2W-1,HS2W
-0.155977806,-0.090169365,HS2W-2,HS2W
-0.170616891,0.002846895,HS2W-3,HS2W
-0.192425314,0.022579374,HS2W-4,HS2W
-0.185314918,0.042439071,HS2W-5,HS2W
-0.018264837,-0.320184667,HS6W-1,HS6W
-0.127669055,-0.040943611,HS6W-2,HS6W
-0.058841746,-0.268371974,HS6W-3,HS6W
-0.105925474,-0.056906387,HS6W-4,HS6W
-0.045116987,-0.119838721,HS6W-5,HS6W
-0.086604738,-0.087989643,HS6W-6,HS6W
0.344604021,0.162595593,Sham10W-4,Sham10W
0.38211239,0.111951523,Sham10W-5,Sham10W
0.372793933,0.100567915,Sham10W-6,Sham10W
0.384260153,-0.091799836,SS10W-1,SS10W
0.385507729,-0.208806797,SS10W-2,SS10W
0.326366937,0.020045502,SS10W-3,SS10W
0.341777303,-0.08564699,SS10W-4,SS10W
0.258030703,0.349098767,SS10W-5,SS10W
0.286569163,0.265178521,SS10W-6,SS10W
-0.161255929,0.214427705,HFD10W-1,HFD10W
-0.109121372,0.221802059,HFD10W-2,HFD10W
-0.124212333,0.116100449,HFD10W-3,HFD10W
-0.19121458,0.067017741,HFD10W-4,HFD10W
-0.171279869,0.0299926,HFD10W-5,HFD10W
-0.194064232,0.066251947,HFD10W-6,HFD10W
-0.088434575,-0.131160124,HS10W-1,HS10W
-0.104636706,-0.07969772,HS10W-2,HS10W
-0.124947659,-0.022023789,HS10W-3,HS10W
-0.130673239,-0.001879912,HS10W-4,HS10W
-0.070876305,-0.186656327,HS10W-5,HS10W
-0.080271792,-0.184006354,HS10W-6,HS10W
-0.137025591,-0.014069059,HS10WGaE9-1,HS10WGaE9
-0.055909886,-0.206921955,HS10WGaE9-2,HS10WGaE9
-0.146959334,0.062841051,HS10WGaE9-3,HS10WGaE9
-0.003407398,0.076889036,HS10WGaE9-4,HS10WGaE9
-0.064223902,-0.114515812,HS10WGaE9-5,HS10WGaE9
-0.219534588,0.263939409,HS10WGaE10-1,HS10WGaE10
-0.187126923,0.083050898,HS10WGaE10-2,HS10WGaE10
-0.195887558,0.101641782,HS10WGaE10-3,HS10WGaE10
-0.179506907,0.050259128,HS10WGaE10-4,HS10WGaE10
-0.211477864,0.038928492,HS10WGaE10-5,HS10WGaE10
