Image_ID,RPS_2010_TIS,Pathological_Findings,Confidence_1-5
001.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
002.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
003.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
004.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
005.jpg,0,"Normal renal morphology, intact brush border.",4
006.jpg,0,"Normal renal morphology, intact brush border.",5
007.jpg,0,"Normal renal morphology, intact brush border.",4
008.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
009.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
010.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
011.jpg,0,"Normal renal morphology, intact brush border.",4
012.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
013.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
014.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
015.jpg,0,"Normal renal morphology, intact brush border.",4
016.jpg,0,"Normal renal morphology, intact brush border.",5
017.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
018.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
019.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
020.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
021.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
022.jpg,0,"Normal renal morphology, intact brush border.",4
023.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
024.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
025.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
026.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
027.jpg,0,"Normal renal morphology, intact brush border.",5
028.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
029.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
030.jpg,0,"Normal renal morphology, intact brush border.",4
031.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
032.jpg,0,"Normal renal morphology, intact brush border.",4
033.jpg,0,"Normal renal morphology, intact brush border.",4
034.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
035.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
036.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
037.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
038.jpg,0,"Normal renal morphology, intact brush border.",5
039.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
040.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
041.jpg,0,"Normal renal morphology, intact brush border.",5
042.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
043.jpg,0,"Normal renal morphology, intact brush border.",5
044.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
045.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
046.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
047.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
048.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
049.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
050.jpg,0,"Normal renal morphology, intact brush border.",4
051.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
052.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
053.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
054.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
055.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
056.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
057.jpg,0,"Normal renal morphology, intact brush border.",4
058.jpg,0,"Normal renal morphology, intact brush border.",4
059.jpg,0,"Normal renal morphology, intact brush border.",5
060.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
061.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
062.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
063.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
064.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
065.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
066.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
067.jpg,0,"Normal renal morphology, intact brush border.",4
068.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
069.jpg,0,"Normal renal morphology, intact brush border.",5
070.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
071.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
072.jpg,0,"Normal renal morphology, intact brush border.",5
073.jpg,0,"Normal renal morphology, intact brush border.",5
074.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
075.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
076.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
077.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
078.jpg,0,"Normal renal morphology, intact brush border.",5
079.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
080.jpg,0,"Normal renal morphology, intact brush border.",4
081.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
082.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
083.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
084.jpg,0,"Normal renal morphology, intact brush border.",5
085.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
086.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
087.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
088.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
089.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
090.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
091.jpg,0,"Normal renal morphology, intact brush border.",4
092.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
093.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
094.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
095.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
096.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
097.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
098.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
099.jpg,0,"Normal renal morphology, intact brush border.",5
100.jpg,0,"Normal renal morphology, intact brush border.",5
101.jpg,0,"Normal renal morphology, intact brush border.",5
102.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
103.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
104.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
105.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
106.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
107.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
108.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
109.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
110.jpg,0,"Normal renal morphology, intact brush border.",4
111.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
112.jpg,0,"Normal renal morphology, intact brush border.",5
113.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
114.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
115.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
116.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
117.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
118.jpg,0,"Normal renal morphology, intact brush border.",4
119.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
120.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
121.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
122.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
123.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
124.jpg,0,"Normal renal morphology, intact brush border.",5
125.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
126.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
127.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
128.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
129.jpg,0,"Normal renal morphology, intact brush border.",4
130.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
131.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
132.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
133.jpg,0,"Normal renal morphology, intact brush border.",5
134.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
135.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
136.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
137.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
138.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
139.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
140.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
141.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
142.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
143.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
144.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
145.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
146.jpg,0,"Normal renal morphology, intact brush border.",5
147.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
148.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
149.jpg,0,"Normal renal morphology, intact brush border.",4
150.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
151.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
152.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
153.jpg,0,"Normal renal morphology, intact brush border.",4
154.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
155.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
156.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
157.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
158.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
159.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
160.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
161.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
162.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
163.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
164.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
165.jpg,0,"Normal renal morphology, intact brush border.",4
166.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
167.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
168.jpg,0,"Normal renal morphology, intact brush border.",5
169.jpg,0,"Normal renal morphology, intact brush border.",5
170.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
171.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
172.jpg,0,"Normal renal morphology, intact brush border.",5
173.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
174.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
175.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
176.jpg,0,"Normal renal morphology, intact brush border.",5
177.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
