序號,原始檔名,新檔名,Image_ID,RPS_2010_TIS,Pathological_Findings,Confidence_1-5
1,20260121_ss10w-3_he_4.jpg,001.jpg,001.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
2,20260121_ss10w-3_he_5.jpg,002.jpg,002.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
3,20260121_ss10w-3_he_6.jpg,003.jpg,003.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
4,20260121_ss10w-4_he_1.jpg,004.jpg,004.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
5,20260121_ss10w-4_he_2.jpg,005.jpg,005.jpg,0,"Normal renal morphology, intact brush border.",4
6,20260121_ss10w-4_he_3.jpg,006.jpg,006.jpg,0,"Normal renal morphology, intact brush border.",5
7,20260121_ss10w-4_he_4.jpg,007.jpg,007.jpg,0,"Normal renal morphology, intact brush border.",4
8,20260121_ss10w-4_he_5.jpg,008.jpg,008.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
9,20260121_ss10w-4_he_6.jpg,009.jpg,009.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
10,20260121_ss10w-5_he_1.jpg,010.jpg,010.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
11,20260121_ss10w-5_he_2.jpg,011.jpg,011.jpg,0,"Normal renal morphology, intact brush border.",4
12,20260121_ss10w-5_he_3.jpg,012.jpg,012.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
13,20260121_ss10w-5_he_4.jpg,013.jpg,013.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
14,20260121_ss10w-5_he_5.jpg,014.jpg,014.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
15,20260121_ss10w-5_he_6.jpg,015.jpg,015.jpg,0,"Normal renal morphology, intact brush border.",4
16,20260121_ss10w-6_he_1.jpg,016.jpg,016.jpg,0,"Normal renal morphology, intact brush border.",5
17,20260121_ss10w-6_he_2.jpg,017.jpg,017.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
18,20260121_ss10w-6_he_3.jpg,018.jpg,018.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
19,20260121_ss10w-6_he_4.jpg,019.jpg,019.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
20,20260121_ss10w-6_he_5.jpg,020.jpg,020.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
21,20260121_ss10w-6_he_6.jpg,021.jpg,021.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
22,20251126_hs2w-1_he_1.jpg,022.jpg,022.jpg,0,"Normal renal morphology, intact brush border.",4
23,20251126_hs2w-1_he_2.jpg,023.jpg,023.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
24,20251126_hs2w-1_he_3.jpg,024.jpg,024.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
25,20251126_hs2w-1_he_4.jpg,025.jpg,025.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
26,20251126_hs2w-1_he_5.jpg,026.jpg,026.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
27,20251126_hs2w-1_he_6.jpg,027.jpg,027.jpg,0,"Normal renal morphology, intact brush border.",5
28,20251126_hs2w-2_he_1.jpg,028.jpg,028.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
29,20251126_hs2w-2_he_2.jpg,029.jpg,029.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
30,20251126_hs2w-2_he_3.jpg,030.jpg,030.jpg,0,"Normal renal morphology, intact brush border.",4
31,20251126_hs2w-2_he_4.jpg,031.jpg,031.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
32,20251126_hs2w-2_he_5.jpg,032.jpg,032.jpg,0,"Normal renal morphology, intact brush border.",4
33,20251126_hs2w-2_he_6.jpg,033.jpg,033.jpg,0,"Normal renal morphology, intact brush border.",4
34,20251126_hs2w-3_he_1.jpg,034.jpg,034.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
35,20251126_hs2w-3_he_2.jpg,035.jpg,035.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
36,20251126_hs2w-3_he_3.jpg,036.jpg,036.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
37,20251126_hs2w-3_he_4.jpg,037.jpg,037.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
38,20251126_hs2w-3_he_5.jpg,038.jpg,038.jpg,0,"Normal renal morphology, intact brush border.",5
39,20251126_hs2w-3_he_6.jpg,039.jpg,039.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
40,20251126_hs2w-4_he_1.jpg,040.jpg,040.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
41,20251126_hs2w-4_he_2.jpg,041.jpg,041.jpg,0,"Normal renal morphology, intact brush border.",5
42,20251126_hs2w-4_he_3.jpg,042.jpg,042.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
43,20251126_hs2w-4_he_4.jpg,043.jpg,043.jpg,0,"Normal renal morphology, intact brush border.",5
44,20251126_hs2w-4_he_5.jpg,044.jpg,044.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
45,20251126_hs2w-4_he_6.jpg,045.jpg,045.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
46,20251126_hs2w-5_he_1.jpg,046.jpg,046.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
47,20251126_hs2w-5_he_2.jpg,047.jpg,047.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
48,20251126_hs2w-5_he_3.jpg,048.jpg,048.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
49,20251126_hs2w-5_he_4.jpg,049.jpg,049.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
50,20251126_hs2w-5_he_5.jpg,050.jpg,050.jpg,0,"Normal renal morphology, intact brush border.",4
51,20251126_hs2w-5_he_6.jpg,051.jpg,051.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
52,20251126_sham-1_he_1.jpg,052.jpg,052.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
53,20251126_sham-1_he_2.jpg,053.jpg,053.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
54,20251126_sham-1_he_3.jpg,054.jpg,054.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
55,20251126_sham-1_he_4.jpg,055.jpg,055.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
56,20251126_sham-1_he_5.jpg,056.jpg,056.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
57,20251126_sham-1_he_6.jpg,057.jpg,057.jpg,0,"Normal renal morphology, intact brush border.",4
58,20251126_sham-2_he_1.jpg,058.jpg,058.jpg,0,"Normal renal morphology, intact brush border.",4
59,20251126_sham-2_he_2.jpg,059.jpg,059.jpg,0,"Normal renal morphology, intact brush border.",5
60,20251126_sham-2_he_3.jpg,060.jpg,060.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
61,20251126_sham-2_he_4.jpg,061.jpg,061.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
62,20251126_sham-2_he_5.jpg,062.jpg,062.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
63,20251126_sham-2_he_6.jpg,063.jpg,063.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
64,20251126_sham-3_he_1.jpg,064.jpg,064.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
65,20251126_sham-3_he_2.jpg,065.jpg,065.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
66,20251126_sham-3_he_3.jpg,066.jpg,066.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
67,20251126_sham-3_he_4.jpg,067.jpg,067.jpg,0,"Normal renal morphology, intact brush border.",4
68,20251126_sham-3_he_5.jpg,068.jpg,068.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
69,20251126_sham-3_he_6.jpg,069.jpg,069.jpg,0,"Normal renal morphology, intact brush border.",5
70,20251210_hs6w-1_he_1.jpg,070.jpg,070.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
71,20251210_hs6w-1_he_2.jpg,071.jpg,071.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
72,20251210_hs6w-1_he_3.jpg,072.jpg,072.jpg,0,"Normal renal morphology, intact brush border.",5
73,20251210_hs6w-1_he_4.jpg,073.jpg,073.jpg,0,"Normal renal morphology, intact brush border.",5
74,20251210_hs6w-1_he_5.jpg,074.jpg,074.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
75,20251210_hs6w-1_he_6.jpg,075.jpg,075.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
76,20251210_hs6w-2_he_1.jpg,076.jpg,076.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
77,20251210_hs6w-2_he_2.jpg,077.jpg,077.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
78,20251210_hs6w-2_he_3.jpg,078.jpg,078.jpg,0,"Normal renal morphology, intact brush border.",5
79,20251210_hs6w-2_he_4.jpg,079.jpg,079.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
80,20251210_hs6w-2_he_5.jpg,080.jpg,080.jpg,0,"Normal renal morphology, intact brush border.",4
81,20251210_hs6w-2_he_6.jpg,081.jpg,081.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
82,20251210_hs6w-3_he_1.jpg,082.jpg,082.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
83,20251210_hs6w-3_he_2.jpg,083.jpg,083.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
84,20251210_hs6w-3_he_3.jpg,084.jpg,084.jpg,0,"Normal renal morphology, intact brush border.",5
85,20251210_hs6w-3_he_4.jpg,085.jpg,085.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
86,20251210_hs6w-3_he_5.jpg,086.jpg,086.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
87,20251210_hs6w-3_he_6.jpg,087.jpg,087.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
88,20251210_hs6w-4_he_1.jpg,088.jpg,088.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
89,20251210_hs6w-4_he_2.jpg,089.jpg,089.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
90,20251210_hs6w-4_he_3.jpg,090.jpg,090.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
91,20251210_hs6w-4_he_4.jpg,091.jpg,091.jpg,0,"Normal renal morphology, intact brush border.",4
92,20251210_hs6w-4_he_5.jpg,092.jpg,092.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
93,20251210_hs6w-4_he_6.jpg,093.jpg,093.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
94,20251210_hs6w-5_he_1.jpg,094.jpg,094.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
95,20251210_hs6w-5_he_2.jpg,095.jpg,095.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
96,20251210_hs6w-5_he_3.jpg,096.jpg,096.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
97,20251210_hs6w-5_he_4.jpg,097.jpg,097.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
98,20251210_hs6w-5_he_5.jpg,098.jpg,098.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
99,20251210_hs6w-5_he_6.jpg,099.jpg,099.jpg,0,"Normal renal morphology, intact brush border.",5
100,20251210_hs6w-6_he_1.jpg,100.jpg,100.jpg,0,"Normal renal morphology, intact brush border.",5
101,20251210_hs6w-6_he_2.jpg,101.jpg,101.jpg,0,"Normal renal morphology, intact brush border.",5
102,20251210_hs6w-6_he_3.jpg,102.jpg,102.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
103,20251210_hs6w-6_he_4.jpg,103.jpg,103.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
104,20251210_hs6w-6_he_5.jpg,104.jpg,104.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
105,20251210_hs6w-6_he_6.jpg,105.jpg,105.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
106,20260107_hfd10w-1_he_1.jpg,106.jpg,106.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
107,20260107_hfd10w-1_he_2.jpg,107.jpg,107.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
108,20260107_hfd10w-1_he_3.jpg,108.jpg,108.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
109,20260107_hfd10w-1_he_4.jpg,109.jpg,109.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
110,20260107_hfd10w-1_he_5.jpg,110.jpg,110.jpg,0,"Normal renal morphology, intact brush border.",4
111,20260107_hfd10w-1_he_6.jpg,111.jpg,111.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
112,20260107_hfd10w-2_he_1.jpg,112.jpg,112.jpg,0,"Normal renal morphology, intact brush border.",5
113,20260107_hfd10w-2_he_2.jpg,113.jpg,113.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
114,20260107_hfd10w-2_he_3.jpg,114.jpg,114.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
115,20260107_hfd10w-2_he_4.jpg,115.jpg,115.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
116,20260107_hfd10w-2_he_5.jpg,116.jpg,116.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
117,20260107_hfd10w-2_he_6.jpg,117.jpg,117.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
118,20260107_hfd10w-3_he_1.jpg,118.jpg,118.jpg,0,"Normal renal morphology, intact brush border.",4
119,20260107_hfd10w-3_he_2.jpg,119.jpg,119.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
120,20260107_hfd10w-3_he_3.jpg,120.jpg,120.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
121,20260107_hfd10w-3_he_4.jpg,121.jpg,121.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
122,20260107_hfd10w-3_he_5.jpg,122.jpg,122.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
123,20260107_hfd10w-3_he_6.jpg,123.jpg,123.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
124,20260107_hfd10w-4_he_1.jpg,124.jpg,124.jpg,0,"Normal renal morphology, intact brush border.",5
125,20260107_hfd10w-4_he_2.jpg,125.jpg,125.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
126,20260107_hfd10w-4_he_3.jpg,126.jpg,126.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
127,20260107_hfd10w-4_he_4.jpg,127.jpg,127.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
128,20260107_hfd10w-4_he_5.jpg,128.jpg,128.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
129,20260107_hfd10w-4_he_6.jpg,129.jpg,129.jpg,0,"Normal renal morphology, intact brush border.",4
130,20260107_hfd10w-5_he_1.jpg,130.jpg,130.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
131,20260107_hfd10w-5_he_2.jpg,131.jpg,131.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
132,20260107_hfd10w-5_he_3.jpg,132.jpg,132.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
133,20260107_hfd10w-5_he_4.jpg,133.jpg,133.jpg,0,"Normal renal morphology, intact brush border.",5
