Image_ID,Mesangial_Expansion_Index(0-4),Tubular_Cast_Density(Count),Brush_Border_Integrity(%),Refined_Severity_Score
001.jpg,2.4,2,77.3,1.17
002.jpg,2.0,1,64.2,1.18
003.jpg,2.1,1,82.3,0.97
004.jpg,3.2,4,80.4,1.46
005.jpg,2.6,1,46.4,1.61
006.jpg,2.6,6,50.0,1.73
007.jpg,2.7,0,59.9,1.43
008.jpg,1.2,3,88.0,0.66
009.jpg,1.0,2,91.6,0.51
010.jpg,1.9,2,72.7,1.06
011.jpg,3.3,4,61.8,1.74
012.jpg,0.5,2,68.8,0.65
013.jpg,0.8,3,68.6,0.79
014.jpg,3.1,3,52.5,1.77
015.jpg,2.0,3,75.2,1.1
016.jpg,3.1,1,70.9,1.45
017.jpg,1.4,5,69.9,1.03
018.jpg,1.7,2,74.8,0.97
019.jpg,2.2,2,79.5,1.07
020.jpg,0.8,4,51.4,1.05
021.jpg,2.8,0,80.7,1.19
022.jpg,1.4,4,69.2,1.01
023.jpg,2.4,5,85.3,1.16
024.jpg,0.6,4,74.3,0.68
025.jpg,1.0,0,57.0,0.91
026.jpg,1.8,3,55.3,1.3
027.jpg,1.2,3,70.3,0.9
028.jpg,3.4,2,86.4,1.38
029.jpg,3.2,2,81.5,1.38
030.jpg,3.1,1,68.2,1.49
031.jpg,0.6,1,77.9,0.53
032.jpg,2.9,1,74.9,1.33
033.jpg,3.2,5,63.4,1.72
034.jpg,2.6,6,48.8,1.75
035.jpg,1.2,3,61.9,1.01
036.jpg,1.7,1,60.1,1.13
037.jpg,3.4,3,62.8,1.73
038.jpg,1.5,4,74.1,0.98
039.jpg,2.3,1,52.9,1.43
040.jpg,2.1,8,22.3,2.0
041.jpg,1.9,2,68.6,1.12
042.jpg,1.2,7,70.5,1.03
043.jpg,3.3,2,65.5,1.63
044.jpg,2.3,3,76.6,1.18
045.jpg,1.2,2,54.4,1.07
046.jpg,0.6,1,41.2,1.02
047.jpg,2.1,3,76.1,1.12
048.jpg,0.8,2,56.9,0.91
049.jpg,3.0,2,74.7,1.4
050.jpg,2.6,0,43.6,1.62
051.jpg,3.3,2,71.0,1.55
052.jpg,0.8,4,50.3,1.06
053.jpg,0.5,2,64.0,0.71
054.jpg,1.1,3,61.4,0.98
055.jpg,1.7,5,64.2,1.21
056.jpg,2.7,2,69.2,1.38
057.jpg,1.3,2,85.9,0.69
058.jpg,1.3,2,67.0,0.94
059.jpg,1.2,3,68.8,0.92
060.jpg,0.8,5,100.0,0.43
061.jpg,1.0,2,79.3,0.68
062.jpg,3.2,0,37.4,1.9
063.jpg,0.7,0,63.2,0.72
064.jpg,1.0,4,53.7,1.08
065.jpg,0.6,3,98.9,0.31
066.jpg,2.6,4,88.2,1.16
067.jpg,3.5,3,77.0,1.57
068.jpg,0.8,4,80.6,0.66
069.jpg,2.7,6,81.7,1.34
070.jpg,1.5,0,98.1,0.53
071.jpg,1.0,1,92.3,0.47
072.jpg,3.3,5,52.2,1.9
073.jpg,3.4,2,76.0,1.52
074.jpg,2.8,4,85.9,1.25
075.jpg,1.7,4,77.4,1.0
076.jpg,1.8,2,91.6,0.78
077.jpg,2.4,1,68.5,1.25
078.jpg,0.6,2,77.5,0.57
079.jpg,0.9,4,100.0,0.43
080.jpg,2.4,5,100.0,0.97
081.jpg,3.3,2,74.2,1.51
082.jpg,3.4,1,80.4,1.43
083.jpg,2.2,5,80.9,1.15
084.jpg,1.1,1,54.8,1.0
085.jpg,2.1,3,68.6,1.22
086.jpg,1.0,1,48.8,1.05
087.jpg,0.9,3,72.9,0.76
088.jpg,2.7,4,56.8,1.61
089.jpg,1.1,1,70.9,0.79
090.jpg,0.6,5,75.4,0.69
091.jpg,2.4,3,77.6,1.2
092.jpg,3.4,1,78.8,1.45
093.jpg,3.2,2,99.5,1.14
094.jpg,1.6,3,47.9,1.33
095.jpg,3.3,2,88.2,1.32
096.jpg,2.0,2,81.8,0.98
097.jpg,3.3,2,77.3,1.47
098.jpg,2.2,2,52.4,1.43
099.jpg,0.5,4,81.8,0.54
100.jpg,1.5,2,87.7,0.73
101.jpg,0.9,1,69.9,0.73
102.jpg,1.5,2,66.9,1.01
103.jpg,1.6,3,100.0,0.63
104.jpg,2.5,3,78.6,1.22
105.jpg,3.3,1,100.0,1.13
106.jpg,1.1,3,64.9,0.93
107.jpg,2.4,2,71.3,1.25
108.jpg,1.0,4,82.1,0.71
109.jpg,0.7,1,97.0,0.31
110.jpg,2.6,3,52.0,1.61
111.jpg,1.3,1,86.7,0.64
112.jpg,1.7,3,63.1,1.16
113.jpg,3.5,2,65.0,1.7
114.jpg,2.0,1,57.1,1.27
115.jpg,3.3,1,74.4,1.47
116.jpg,1.6,4,60.3,1.2
117.jpg,1.4,2,71.1,0.92
118.jpg,0.8,5,91.4,0.55
119.jpg,1.9,5,70.4,1.19
120.jpg,3.4,2,49.6,1.87
121.jpg,1.9,1,70.1,1.07
122.jpg,0.6,2,77.0,0.57
123.jpg,2.5,4,73.9,1.31
124.jpg,0.6,4,65.1,0.8
125.jpg,1.4,4,55.2,1.2
126.jpg,3.4,5,87.8,1.46
127.jpg,0.7,2,65.3,0.76
128.jpg,1.5,7,77.6,1.03
129.jpg,0.5,1,88.5,0.35
130.jpg,2.6,0,86.2,1.05
131.jpg,0.6,6,63.3,0.89
132.jpg,1.3,1,61.1,0.99
133.jpg,0.6,1,52.6,0.87
134.jpg,0.8,3,49.9,1.03
135.jpg,3.4,2,54.6,1.81
136.jpg,3.2,2,63.8,1.62
