序號,原始檔名,新檔名,Group,File,Tissue_Area_um2,Collagen_Area_um2,CVF_Percent
1,20251126_hs2w-2_mt_2.jpg,001.jpg,HS2W,001.jpg,218375.5827,22304.91487,10.21401504
2,20251126_hs2w-2_mt_3.jpg,002.jpg,HS2W,002.jpg,214048.0618,12817.6911,5.988230396
3,20251126_hs2w-2_mt_4.jpg,003.jpg,HS2W,003.jpg,213255.1141,22565.75293,10.58157645
4,20251126_hs2w-2_mt_5.jpg,004.jpg,HS2W,004.jpg,220689.5423,10466.67069,4.742712582
5,20251126_hs2w-2_mt_6.jpg,005.jpg,HS2W,005.jpg,223328.4627,11369.38776,5.090881662
6,20251126_hs2w-3_mt_1.jpg,006.jpg,HS2W,006.jpg,220404.2507,13301.87175,6.035215615
7,20251126_hs2w-3_mt_2.jpg,007.jpg,HS2W,007.jpg,211804.2024,13822.13501,6.525902155
8,20251126_hs2w-3_mt_3.jpg,008.jpg,HS2W,008.jpg,218665.8737,19241.4805,8.799489455
9,20251126_hs2w-3_mt_4.jpg,009.jpg,HS2W,009.jpg,219380.6787,12049.74037,5.492616963
10,20251126_hs2w-3_mt_5.jpg,010.jpg,HS2W,010.jpg,212504.3352,25485.07427,11.99273146
11,20251126_hs2w-3_mt_6.jpg,011.jpg,HS2W,011.jpg,204106.2191,19251.37061,9.432035289
12,20251126_hs2w-4_mt_1.jpg,012.jpg,HS2W,012.jpg,216201.3887,13366.10313,6.182246657
13,20251126_hs2w-4_mt_2.jpg,013.jpg,HS2W,013.jpg,203647.4701,20053.88238,9.847351588
14,20251126_hs2w-4_mt_3.jpg,014.jpg,HS2W,014.jpg,218225.9268,14006.56925,6.418380006
15,20251126_hs2w-4_mt_4.jpg,015.jpg,HS2W,015.jpg,216623.1856,13524.01884,6.243107727
16,20251126_hs2w-4_mt_5.jpg,016.jpg,HS2W,016.jpg,216696.8724,9727.303466,4.488898875
17,20251126_hs2w-4_mt_6.jpg,017.jpg,HS2W,017.jpg,220110.2645,12675.96909,5.758917748
18,20251126_hs2w-5_mt_1.jpg,018.jpg,HS2W,018.jpg,221837.2298,17527.12233,7.900893075
19,20251126_hs2w-5_mt_2.jpg,019.jpg,HS2W,019.jpg,221844.4028,15512.90907,6.992697976
20,20251126_hs2w-5_mt_3.jpg,020.jpg,HS2W,020.jpg,212592.1507,16769.38776,7.888055932
21,20251126_hs2w-5_mt_4.jpg,021.jpg,HS2W,021.jpg,214727.6537,15688.32267,7.306149161
22,20251126_hs2w-5_mt_5.jpg,022.jpg,HS2W,022.jpg,211230.25,20760.9709,9.828597419
23,20251126_hs2w-5_mt_6.jpg,023.jpg,HS2W,023.jpg,216946.7335,13547.60295,6.244667863
24,20251126_sham-1_mt_1.jpg,024.jpg,Sham,024.jpg,228463.7121,6537.688685,2.86158735
25,20251126_sham-1_mt_2.jpg,025.jpg,Sham,025.jpg,228983.2146,4635.96184,2.024585884
26,20251126_sham-1_mt_3.jpg,026.jpg,Sham,026.jpg,227486.2215,3791.063881,1.666502638
27,20251126_sham-1_mt_4.jpg,027.jpg,Sham,027.jpg,230434.561,3075.498128,1.334651414
28,20251126_sham-1_mt_5.jpg,028.jpg,Sham,028.jpg,233863.8208,4460.330878,1.907234245
29,20251126_sham-1_mt_6.jpg,029.jpg,Sham,029.jpg,231582.6833,4087.87586,1.765190645
30,20251126_sham-2_mt_1.jpg,030.jpg,Sham,030.jpg,219117.5583,6616.918247,3.01980284
31,20251126_sham-2_mt_2.jpg,031.jpg,Sham,031.jpg,229972.0082,5057.97609,2.199387712
32,20251126_sham-2_mt_3.jpg,032.jpg,Sham,032.jpg,228265.5839,5194.155295,2.275487705
