Group,Sample,Tissue_Area_um2,PAS_Area_um2,Mesangial_Index_Percent
Sham,20251126_sham-1_pas1.jpg,891370.138888889,3050.0000000000005,0.34216986490055495
Sham,20251126_sham-1_pas2.jpg,938079.8611111112,2645.8333333333335,0.2820477704530901
Sham,20251126_sham-1_pas3.jpg,927913.1944444446,1547.2222222222224,0.16674212970412253
Sham,20251126_sham-1_pas4.jpg,926529.8611111112,2500.0000000000005,0.2698240072912443
Sham,20251126_sham-1_pas5.jpg,887086.8055555556,4172.916666666667,0.4704068012885499
Sham,20251126_sham-1_pas6.jpg,928429.8611111112,2818.055555555556,0.30352918121170824
Sham,20251126_sham-2_pas1.jpg,857382.638888889,1936.8055555555559,0.2258974543811066
Sham,20251126_sham-2_pas2.jpg,849887.5000000001,1295.1388888888891,0.15238945023769487
Sham,20251126_sham-2_pas3.jpg,864594.4444444445,1354.1666666666667,0.15662449317920413
Sham,20251126_sham-2_pas4.jpg,868177.7777777779,4090.2777777777783,0.4711336643800553
Sham,20251126_sham-2_pas5.jpg,914311.8055555556,4601.38888888889,0.5032625479546319
Sham,20251126_sham-2_pas6.jpg,900440.9722222224,5372.222222222223,0.596621254246569
Sham,20251126_sham-3_pas1.jpg,897191.6666666667,838.888888888889,0.09350163627863488
Sham,20251126_sham-3_pas2.jpg,853995.8333333335,754.8611111111112,0.08839166207225185
Sham,20251126_sham-3_pas3.jpg,893268.0555555556,496.5277777777778,0.055585529415240226
Sham,20251126_sham-3_pas4.jpg,877902.7777777779,584.7222222222223,0.06660443924124729
Sham,20251126_sham-3_pas5.jpg,880114.5833333335,510.41666666666674,0.05799434259270218
Sham,20251126_sham-3_pas6.jpg,858131.9444444445,384.0277777777778,0.0447516002945675
Sham10W,20260107_sham-4(10w)_pas1.jpg,907590.9722222224,1811.1111111111113,0.19955146828715517
Sham10W,20260107_sham-4(10w)_pas2.jpg,881777.0833333335,1268.7500000000002,0.14388557198649507
Sham10W,20260107_sham-4(10w)_pas3.jpg,891468.0555555556,8143.055555555557,0.9134433370672906
Sham10W,20260107_sham-4(10w)_pas4.jpg,812206.9444444445,917.3611111111112,0.11294672095405352
Sham10W,20260107_sham-4(10w)_pas5.jpg,906563.888888889,2834.7222222222226,0.312688631983405
Sham10W,20260107_sham-4(10w)_pas6.jpg,868545.138888889,1129.1666666666667,0.13000667623460369
Sham10W,20260107_sham-5(10w)_pas1.jpg,908634.0277777779,2411.1111111111113,0.26535558182956254
Sham10W,20260107_sham-5(10w)_pas2.jpg,904776.388888889,7084.7222222222235,0.783035710173938
Sham10W,20260107_sham-5(10w)_pas3.jpg,906993.7500000001,6055.555555555557,0.6676512992019576
Sham10W,20260107_sham-5(10w)_pas4.jpg,895492.3611111112,2634.7222222222226,0.29422051338920474
Sham10W,20260107_sham-5(10w)_pas5.jpg,877577.7777777779,3361.805555555556,0.3830777898761743
Sham10W,20260107_sham-5(10w)_pas6.jpg,876111.1111111112,3207.638888888889,0.36612238427393784
Sham10W,20260107_sham-6(10w)_pas1.jpg,869472.2222222224,1288.1944444444446,0.14815820580812114
Sham10W,20260107_sham-6(10w)_pas2.jpg,932495.8333333335,2046.527777777778,0.21946776646306135
Sham10W,20260107_sham-6(10w)_pas3.jpg,907142.3611111112,4174.305555555556,0.4601599191600608
Sham10W,20260107_sham-6(10w)_pas4.jpg,929393.7500000001,2814.5833333333335,0.30284078554792665
Sham10W,20260107_sham-6(10w)_pas5.jpg,914358.3333333335,1652.0833333333335,0.18068226351813205
Sham10W,20260107_sham-6(10w)_pas6.jpg,897096.5277777779,838.888888888889,0.09351155231499149
