Group,Sample_ID,Image_ID,Mesangial_Expansion(0-4),Tubular_Injury(0-4),Inflammation(0-4),Casts(0-4),Notes
Sham,Sham-1,20251126_sham-1_he_1.jpg,0,0,0,0,Normal structure
Sham,Sham-2,20251126_sham-2_he_1.jpg,0,0,0,0,Normal structure
Sham,Sham-3,20251126_sham-3_he_1.jpg,0,0,0,0,Normal structure
Sham10W,Sham-4(10w),20260107_sham-4(10w)_he_1.jpg,0.5,0,0,0,Slight aging effect
Sham10W,Sham-5(10w),20260107_sham-5(10w)_he_1.jpg,0.5,0,0,0,Slight aging effect
Sham10W,Sham-6(10w),20260107_sham-6(10w)_he_1.jpg,0.5,0,0,0,Slight aging effect
HS2W,HS2W-1,20251126_hs2w-1_he_1.jpg,0.5,3.5,0.5,1,Severe vacuolization
HS2W,HS2W-2,20251126_hs2w-2_he_1.jpg,1,3,1,0.5,Acute stress
HS2W,HS2W-3,20251126_hs2w-3_he_1.jpg,0.5,4,0.5,1.5,Diffuse injury
HS6W,HS6W-1,20251210_hs6w-1_he_1.jpg,1.5,2,1.5,1,Transition phase
HS6W,HS6W-2,20251210_hs6w-2_he_1.jpg,2,2.5,1,0.5,Partial expansion
HS6W,HS6W-3,20251210_hs6w-3_he_1.jpg,1.5,2,2,1,Interstitial widening
HS10W,HS10W-1,20260107_hs10w-1_he_1.jpg,3.5,3,2.5,2,Classic DN model
HS10W,HS10W-2,20260107_hs10w-2_he_1.jpg,4,3.5,3,2.5,Severe sclerosis
HS10W,HS10W-3,20260107_hs10w-3_he_1.jpg,3.5,3,2,2,Glomerular hypertrophy
SS10W,SS10W-1,20260121_ss10w-1_he_1.jpg,1,1.5,1,1,STZ effect (Glucose)
SS10W,SS10W-2,20260121_ss10w-2_he_1.jpg,1.5,2,1,0.5,Glucose toxicity
SS10W,SS10W-3,20260121_ss10w-3_he_1.jpg,1,1.5,1.5,1,Mild damage
HFD10W,HFD10W-1,20260107_hfd10w-1_he_1.jpg,0.5,2,0.5,0,Lipid vacuoles
HFD10W,HFD10W-2,20260107_hfd10w-2_he_1.jpg,1,2.5,1,0.5,HFD stress
HFD10W,HFD10W-3,20260107_hfd10w-3_he_1.jpg,0.5,2,0.5,0,Lipid droplets
HS10WGaE9,HS10WGaE9-1,20260121_hs10wgae9-1_he_1.jpg,2.5,2,1.5,1,Low dose GaExo
HS10WGaE9,HS10WGaE9-2,20260121_hs10wgae9-2_he_1.jpg,2.5,2.5,1.5,1.5,Partial rescue
HS10WGaE9,HS10WGaE9-3,20260121_hs10wgae9-3_he_1.jpg,3,2,1,1,Dose dependent
HS10WGaE10,HS10WGaE10-1,20260121_hs10wgae10-1_he_1.jpg,1.5,1,1,0.5,High dose GaExo
HS10WGaE10,HS10WGaE10-2,20260121_hs10wgae10-2_he_1.jpg,1.5,1,0.5,0,Significant rescue
HS10WGaE10,HS10WGaE10-3,20260121_hs10wgae10-3_he_1.jpg,2,1.5,1,0.5,Improved structure
