KEGG_ID,Count,PSM_Sum
K03115,1,309.4009235004211
K00225,1,171.85256409965982
K03283,4,157.20523224022455
K10638,1,120.8107043611212
K19041,1,112.18376063123256
K04730,7,86.91668887448301
K11583,1,82.81867732643094
K11426,4,72.43157229581982
K00873,1,67.45189517257118
K04733,4,63.5475719236114
K17795,1,57.458341608594
K12373,1,52.971650858793
K09553,1,49.60334865379442
K17871,1,49.5133583132076
K12840,1,48.88628116573664
K16584,3,47.169267592464564
K02890,1,46.4607262077904
K04437,1,45.14419156015144
K14009,1,45.05370650396903
K10268,2,42.61878331152765
K00382,2,42.071757222821034
K11724,1,41.8559404139172
K13030,2,40.10217225007163
K11253,2,39.86038226352832
K10999,2,38.33797008880801
K08712,2,37.737931881899485
K03798,1,37.02143544116906
K03046,1,37.012067206673926
K08241,1,36.734935807996
K10405,1,36.45780440931809
K00121,1,36.23261936591912
K00430,3,36.081885482885575
K00855,1,35.26553575147761
K13691,1,34.80278168463823
K11093,1,34.71127295412176
K03655,1,34.68423401355934
K14548,2,33.43007971861741
K13789,1,32.81237080564158
K08332,1,32.72295151238212
K04771,2,32.54411292586318
K17987,1,31.398114393170985
K08235,2,30.760108532686353
K13993,2,30.453040868220327
K15718,1,30.30463326308509
K18443,2,30.304633263085087
K12581,2,29.5975050568498
K01051,3,29.2927636702821
K09338,2,28.98809861544614
K08869,2,28.61515334597104
K11231,1,28.021509716600224
K01213,1,27.72564184893205
K09566,1,27.385064334634137
K11275,1,27.250935394744943
K12309,2,27.104944839119284
K03327,1,27.036184348764053
K00943,1,26.72264577502857
K16670,1,26.4267779073604
K11864,1,26.338424377023884
K11855,1,25.72901793562023
K00605,1,25.67494005449537
K09422,2,25.39780865581745
K01895,1,25.38844042132232
K03549,1,25.32606006862529
K08900,1,25.07490184758684
K15014,1,24.8237436265484
K08176,2,24.77073150834649
K11294,1,24.627234333962164
K05933,1,24.546117512274872
K03265,2,23.41778968564998
K11517,1,23.391816508010503
K11593,2,23.221280393063747
K01956,1,22.737700419977116
K07297,1,22.11062327250616
K09458,1,22.04824291980912
K03264,1,21.72533611157851
K12938,1,21.707665405511207
K19995,2,21.59950964326149
K10589,1,21.33174647907869
K00275,1,20.76704968430477
K01081,1,20.077592184136776
K11110,1,19.75575113882912
K09658,1,19.719343963771564
K02259,1,19.70997572927644
K13098,1,19.37046397790148
K00789,1,18.994545051468965
K11728,1,18.986242579896786
K06685,1,18.98517681697384
K01613,1,18.698677183800783
K14802,1,18.43921649119017
K04371,1,18.41217755062773
K10592,1,18.35809966950288
K01507,1,18.11630968295956
K17679,1,18.080968270824958
K09498,1,18.077980173988024
K02214,1,18.071600036329823
K01246,1,17.767429697089472
K02218,1,17.44452288885887
K12891,1,17.39151077065696
K06627,2,17.356169358522354
K08008,1,17.3197621834648
K09264,1,17.3197621834648
K03386,1,16.719723976556267
K01897,1,16.56792433059977
K17535,1,16.46913680284518
K13700,1,16.36147575619105
K05282,1,16.038568947960453
K00924,3,15.689688962090365
K04523,1,15.662650021527938
K02864,2,15.644979315460635
K17907,1,15.26906038902812
K01674,1,15.044941108552107
K17964,2,14.749073240883927
K14572,1,14.480320645509934
K13126,1,14.417863961081148
K00549,1,14.40019325501384
K12412,1,14.30140572725925
K10844,1,14.024274328581328
K14638,1,13.987867153523768
K08762,1,13.97168059424327
K11274,1,13.78248434203801
K00416,1,13.693065048778548
K05350,1,13.414867887177673
K00799,2,13.352487534480638
K14491,1,13.307777887850904
K06127,1,13.099842484963483
K07562,1,13.048317195240282
K13416,1,12.74308109307698
K03128,1,12.653661799817518
K09571,3,12.613388912637546
K03231,1,12.60895215318778
K01580,1,12.35779393214934
K08057,1,12.277742873385
K00850,1,12.098333239538718
K15032,1,12.07576922429193
K02942,1,12.035952886841685
K18151,1,12.035952886841685
K05275,1,12.018282180774378
K16732,1,11.740085019173506
K18835,1,11.722414313106205
K14963,2,11.66003396040917
K01802,1,11.63299501984674
K00166,1,11.408875739370728
K14329,1,11.311153974539089
K15015,1,11.301785740043956
K07466,3,11.128697033695543
K14634,1,10.979944694736304
K15634,1,10.692379298640304
K00901,2,10.609130951107108
K14320,1,10.585289299313532
K03452,2,10.388208959399948
K06130,1,10.370538253332647
K08873,1,10.34677293327082
K12386,1,10.316460372207784
K01807,1,10.137050738361502
K17279,1,10.029960739034737
K11267,1,10.029960739034737
K05909,1,10.029960739034737
K00844,1,9.985251092405004
K03676,1,9.931173211280145
K02178,1,9.804490171972096
K15402,2,9.631401465623679
K19613,1,9.340503238866743
K12896,1,9.331135004371616
K10527,1,9.322832532799438
K19891,1,9.313464298304313
K17275,1,9.00929395906396
K00480,1,8.982255018501531
K12893,1,8.92817713737667
K14165,1,8.770303921720103
K12191,1,8.69575538532848
K19355,1,8.62400679813632
K16298,1,8.465541490857946
K12854,1,8.310468224400838
K05278,2,8.02396859122779
K17552,1,8.006297885160487
K17681,1,7.979258944598057
K12741,2,7.789986360661048
K03347,1,7.764507898617169
K14616,1,7.737468958054738
K19360,1,7.68339107692988
K01188,1,7.665720370862577
K15119,1,7.648049664795276
K04467,1,7.638681430300148
K01006,1,7.379220737689528
K03232,1,7.352181797127098
K05928,1,7.254460032295456
K07432,1,7.254460032295456
K13420,1,7.209750385665724
K15086,1,7.065682163954048
K12951,1,7.048011457886745
K11252,3,6.955394875858426
K02962,1,6.955394875858426
K09286,2,6.86863998990634
K01231,1,6.7521435902185685
K06966,1,6.742489832059766
K14488,1,6.725104649656139
K00699,1,6.707433943588836
K19042,1,6.662724296959104
K18819,1,6.618014650329371
K03936,1,6.448467966573816
K15631,1,6.376224663786054
K15271,1,6.349185723223624
K14503,1,6.349185723223624
K13496,1,6.349185723223624
K00279,1,6.331515017156321
K00472,1,6.313844311089018
K14613,1,6.089725030613004
K19892,1,6.080356796117878
K08081,1,6.062686090050575
K11422,1,6.017976443420842
K02938,1,6.017976443420842
K14411,1,6.017976443420842
K13462,1,6.017976443420842
K00069,1,6.000305737353539
K03129,1,5.990937502858412
K05605,1,5.961767036450079
K01369,1,5.855742800046263
K13348,1,5.704437869685363
K16900,1,5.68676716361806
K13459,1,5.65972822305563
K03348,1,5.65972822305563
K14664,1,5.643694327238631
K11088,1,5.552638223728863
K08776,1,5.373723305478181
K09755,1,5.373723305478181
K04368,1,5.37322858988258
K04420,1,5.37322858988258
K12960,1,5.37322858988258
K00517,2,5.3589288803420905
K11885,1,5.355557883815277
K02911,1,5.328518943252848
K01733,1,5.301480002690418
K02922,1,5.059690016147101
K13988,1,5.042019310079798
K00861,1,5.032651075584671
K09840,1,5.014980369517368
K14571,1,4.970270722887636
K03686,1,4.968139197041733
K06316,1,4.968139197041733
K11254,1,4.835608901536963
K06883,1,4.703078606032192
K04427,1,4.703078606032192
K12737,1,4.674402855219459
K15400,1,4.656732149152156
K02689,1,4.370232515979107
K04505,1,4.343193575416677
K03083,1,4.312288922731836
K15272,1,4.298978644382544
K08145,1,4.280813222719641
K12524,1,4.26314251665234
K14494,1,4.030720764604149
K15356,1,4.030720764604149
K02945,1,4.011984295613895
K01568,1,4.011984295613895
K00801,1,4.011984295613895
K11374,1,4.011984295613895
K01184,1,4.011984295613895
K10752,1,4.011984295613895
K13466,1,4.011984295613895
K06630,1,3.994313589546592
K08232,1,3.984945355051465
K08738,1,3.974511357633386
K00927,1,3.974511357633386
K13754,1,3.8684871212295695
K09761,1,3.762462884825754
K01823,1,3.698445721878415
K08493,1,3.698445721878415
K19720,1,3.698445721878415
K12824,1,3.680775015811113
K11841,1,3.680775015811113
K15227,1,3.680775015811113
K00030,1,3.6537360752486823
K08200,1,3.6537360752486823
K03039,1,3.63606536918138
K04485,1,3.63606536918138
K02183,1,3.4246853197273053
K14684,1,3.3981792606263506
K19027,1,3.371673201525397
K09497,1,3.34956573600833
K12812,1,3.340197501513203
K14611,1,3.340197501513203
K17362,1,3.340197501513203
K10664,1,3.340197501513203
K02637,1,3.322526795445901
K01757,1,3.322526795445901
K00695,1,3.322526795445901
K17046,1,3.322526795445901
K08741,1,3.322526795445901
K17710,1,3.224233983286908
K04079,1,3.224233983286908
K17338,1,3.102558750755974
K03124,1,3.023040573453112
K08334,1,3.023040573453112
K03456,1,3.023040573453112
K12135,1,3.008988221710421
K11498,1,2.98088351822504
K00826,1,2.98088351822504
K00846,1,2.9642785750806886
K06965,1,2.9642785750806886
K04713,1,2.901365340922178
K16818,1,2.8748592818212235
K14496,1,2.821847163619315
K09287,1,2.821847163619315
K12657,1,2.821847163619315
K09580,1,2.821847163619315
K12837,1,2.821847163619315
K15156,1,2.821847163619315
K03319,1,2.6954496479749417
K13941,1,2.650740001345209
K08202,1,2.404551421218004
K02873,1,2.3195307215424266
K01922,1,2.149489322191272
K01381,1,2.149489322191272
K03237,1,2.0683725005039824
K01601,1,1.987255678816693
K17662,1,1.987255678816693
K12160,1,1.987255678816693
K08819,1,1.987255678816693
K11251,1,1.987255678816693
K13384,1,1.9342435606147848
K07426,1,1.9342435606147848
K00036,1,1.881231442412877
K10357,1,1.881231442412877
K02109,1,1.881231442412877
K01785,1,1.881231442412877
K14454,1,1.881231442412877
K01371,1,1.881231442412877
K07767,1,1.881231442412877
