Replicate,HS10W,HS2W,HS6W
1,66.5,69.2,98.1
2,81.2,85.3,92.3
3,65.4,74.3,52.2
4,87.6,57.0,76.0
5,62.5,55.3,85.9
6,50.3,70.3,77.4
7,32.0,86.4,91.6
8,60.9,81.5,68.5
9,72.0,68.2,77.5
10,58.2,77.9,100.0
11,58.6,74.9,100.0
12,86.7,63.4,74.2
13,36.9,48.8,80.4
14,94.4,61.9,80.9
15,64.0,60.1,54.8
16,77.0,62.8,68.6
17,40.2,74.1,48.8
18,90.6,52.9,72.9
19,73.8,22.3,56.8
20,52.7,68.6,70.9
21,56.6,70.5,75.4
22,100.0,65.5,77.6
23,81.5,76.6,78.8
24,100.0,54.4,99.5
25,75.9,41.2,47.9
26,76.2,76.1,88.2
27,53.4,56.9,81.8
28,63.0,74.7,77.3
29,51.8,43.6,52.4
30,47.1,71.0,81.8
31,71.7,,87.7
32,62.0,,69.9
33,85.6,,66.9
34,50.2,,100.0
35,83.7,,78.6
36,72.1,,100.0
