Replicate,HS10W,HS2W,HS6W
1,2.4,1.4,1.5
2,2.6,2.4,1.0
3,3.4,0.6,3.3
4,2.5,1.0,3.4
5,2.5,1.8,2.8
6,1.5,1.2,1.7
7,2.9,3.4,1.8
8,1.4,3.2,2.4
9,0.5,3.1,0.6
10,3.4,0.6,0.9
11,1.3,2.9,2.4
12,3.1,3.2,3.3
13,2.0,2.6,3.4
14,3.3,1.2,2.2
15,2.3,1.7,1.1
16,3.3,3.4,2.1
17,1.7,1.5,1.0
18,3.4,2.3,0.9
19,3.0,2.1,2.7
20,3.3,1.9,1.1
21,3.3,1.2,0.6
22,2.5,3.3,2.4
23,1.6,2.3,3.4
24,1.5,1.2,3.2
25,1.0,0.6,1.6
26,0.9,2.1,3.3
27,0.5,0.8,2.0
28,0.8,3.0,3.3
29,2.0,2.6,2.2
30,3.4,3.3,0.5
31,1.8,,1.5
32,1.7,,0.9
33,2.2,,1.5
34,1.8,,1.6
35,2.3,,2.5
36,1.9,,3.3
