Replicate,HS10W,HS2W,HS6W
1,2.0,4.0,0.0
2,2.0,5.0,1.0
3,0.0,4.0,5.0
4,5.0,0.0,2.0
5,3.0,3.0,4.0
6,3.0,3.0,4.0
7,3.0,2.0,2.0
8,5.0,2.0,1.0
9,1.0,1.0,2.0
10,2.0,1.0,4.0
11,2.0,1.0,5.0
12,0.0,5.0,2.0
13,3.0,6.0,1.0
14,3.0,3.0,5.0
15,4.0,1.0,1.0
16,2.0,3.0,3.0
17,2.0,4.0,1.0
18,3.0,1.0,3.0
19,2.0,8.0,4.0
20,2.0,2.0,1.0
21,3.0,7.0,5.0
22,2.0,2.0,3.0
23,1.0,3.0,1.0
24,4.0,2.0,2.0
25,6.0,1.0,3.0
26,3.0,3.0,2.0
27,3.0,2.0,2.0
28,2.0,2.0,2.0
29,4.0,0.0,2.0
30,1.0,2.0,4.0
31,3.0,,2.0
32,3.0,,1.0
33,3.0,,2.0
34,2.0,,3.0
35,2.0,,3.0
36,1.0,,1.0
