Replicate,HS10W,HS10WGAE10,HS10WGAE9
1,66.5,57.7,71.4
2,81.2,67.2,70.1
3,65.4,80.5,71.9
4,87.6,40.0,79.6
5,62.5,63.7,75.2
6,50.3,44.9,83.1
7,32.0,62.8,82.7
8,60.9,71.0,42.3
9,72.0,61.5,68.0
10,58.2,76.9,71.7
11,58.6,59.1,80.2
12,86.7,55.4,66.4
13,36.9,89.6,58.0
14,94.4,69.9,70.1
15,64.0,23.0,52.2
16,77.0,95.9,70.8
17,40.2,45.0,89.3
18,90.6,65.2,42.5
19,73.8,71.1,67.0
20,52.7,79.1,89.3
21,56.6,45.6,54.1
22,100.0,38.4,46.7
23,81.5,59.6,82.3
24,100.0,74.0,65.0
25,75.9,83.8,64.3
26,76.2,100.0,85.3
27,53.4,70.3,43.6
28,63.0,96.6,68.4
29,51.8,47.3,83.6
30,47.1,63.0,69.0
31,71.7,,
32,62.0,,
33,85.6,,
34,50.2,,
35,83.7,,
36,72.1,,
