Replicate,HS10W,HS10WGAE10,HS10WGAE9
1,2.4,3.2,2.1
2,2.6,1.0,1.1
3,3.4,2.9,1.5
4,2.5,1.9,2.0
5,2.5,2.1,2.4
6,1.5,2.1,1.3
7,2.9,1.6,1.4
8,1.4,0.8,2.6
9,0.5,1.0,2.7
10,3.4,2.7,0.6
11,1.3,2.6,2.0
12,3.1,2.7,1.1
13,2.0,3.1,1.8
14,3.3,2.8,0.8
15,2.3,3.2,1.8
16,3.3,1.0,2.5
17,1.7,3.4,1.2
18,3.4,2.2,2.7
19,3.0,3.2,1.5
20,3.3,0.7,2.0
21,3.3,2.9,1.7
22,2.5,2.3,1.9
23,1.6,1.6,3.3
24,1.5,1.2,2.2
25,1.0,0.6,0.8
26,0.9,3.3,3.0
27,0.5,1.2,0.8
28,0.8,3.3,3.3
29,2.0,3.1,0.6
30,3.4,2.5,1.0
31,1.8,,
32,1.7,,
33,2.2,,
34,1.8,,
35,2.3,,
36,1.9,,
