Sham,Sham10W,SS10W,HS10W,HS10WGAE9,HS10WGAE10
0.342169865,0.199551468,0.313407279,0.428503829,0.62141441,0.33750169
0.28204777,0.143885572,0.105206745,0.329485664,0.111217276,0.248835938
0.16674213,0.913443337,0.168530187,0.612700236,0.110434399,0.598071791
0.269824007,0.112946721,0.194530657,0.582639998,0.163309568,0.308196314
0.470406801,0.312688632,0.108191434,0.652363126,0.159724673,1.172847347
0.303529181,0.130006676,0.671343888,1.083794113,0.127993525,0.723927102
0.225897454,0.265355582,0.108331317,0.40207535,1.071171721,0.23482737
0.15238945,0.78303571,0.066041441,0.737418766,0.690155827,0.077587367
0.156624493,0.667651299,0.149966642,0.661086777,0.641368065,0.206653489
0.471133664,0.294220513,0.399863384,0.920220441,3.057749043,0.360523504
0.503262548,0.38307779,0.135043009,0.266487747,1.393499383,0.254768169
0.596621254,0.366122384,0.057401808,0.473742147,0.264335923,0.238453032
0.093501636,0.148158206,0.305852089,0.038984487,0.242566402,0.247613022
0.088391662,0.219467766,0.276774299,0.021656903,0.22651549,0.138835487
0.055585529,0.460159919,0.195573448,0.064959997,0.139678876,0.196661601
0.066604439,0.302840786,1.605969756,0.478485698,0.058090034,0.151506218
0.057994343,0.180682264,0.403040609,0.235057289,0.20226666,0.260387509
0.0447516,0.093511552,0.348557857,0.147210329,0.737678694,0.078235902
,,0.232294514,0.286998367,0.421810899,0.132374915
,,0.030287099,1.063224158,0.098527994,0.125672903
,,0.035387213,0.419854086,0.101693291,0.067255993
,,0.062289154,1.073578533,0.089395184,0.071394553
,,0.079438887,0.367513021,0.865401215,0.033130559
,,0.039442623,1.962235864,0.198823297,0.751506102
,,0.069759716,0.677482603,0.178375042,0.094372485
,,0.105921379,0.329846364,0.158382512,0.079113716
,,0.098563909,0.365122408,0.139978828,0.030254687
,,0.196938901,0.494060751,0.080270684,0.065616203
,,0.224741305,0.473646489,0.499440567,0.191396987
,,0.187790097,0.295529763,0.117482405,0.090519614
,,0.146405816,1.023098157,,
,,0.09222883,0.339931417,,
,,0.09656959,0.465266704,,
,,0.461091246,0.514291193,,
,,0.068022921,0.687134948,,
,,0.241330341,0.503062186,,
