SampleID,Sham10W,SS10W,HFD10W,HS10W,HS10WGaE9,HS10WGaE10
HFD10W-1,,,489.0,,,
HFD10W-2,,,617.0,,,
HFD10W-3,,,652.0,,,
HFD10W-4,,,618.0,,,
HFD10W-5,,,673.0,,,
HFD10W-6,,,678.0,,,
HS10W-1,,,,630.0,,
HS10W-2,,,,562.0,,
HS10W-3,,,,702.0,,
HS10W-4,,,,756.0,,
HS10W-5,,,,773.0,,
HS10W-6,,,,706.0,,
HS10WGaE10-1,,,,,,509.0
HS10WGaE10-2,,,,,,586.0
HS10WGaE10-3,,,,,,739.0
HS10WGaE10-4,,,,,,710.0
HS10WGaE10-5,,,,,,642.0
HS10WGaE9-1,,,,,658.0,
HS10WGaE9-2,,,,,638.0,
HS10WGaE9-3,,,,,786.0,
HS10WGaE9-4,,,,,586.0,
HS10WGaE9-5,,,,,907.0,
SS10W-1,,666.0,,,,
SS10W-2,,555.0,,,,
SS10W-3,,599.0,,,,
SS10W-4,,684.0,,,,
SS10W-5,,758.0,,,,
SS10W-6,,676.0,,,,
Sham(10W)-4,324.0,,,,,
Sham(10W)-5,375.0,,,,,
Sham(10W)-6,368.0,,,,,
