SampleID,Sham10W,SS10W,HFD10W,HS10W,HS10WGaE9,HS10WGaE10
HFD10W-1,,,0.18,,,
HFD10W-2,,,0.21,,,
HFD10W-3,,,0.19,,,
HFD10W-4,,,0.23,,,
HFD10W-5,,,0.24,,,
HFD10W-6,,,0.24,,,
HS10W-1,,,,0.25,,
HS10W-2,,,,0.16,,
HS10W-3,,,,0.01,,
HS10W-4,,,,0.01,,
HS10W-5,,,,0.05,,
HS10W-6,,,,0.24,,
HS10WGaE10-1,,,,,,0.01
HS10WGaE10-2,,,,,,0.2
HS10WGaE10-3,,,,,,0.27
HS10WGaE10-4,,,,,,0.05
HS10WGaE10-5,,,,,,0.12
HS10WGaE9-1,,,,,0.27,
HS10WGaE9-2,,,,,0.26,
HS10WGaE9-3,,,,,0.28,
HS10WGaE9-4,,,,,0.17,
HS10WGaE9-5,,,,,0.3,
SS10W-1,,0.25,,,,
SS10W-2,,0.25,,,,
SS10W-3,,0.32,,,,
SS10W-4,,0.26,,,,
SS10W-5,,0.32,,,,
SS10W-6,,0.19,,,,
Sham(10W)-4,0.01,,,,,
Sham(10W)-5,0.23,,,,,
Sham(10W)-6,0.2,,,,,
