Sample_ID,Sham10W,SS10W,HFD10W,HS10W,HS10WGaE9,HS10WGaE10
hfd10w-1,,,1.0,,,
hfd10w-2,,,0.5,,,
hfd10w-3,,,0.0,,,
hfd10w-4,,,0.5,,,
hfd10w-5,,,1.0,,,
hfd10w-6,,,0.0,,,
hs10w-1,,,,2.0,,
hs10w-2,,,,2.0,,
hs10w-3,,,,3.0,,
hs10w-4,,,,2.5,,
hs10w-5,,,,3.0,,
hs10w-6,,,,3.0,,
hs10wgae10-1,,,,,,1.3
hs10wgae10-2,,,,,,0.8
hs10wgae10-3,,,,,,0.3
hs10wgae10-4,,,,,,1.3
hs10wgae10-5,,,,,,1.3
hs10wgae9-1,,,,,1.0,
hs10wgae9-2,,,,,1.0,
hs10wgae9-3,,,,,1.0,
hs10wgae9-4,,,,,1.5,
hs10wgae9-5,,,,,1.0,
sham-1(10w),0.5,,,,,
sham-2(10w),0.0,,,,,
sham-3(10w),0.5,,,,,
ss10w-1,,1.7,,,,
ss10w-2,,1.2,,,,
ss10w-3,,1.7,,,,
ss10w-4,,0.7,,,,
ss10w-5,,1.2,,,,
ss10w-6,,1.7,,,,
