SampleID,Sham10W,SS10W,HFD10W,HS10W,HS10WGaE9,HS10WGaE10
HFD10W-1,,,52.0,,,
HFD10W-2,,,76.0,,,
HFD10W-3,,,85.0,,,
HFD10W-4,,,66.0,,,
HFD10W-5,,,41.0,,,
HFD10W-6,,,53.0,,,
HS10W-1,,,,541.0,,
HS10W-2,,,,288.0,,
HS10W-3,,,,556.0,,
HS10W-4,,,,536.0,,
HS10W-5,,,,643.0,,
HS10W-6,,,,172.0,,
HS10WGaE10-1,,,,,,329.0
HS10WGaE10-2,,,,,,186.0
HS10WGaE10-3,,,,,,125.0
HS10WGaE10-4,,,,,,134.0
HS10WGaE10-5,,,,,,174.0
HS10WGaE9-1,,,,,56.0,
HS10WGaE9-2,,,,,50.0,
HS10WGaE9-3,,,,,137.0,
HS10WGaE9-4,,,,,58.0,
HS10WGaE9-5,,,,,93.0,
SS10W-1,,294.0,,,,
SS10W-2,,136.0,,,,
SS10W-3,,120.0,,,,
SS10W-4,,155.0,,,,
SS10W-5,,184.0,,,,
SS10W-6,,127.0,,,,
Sham(10W)-4,120.0,,,,,
Sham(10W)-5,180.0,,,,,
Sham(10W)-6,151.0,,,,,
