Sample_ID,Sham10W,SS10W,HFD10W,HS10W,HS10WGaE9,HS10WGaE10
hfd10w-1,,,1.7000000000000002,,,
hfd10w-2,,,2.7,,,
hfd10w-3,,,1.7000000000000002,,,
hfd10w-4,,,2.7,,,
hfd10w-5,,,2.2,,,
hfd10w-6,,,1.7000000000000002,,,
hs10w-1,,,,3.7,,
hs10w-2,,,,2.7,,
hs10w-3,,,,3.2,,
hs10w-4,,,,3.2,,
hs10w-5,,,,3.2,,
hs10w-6,,,,2.7,,
hs10wgae10-1,,,,,,0.7
hs10wgae10-2,,,,,,1.7
hs10wgae10-3,,,,,,1.2
hs10wgae10-4,,,,,,1.7
hs10wgae10-5,,,,,,0.7
hs10wgae9-1,,,,,1.7000000000000002,
hs10wgae9-2,,,,,2.7,
hs10wgae9-3,,,,,2.7,
hs10wgae9-4,,,,,2.7,
hs10wgae9-5,,,,,2.7,
sham-1(10w),0.0,,,,,
sham-2(10w),0.0,,,,,
sham-3(10w),0.5,,,,,
ss10w-1,,2.3,,,,
ss10w-2,,1.8,,,,
ss10w-3,,2.3,,,,
ss10w-4,,1.8,,,,
ss10w-5,,1.8,,,,
ss10w-6,,1.3,,,,
