Phylum,Genus,Species,Mean_Sham,Mean_HS2W,Log2FC(HS2W/Sham),P_value
Bacteroidota,Spongiimonas,unclassified,0.003195119130233634,0.0,-21.607438744012626,1.920131077639871e-09
Bacteroidota,Duncaniella,unclassified,0.02358026833217673,0.0,-24.49107686098454,2.940089982848559e-08
Bacteroidota,Duncaniella,Duncaniella muricolitica,0.0813381910710155,0.0,-26.277429588142052,2.3775247336411307e-07
Bacteroidota,unclassified,unclassified,0.0012578070784177654,0.0,-20.262480375930934,4.511638214221013e-07
Bacteroidota,Spongiimonas,Spongiimonas flava,0.004525213971778857,0.0,-22.109554898835498,5.091687694837516e-07
Bacteroidota,Paramuribaculum,Paramuribaculum sp001689565,0.03078012953967153,0.0,-24.87549601441364,6.715216279188245e-07
Pseudomonadota,unclassified,unclassified,0.001142146657413833,0.0,-20.123317744410333,8.907545316560195e-07
Bacteroidota,UBA7173,UBA7173 sp002491305,0.06900589868147121,0.0002342123525329632,-8.202752574201435,5.707314143034925e-06
Bacillota_A_368345,Eubacterium_R,unclassified,0.004611959287531806,0.0,-22.136948659671276,6.998617308524565e-06
Bacillota_A_368345,UBA946,unclassified,0.001012028683784409,0.0,-19.9488201755822,1.7829775363055768e-05
Bacillota_A_368345,unclassified,unclassified,0.0076191302336340505,0.0,-22.86119507407923,4.115928690241916e-05
Bacillota_I,unclassified,unclassified,0.00594205412907703,0.0,-22.50253055956601,4.5872394058745647e-05
Bacillota_A_368345,Romboutsia_B,Romboutsia_B ilealis,0.0,0.02867800138792505,24.773441198523145,5.304436269015925e-05
Pseudomonadota,Photobacterium,Photobacterium damselae,0.0059998843395789965,0.0,-22.516503499778434,7.348552046210941e-05
Bacillota_A_368345,Kineothrix,Kineothrix sp000403275,0.017161114966458477,0.0994795281054823,2.5352563058671693,7.68367220395932e-05
Pseudomonadota,Ruegeria_B_490092,unclassified,0.003079458709229701,0.0,-21.554245821805935,9.14171321322274e-05
Bacteroidota,Paramuribaculum,Paramuribaculum intestinale,0.010366065232477446,0.0559941013185288,2.4334063639167756,0.0001931429588087038
Bacillota_A_368345,Anaerotignum_189125,unclassified,0.0002313208420078649,0.006497224149895906,4.811850299583257,0.00033351407172416554
Bacteroidota,CAG-873,CAG-873 sp011959565,0.01905505436039787,0.0012404580152671756,-3.9412278250741144,0.0006122150384434593
Bacillota_A_368345,unclassified,unclassified,0.0029493407356002773,0.0,-21.491961564220254,0.000732554963737565
Bacillota_A_368345,Borkfalkia,unclassified,0.006954082812861438,0.00020818875780707842,-5.061889454946687,0.0010594236233423119
Bacillota_A_368345,Brotaphodocola,Brotaphodocola sp003611875,0.008876937312051815,8.674531575294934e-05,-6.677115875878156,0.0013458579419243922
Bacillota_A_368345,Eubacterium_F,unclassified,0.003021628498727736,0.0,-21.526895342627288,0.0013758763515809627
Bacillota_A_368345,Avispirillum,Avispirillum sp011957885,0.0,0.002133934767522554,21.025085320335933,0.0016408555606360813
Bacillota_A_368345,UBA3282,UBA3282 sp003611805,0.041319685403654875,0.001865024288688411,-4.46956220703526,0.0017920233547801107
Bacillota_A_368345,unclassified,unclassified,5.783021050196623e-05,0.0030360860513532267,5.714221045981613,0.0018800007115720929
Bacillota_A_368345,Roseburia_B,Roseburia_B sp009911505,0.000260235947258848,0.017817487855655796,6.097324407894915,0.003131765519497205
Actinomycetota,Adlercreutzia_A_404260,Adlercreutzia_A_404260 sp011039075,0.0017493638676844784,0.0,-20.738399795061664,0.0032116136862372735
Bacillota_A_368345,Acetatifactor,Acetatifactor sp011959105,0.003802336340504279,0.03396946564885496,3.159280129192274,0.0032546976641481895
Desulfobacterota_G_459543,Desulfovibrio_446353,Desulfovibrio sp011039135,0.0008529956049040018,0.012916377515614159,3.9205178154224223,0.0032803607463428386
Bacteroidota,Bacteroides_H_857956,Bacteroides_H_857956 acidifaciens,0.1573993754337266,0.08676266481609993,-0.8592835391968854,0.003298283470045717
Bacillota_A_368345,CAG-475,CAG-475 sp900548005,0.0010264862364099006,0.0,-19.9692842580638,0.004025122369670738
Bacillota_A_368345,Luxibacter,unclassified,0.0012578070784177657,0.0,-20.262480375930934,0.00450861207553349
Bacillota_A_368345,unclassified,unclassified,0.0017638214203099698,0.0,-20.750273888590147,0.004956157550632331
Bacillota_A_368345,Clostridium_T,Clostridium_T disporicum_B,0.0,0.03937369882026371,25.230728948503128,0.006465350681011652
Bacillota_A_368345,CAG-269,unclassified,0.0021252602359472586,0.0,-21.019208756758744,0.006831544632509466
Actinomycetota,Adlercreutzia_A_404199,Adlercreutzia_A_404199 muris,0.00010120286837844089,0.0016828591256072174,4.055578927845758,0.006919740846378038
