Phylum,Genus,Species,Mean_Sham,Mean_HS2W,Mean_HS6W,Mean_HS10W,Trend
Actinomycetota,Bifidobacterium_388775,Bifidobacterium globosum,0.0010409437890353923,0.00036433032616238725,0.0,0.00025300717094610224,Fluctuating
Actinomycetota,Granulimonas,unclassified,0.0,0.0026283830673143648,0.004669789498033773,0.005146888734674994,Increasing
Actinomycetota,Adlercreutzia_A_404199,Adlercreutzia_A_404199 muris,0.00010120286837844089,0.0016828591256072174,0.0003542100393245431,0.00043372657876474674,Fluctuating
Actinomycetota,Adlercreutzia_A_404260,Adlercreutzia_A_404260 sp011039075,0.0017493638676844784,0.0,0.0,0.0,Fluctuating
Bacillota_A_368345,Borkfalkia,unclassified,0.006954082812861438,0.00020818875780707842,0.0004120402498265094,0.000751792736525561,Fluctuating
Bacillota_A_368345,CAG-314,CAG-314 sp900551395,0.0011999768679157993,0.0,0.0,0.0,Fluctuating
Bacillota_A_368345,CAG-314,unclassified,0.0018071940781864448,0.007668285912560723,0.004236062919269026,0.01767435808466343,Fluctuating
Bacillota_A_368345,CAG-475,CAG-475 sp900548005,0.0010264862364099006,0.0,0.0,0.0,Fluctuating
Bacillota_A_368345,unclassified,unclassified,0.000910825815405968,0.0,0.0009397409206569511,0.00273970622253065,Fluctuating
Bacillota_A_368345,unclassified,unclassified,0.0017638214203099698,0.0,0.0,0.0,Fluctuating
Bacillota_A_368345,unclassified,unclassified,0.0006939625260235947,0.0017262317834836917,0.001922854499190377,0.003354152209114041,Fluctuating
Bacillota_A_368345,Clostridium_T,Clostridium_T disporicum_B,0.0,0.03937369882026371,0.005190261392551469,0.0037083622484385837,Fluctuating
Bacillota_A_368345,Anaerotignum_189125,unclassified,0.0002313208420078649,0.006497224149895906,0.004792678695350451,0.004886652787416146,Fluctuating
Bacillota_A_368345,Coprocola,unclassified,0.0021397177885727502,0.0,2.1686328938237334e-05,0.0,Fluctuating
Bacillota_A_368345,unclassified,unclassified,5.783021050196623e-05,0.0030360860513532267,0.0013951538283599352,0.0008891394864677308,Fluctuating
Bacillota_A_368345,Acetatifactor,Acetatifactor sp011959105,0.003802336340504279,0.03396946564885496,0.03876792736525561,0.03563786722183669,Fluctuating
Bacillota_A_368345,Acetitomaculum,unclassified,0.0012144344205412907,0.0005464954892435809,0.00032529493407356004,0.0007084200786490862,Fluctuating
Bacillota_A_368345,Brotaphodocola,Brotaphodocola sp003611875,0.008876937312051815,8.674531575294934e-05,0.00047709923664122136,0.00025300717094610224,Fluctuating
Bacillota_A_368345,Butyribacter,unclassified,0.008862479759426325,0.0,0.0,0.0,Decreasing
Bacillota_A_368345,COE1,COE1 sp000403335,0.02506939625260236,0.00038167938931297715,0.0003542100393245431,0.0002457783946333564,Decreasing
Bacillota_A_368345,COE1,unclassified,0.008949225075179272,0.00590735600277585,0.002985484617164006,0.0017493638676844784,Decreasing
Bacillota_A_368345,Eubacterium_F,unclassified,0.003021628498727736,0.0,0.0,0.0,Fluctuating
Bacillota_A_368345,Eubacterium_J,Eubacterium_J plexicaudatum,0.002992713393476752,0.0004250520471894518,0.0003542100393245431,0.00043372657876474663,Fluctuating
Bacillota_A_368345,G11,unclassified,0.007503469812630119,0.0,0.0,0.0,Decreasing
Bacillota_A_368345,Hominisplanchenecus_A,Hominisplanchenecus_A murintestinalis,0.0015469581309275969,0.0,0.0,0.0,Fluctuating
Bacillota_A_368345,Kineothrix,Kineothrix sp000403275,0.017161114966458477,0.0994795281054823,0.0893910478834143,0.10785334258616701,Fluctuating
