SampleID,BodyWeight (g),BIT,SGOT,SGPT,BUN,CRE,AC,TG,CHOL,HDL,LDL,Group
Sham-1,27.92,0.1,43.0,18.0,36.0,0.21,268.0,148.0,69.0,61.7,2.0,Sham
Sham-2,28.82,0.1,44.0,11.0,31.2,0.2,284.0,53.0,41.0,36.4,3.0,Sham
Sham-3,28.74,0.2,303.0,134.0,32.8,0.13,285.0,87.0,64.0,42.6,2.0,Sham
Sham(10W)-4,29.04,0.1,41.0,21.0,33.8,0.01,324.0,120.0,65.0,47.4,2.0,Sham10W
Sham(10W)-5,31.33,0.1,41.0,19.0,39.9,0.23,375.0,180.0,75.0,61.7,3.0,Sham10W
Sham(10W)-6,29.38,0.1,129.0,25.0,34.2,0.2,368.0,151.0,67.0,54.6,2.0,Sham10W
HS2W-1,19.42,,,,,,,,,,,HS2W
HS2W-2,22.76,0.2,289.0,149.0,20.0,0.16,640.0,698.0,196.0,93.7,20.0,HS2W
HS2W-3,24.68,0.2,132.0,76.0,20.8,0.32,767.0,875.0,193.0,110.6,14.0,HS2W
HS2W-4,23.14,0.1,235.0,116.0,19.6,0.09,740.0,376.0,175.0,100.3,7.0,HS2W
HS2W-5,22.54,1.2,342.0,196.0,22.0,0.15,674.0,897.0,264.0,107.4,25.0,HS2W
HS6W-1,25.19,0.07,98.0,55.0,23.2,0.3,682.0,446.0,190.0,111.3,11.0,HS6W
HS6W-2,22.93,0.1,141.0,68.0,26.4,0.33,758.0,175.0,147.0,102.0,5.0,HS6W
HS6W-3,26.44,0.2,124.0,62.0,26.3,0.08,767.0,620.0,160.0,104.2,6.0,HS6W
HS6W-4,25.98,0.1,82.0,45.0,22.9,0.3,764.0,183.0,159.0,110.6,6.0,HS6W
HS6W-5,25.93,0.4,318.0,105.0,20.3,0.26,520.0,132.0,84.0,37.1,18.0,HS6W
HS6W-6,29.8,0.1,78.0,35.0,21.2,0.34,1171.0,253.0,145.0,100.3,6.0,HS6W
HS10W-1,25.99,0.9,156.0,72.0,28.8,0.25,630.0,541.0,236.0,132.4,10.0,HS10W
HS10W-2,26.47,0.2,169.0,114.0,27.9,0.16,562.0,288.0,200.0,123.0,7.0,HS10W
HS10W-3,24.62,0.3,145.0,50.0,28.0,0.01,702.0,556.0,170.0,106.1,7.0,HS10W
HS10W-4,24.56,0.0,205.0,100.0,25.1,0.01,756.0,536.0,188.0,109.3,6.0,HS10W
HS10W-5,25.53,0.1,145.0,96.0,28.2,0.05,773.0,643.0,180.0,108.2,5.0,HS10W
HS10W-6,25.92,0.1,153.0,96.0,29.6,0.24,706.0,172.0,161.0,104.2,4.0,HS10W
SS10W-1,26.72,0.1,80.0,59.0,35.1,0.25,666.0,294.0,78.0,54.3,2.0,SS10W
SS10W-2,25.7,0.1,74.0,44.0,42.0,0.25,555.0,136.0,71.0,57.9,3.0,SS10W
SS10W-3,30.37,0.1,69.0,47.0,37.8,0.32,599.0,120.0,52.0,45.6,1.0,SS10W
SS10W-4,24.2,0.1,100.0,60.0,30.4,0.26,684.0,155.0,71.0,40.4,2.0,SS10W
SS10W-5,26.66,0.1,46.0,31.0,37.2,0.32,758.0,184.0,62.0,47.1,2.0,SS10W
SS10W-6,28.7,0.1,38.0,32.0,28.2,0.19,676.0,127.0,60.0,53.0,1.0,SS10W
HFD10W-1,36.21,0.1,86.0,18.0,29.2,0.18,489.0,52.0,119.0,82.0,5.0,HFD10W
HFD10W-2,45.06,0.1,74.0,33.0,27.6,0.21,617.0,76.0,130.0,90.6,6.0,HFD10W
HFD10W-3,41.43,0.1,136.0,24.0,28.1,0.19,652.0,85.0,121.0,92.2,6.0,HFD10W
HFD10W-4,50.34,0.1,197.0,139.0,28.8,0.23,618.0,66.0,133.0,91.4,10.0,HFD10W
HFD10W-5,51.97,0.1,117.0,103.0,30.4,0.24,673.0,41.0,120.0,82.6,8.0,HFD10W
HFD10W-6,50.34,0.1,160.0,137.0,27.0,0.24,678.0,53.0,129.0,80.6,9.0,HFD10W
HS10WGaE9-1,24.62,0.1,1125.0,1008.0,24.1,0.27,658.0,56.0,122.0,82.9,6.0,HS10WGaE9
HS10WGaE9-2,20.12,0.1,319.0,220.0,23.0,0.26,638.0,50.0,123.0,80.3,3.0,HS10WGaE9
HS10WGaE9-3,24.32,0.1,754.0,390.0,29.1,0.28,786.0,137.0,128.0,93.8,3.0,HS10WGaE9
HS10WGaE9-4,24.52,0.1,1264.0,727.0,26.1,0.17,586.0,58.0,103.0,69.4,4.0,HS10WGaE9
HS10WGaE9-5,25.96,0.0,139.0,68.0,26.3,0.3,907.0,93.0,119.0,84.2,1.0,HS10WGaE9
HS10WGaE10-1,21.36,0.1,298.0,218.0,20.9,0.01,509.0,329.0,200.0,111.5,9.0,HS10WGaE10
HS10WGaE10-2,21.67,0.1,319.0,207.0,25.1,0.2,586.0,186.0,171.0,102.2,10.0,HS10WGaE10
HS10WGaE10-3,27.02,0.1,117.0,32.0,21.3,0.27,739.0,125.0,110.0,89.5,4.0,HS10WGaE10
HS10WGaE10-4,23.51,0.2,643.0,298.0,18.0,0.05,710.0,134.0,143.0,92.4,4.0,HS10WGaE10
HS10WGaE10-5,28.37,0.1,418.0,235.0,18.1,0.12,642.0,174.0,115.0,85.3,3.0,HS10WGaE10
