Group,BodyWeight (g),BodyWeight (g),BIT,BIT,SGOT,SGOT,SGPT,SGPT,BUN,BUN,CRE,CRE,AC,AC,TG,TG,CHOL,CHOL,HDL,HDL,LDL,LDL
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
HFD10W,45.89166666666667,6.178256766003388,0.10000000000000002,0.0,128.33333333333334,46.15047850961749,75.66666666666667,57.15825982888796,28.516666666666666,1.2172373091006798,0.215,0.025884358211089555,621.1666666666666,69.80377258190755,62.166666666666664,16.509593170840603,125.33333333333333,6.022181221672649,86.56666666666666,5.358233539765383,7.333333333333333,1.96638416050035
HS10W,25.515,0.7765243074109135,0.26666666666666666,0.3265986323710904,162.16666666666666,22.772058902669883,88.0,23.01303978182804,27.933333333333334,1.5253414918196737,0.12,0.11135528725660043,688.1666666666666,79.50953821188163,456.0,183.01584630845494,189.16666666666666,26.671457902909374,113.86666666666667,11.257293931787814,6.5,2.073644135332772
HS10WGaE10,24.386000000000003,3.1666591227980314,0.12000000000000002,0.0447213595499958,359.0,192.36813665469654,198.0,99.25472280954695,20.68,2.907232360854563,0.13,0.1065363787633126,637.2,93.19710295926585,189.6,82.0871488114918,147.8,38.04865306420189,96.17999999999999,10.585697898579951,6.0,3.24037034920393
HS10WGaE9,23.908,2.2142086622538537,0.08,0.044721359549995794,720.2,489.764943620917,482.6,382.49287575064716,25.72,2.3413671220037235,0.256,0.05029910535983717,715.0,130.1191761424887,78.8,36.64287106655263,119.0,9.513148795220223,82.12,8.753113731695708,3.4,1.816590212458495
HS2W,22.508000000000003,1.9181553638847908,0.425,0.5188127472091126,249.5,89.690207566564,134.25,50.84863157778519,20.6,1.0583005244258357,0.18,0.09831920802501751,705.25,58.46580197004057,711.5,240.75229317011014,207.0,39.11521443121589,103.0,7.547626558506097,16.5,7.767453465154029
HS6W,26.045,2.2229597387267273,0.16166666666666668,0.12496666222103664,140.16666666666666,90.45754068438224,61.666666666666664,24.295404229332483,23.383333333333336,2.5356787388521163,0.26833333333333337,0.09641922353279281,777.0,214.9139362628678,301.5,191.5460780073557,147.5,35.02427729447105,94.25,28.35424130531445,8.666666666666666,5.046450898073483
SS10W,27.058333333333334,2.1886289467761935,0.10000000000000002,0.0,67.83333333333333,22.75448673705181,45.5,12.565826673959817,35.11666666666667,5.079534099370401,0.265,0.04929503017546496,656.3333333333334,70.90463078436181,169.33333333333334,65.2676540613087,65.66666666666667,9.395034149308167,49.71666666666667,6.470677450365351,1.8333333333333333,0.752772652709081
Sham,28.493333333333336,0.4981298358192694,0.13333333333333333,0.05773502691896258,130.0,149.8232291735831,54.333333333333336,69.0820767879291,33.333333333333336,2.4440403706431164,0.18000000000000002,0.04358898943540675,279.0,9.539392014169456,96.0,48.13522618623496,58.0,14.933184523068078,46.9,13.186735759845952,2.3333333333333335,0.5773502691896258
Sham10W,29.916666666666668,1.2357319018837911,0.10000000000000002,0.0,70.33333333333333,50.80682368868707,21.666666666666668,3.055050463303893,35.96666666666667,3.412232895529455,0.1466666666666667,0.11930353445448855,355.6666666666667,27.64657905299195,150.33333333333334,30.0055550412475,69.0,5.291502622129181,54.56666666666666,7.1500582748207995,2.3333333333333335,0.5773502691896258
