Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,,入室,W0,W1,,W2,,W3,,W4,,W5,,W6,,,W7,,W8,,W9,,W10,,W11,,W12,,W13,,W14,,W15,,W16,
,,週齡,5W,6W,,7W,,8W,,9W,,10W,,11W,,,12W,,13W,,14W,,15W,,16W,,17W,,18W,,19W,,20W,,21W,
,,單位,(g),(g),(g),(g),(g),(g),(g),(g),(g),(g),(g),(g),（mg/dL）,(g),(g),(g),(g),(g),(g),(g),(g),(g),(g),(g),(g),(g),(g),(g),(g),(g),(g),(g),(g),(g)
Sham,Sham,1,20.24,22.24,23.56,24.52,24.88,24.94,25.82,25.66,26.22,26.62,26.78,26.88,82,27.52,27.72,27.8,27.54,27.78,27.86,27.64,27.92,-,,,,,,,,,,,,
,,,18.04,20.86,21.76,23.58,23.88,24.56,25.18,25.44,26.3,26.68,27.12,27.14,84,27.54,27.78,27.64,27.62,27.78,27.82,28.62,28.82,-,,,,,,,,,,,,
,,,20.32,21.86,22.18,24.32,24.08,24.68,25.18,25.82,25.96,26.38,26.68,27.46,120,27.96,28.54,28.9,28.34,28.64,28.66,28.46,28.74,-,,,,,,,,,,,,
Sham,Sham,2,19.94,20.58,21.16,22.38,22.52,23.56,23.62,24.24,24.9,25.14,24.98,25.64,127,26.12,26.22,26.2,26.12,26.72,27.06,27.14,27.84,27.62,27.66,28.08,27.74,28.04,27.46,28.56,28.44,28.94,29.16,29.02,28.74,29.04
,,,20.28,21.6,22.52,23.82,24.72,24.96,25.92,25.52,26.22,26.46,26.52,26.82,106,27.34,27.42,27.44,27.48,28.38,28.22,28.38,28.52,28.82,29.52,29.6,29.82,29.88,29.8,29.64,29.38,30.3,29.76,30.76,30.222,31.33
,,,19.86,21.32,21.92,23.04,23.02,24.1,24.42,24.82,24.72,25.2,25.76,26.04,130,26.42,25.94,26.2,26.52,26.76,26.98,27.08,27.28,27.78,27.92,27.58,28.28,28.04,28.3,28.78,28.64,28.76,29.06,29.26,28.54,29.38
HFD,HFD,3,19.32,20.94,20.82,21.42,22.12,22.54,23.14,23.42,23.58,24.52,24.8,25.94,153,25.84,26.72,27.66,28.24,28,28.24,28.72,29.58,30.44,30.38,30.72,31.66,32,32.4,32.58,33.72,34.36,35.24,36.46,36.86,36.21
,,,19.76,21.48,21.98,22.56,23.42,24.06,25.36,26.42,26.16,27.16,28.04,30.04,147,29.9,30.44,31.3,33.02,32.7,32.92,33.84,34.42,36.32,36.52,36.76,38.3,39.5,39.92,40.32,41.66,42.44,43.32,45.08,45.12,45.06
,,,19.16,21.42,21.94,23.02,23.44,23.94,24.98,26.02,26.48,27.46,27.84,28.94,136,29.28,29.78,30.18,31.36,31.76,32.02,32.64,33.74,34.66,34.68,35.22,35.74,36.78,36.66,37.22,38.48,39.32,39.62,40.44,41.22,41.43
,HFD,4,20.26,22.16,22.38,23.98,25.28,26.72,27.08,28.64,29.48,31.14,31.94,32.74,183,33.28,34.76,35.76,37.16,37.72,39.24,40.22,41.3,42.78,43.4,44.76,46.26,47.26,47.82,48.34,48.7,50.38,50.4,50.66,50.9,50.34
,,,20.72,23.02,22.78,24.18,25.92,27.16,28.14,29.32,30.04,31.32,32.48,34.36,149,35.26,36.42,37.84,38.58,38.68,40.42,41.32,42.42,43.74,44.64,45.76,46.84,48.54,48.98,49.78,50.42,50.92,51.18,51.84,52.26,51.97
,,,20.96,23.36,23.3,24.186,24.88,25.72,26.62,28.42,29.4,30.94,31.52,33.3,174,33.64,34.82,35.86,37.08,37.16,38.24,39.04,40.78,41.38,42.56,43.86,45.34,46.34,47.82,47.32,47.9,49.06,49.58,50.02,50.12,50.34
HS6W,HFD+STZ,5,19.34,21.84,22.18,23.26,24.1,24.42,25.44,26.66,24.78,23.02,22.72,22.66,310,22.88,23.26,23.88,23.94,23.96,24.42,24.54,25.32,24.74,24.9,24.96,24.64,25.19,-,,,,,,,
,,,18.16,20.86,21.04,21.78,22.84,23.06,23.76,24.9,22.96,21.03,21.44,21.32,313,20.84,20.92,20.4,21.04,21.04,21.64,21.92,22.52,23.28,23.06,22.88,23.14,22.93,-,,,,,,,
,,,19.72,22.46,22.74,24.42,25.42,26.22,27.7,30.12,27.04,24.8,24.46,24.34,400,24.28,24.64,24.56,25.34,25.26,25.66,25.9,25.7,26.58,25.86,25.94,26.46,26.44,-,,,,,,,
,HFD+STZ,6,18.36,21.86,22.66,24.56,26.14,27.3,28.2,29.42,26.36,24.78,24.78,24.38,399,24.8,25.26,25.88,25.38,25.46,25.96,25.72,25.82,26.04,25.82,25.46,26.26,25.98,-,,,,,,,
,,,17.9,23.18,23.9,25.72,26.18,27.46,28.14,28.92,26.22,23.16,23.56,24.18,324,24.52,24.64,25.2,25.46,24.76,24.92,25.6,25.86,25.56,25.28,26.1,25.82,25.93,-,,,,,,,
,,,20.48,24.44,24.42,25.98,27.14,28.66,29.74,31.62,28.2,28.12,27.32,27.44,308,27.54,28.18,28.42,29.02,28.76,29.24,29.36,29..26,29.56,30.08,29.4,29.64,29.8,-,,,,,,,
HS10W,HFD+STZ,7,19.12,21.82,22.34,23.62,24.98,26.08,27.22,28.24,26.04,24.12,23.36,23.26,330,23.72,23.6,24.04,23.54,23.26,23.62,23.72,24.32,24.72,25.04,24.72,24.96,25.06,24.62,25.42,25.48,25.62,25.48,25.88,25.54,25.99
,,,19.18,22.12,22.22,24.1,24.68,25.18,26.26,27.24,25.22,24.16,23.68,24,404,24.04,24.24,24.68,24.42,24.68,24.86,24.72,25.06,25.02,25.26,24.88,25.12,24.82,25.5,26.44,26.82,26.38,25.92,25.82,25.64,26.47
,,,18.32,20.12,21.22,22.84,24.6,25.3,26.12,27.7,24.78,23.3,22.72,22.74,347,22.72,23.1,23.26,23.72,23.74,23.96,24.14,24.02,24.1,23.92,24.06,24.2,23..82,24.32,24.4,24.8,24.74,25.34,24.92,24.16,24.62
,HFD+STZ,8,18.12,21.36,21.44,22.38,23.42,24.02,24.74,25.46,23.1,22.24,21.96,22.14,411,22.52,22.66,22.76,22.82,22.5,23.52,23.46,24.4,23.9,23.86,23.8,23.62,24.1,24.08,24.5,24.34,24.32,24.26,24.42,24.68,24.56
,,,19.72,22.54,22.36,23.32,24.26,24.94,25.46,26.24,24.74,23.74,23.16,22.96,357,22.54,23.44,24,23.32,23.38,24.16,24.04,24.76,24.48,24.7,25.2,25.12,24.78,25.1,25.46,25.58,25.72,25.46,25.74,25.88,25.53
,,,17.96,20.76,21.88,23.6,24.92,25.04,25.64,26.44,23.62,23.16,23.56,23.44,393,23.46,23.86,24.1,23.74,23.74,24.7,24.58,24.78,25.32,25.78,25.1,25.54,25.92,25.46,25.2,25.54,26.18,25.42,25.88,26.08,25.92
