Sample,Group,Shannon,Chao1
Sham-1,Sham,3.5783754260811254,157.6
Sham-2,Sham,3.726503956457236,171.08333333333334
Sham-3,Sham,3.4219525381547142,157.25
HS2W-1,HS2W,3.486924362730723,94.0
HS2W-2,HS2W,3.310849599416576,96.0
HS2W-3,HS2W,3.5005631169669074,87.0
HS2W-4,HS2W,3.542430174439189,95.0
HS2W-5,HS2W,3.511438053873587,95.0
HS6W-1,HS6W,2.7703436421641556,82.0
HS6W-2,HS6W,3.2818172873801896,103.0
HS6W-3,HS6W,2.8120116709386074,92.125
HS6W-4,HS6W,3.414471575756974,98.0
HS6W-5,HS6W,3.2786818749970816,102.0
HS6W-6,HS6W,3.3346563889271166,100.25
Sham10W-4,Sham10W,3.6620119548219385,120.0
Sham10W-5,Sham10W,3.7665869041971263,129.0
Sham10W-6,Sham10W,3.757215238991624,117.0
SS10W-1,SS10W,3.3568039609103026,114.0
SS10W-2,SS10W,3.0873506210557533,99.0
SS10W-3,SS10W,3.6127221381210237,118.16666666666667
SS10W-4,SS10W,3.3014569153897613,114.25
SS10W-5,SS10W,3.5905868153703073,111.25
SS10W-6,SS10W,3.5872122122085113,114.0
HFD10W-1,HFD10W,3.3428044142488593,90.0
HFD10W-2,HFD10W,3.5058686970659783,101.5
HFD10W-3,HFD10W,3.4530873913924514,110.0
HFD10W-4,HFD10W,3.578538950293516,99.5
HFD10W-5,HFD10W,3.5175770204803634,91.0
HFD10W-6,HFD10W,3.3910996978952883,97.125
HS10W-1,HS10W,3.2015125850247537,101.5
HS10W-2,HS10W,3.3446779089004717,100.66666666666667
HS10W-3,HS10W,3.358749019684399,106.0
HS10W-4,HS10W,3.4114941486202133,95.0
HS10W-5,HS10W,3.0918180467251375,87.25
HS10W-6,HS10W,3.1956556332517154,89.25
HS10WGaE9-1,HS10WGaE9,3.408698926334474,105.0
HS10WGaE9-2,HS10WGaE9,3.072278465967525,94.16666666666667
HS10WGaE9-3,HS10WGaE9,3.363769522277063,100.0
HS10WGaE9-4,HS10WGaE9,3.4281239326734134,98.0
HS10WGaE9-5,HS10WGaE9,3.3269213342696675,95.1
HS10WGaE10-1,HS10WGaE10,3.337503710983164,92.0
HS10WGaE10-2,HS10WGaE10,3.3861356316690534,103.33333333333333
HS10WGaE10-3,HS10WGaE10,3.5647362522742183,112.0
HS10WGaE10-4,HS10WGaE10,3.476445462150058,101.16666666666667
HS10WGaE10-5,HS10WGaE10,3.570858457978431,107.66666666666667
