Phylum,Genus,Species,Mean_12W,Mean_20W,Log2FC(20W/12W),P_value
Bacteroidota,Spongiimonas,unclassified,0.003195119130233634,0.0,-21.607438744012626,1.964446466423675e-06
Bacteroidota,Duncaniella,Duncaniella dubosii,0.0,0.0012867221836687485,20.295270285273517,4.658359234082059e-06
Bacteroidota,unclassified,unclassified,0.0012578070784177654,0.0,-20.262480375930934,7.456648657061026e-05
Bacteroidota,Spongiimonas,Spongiimonas flava,0.004525213971778857,0.0,-22.109554898835498,8.081559520853944e-05
Pseudomonadota,unclassified,unclassified,0.001142146657413833,0.0,-20.123317744410333,0.0001172410552817874
Bacteroidota,Bacteroides_H_857956,Bacteroides_H_857956 acidifaciens,0.1573993754337266,0.07163717325931067,-1.135649489153548,0.0002117518597427386
Bacillota_A_368345,Eubacterium_R,unclassified,0.004611959287531806,0.0,-22.136948659671276,0.00046122665458830177
Bacteroidota,UBA3263,UBA3263 sp001689615,0.0,0.005927596576451539,22.499016075981956,0.0004904956038029
Pseudomonadota,Escherichia,unclassified,0.0,0.003195119130233634,21.607438744012626,0.0009545901826589824
Bacteroidota,UBA7173,UBA7173 sp002491305,0.06900589868147121,0.016279204256303494,-2.0836894412568503,0.0015905062833537517
Bacillota_I,unclassified,unclassified,0.00594205412907703,0.0,-22.50253055956601,0.0016025310267819015
Pseudomonadota,Photobacterium,Photobacterium damselae,0.0059998843395789965,0.0,-22.516503499778434,0.0021876955990476495
Bacillota_A_368345,CAG-314,CAG-314 sp900551395,0.0011999768679157993,0.006462526023594726,2.4290906108079464,0.002425082625122685
Pseudomonadota,Ruegeria_B_490092,unclassified,0.003079458709229701,0.0,-21.554245821805935,0.0025267139569658424
Bacillota_A_368345,CAG-273,CAG-273 sp003507395,0.0,0.00371559102475133,21.825160670565626,0.0034815929392141287
Bacillota_A_368345,Angelakisella,Angelakisella massiliensis,0.001142146657413833,0.008674531575294934,2.925036845489781,0.005229647794214865
Bacteroidota,Paramuribaculum,Paramuribaculum sp001689565,0.03078012953967153,0.013532269257460096,-1.1855954551284154,0.005397049023493063
Bacteroidota,Paramuribaculum,Paramuribaculum intestinale,0.010366065232477446,0.002255378209576683,-2.200426589345804,0.0059168149667403825
Bacillota_A_368345,Pseudobutyricicoccus,Pseudobutyricicoccus sp003477405,0.000260235947258848,0.0014746703678001386,2.5024957750603254,0.007338923840570568
Bacteroidota,Duncaniella,Duncaniella freteri,0.0021686328938237335,0.000983113578533426,-1.141355047026222,0.008041464780942408
Bacillota_A_368345,unclassified,unclassified,0.000910825815405968,0.0063613231552162855,2.8040784328755004,0.010828619012900489
Bacillota_A_368345,unclassified,unclassified,0.0006939625260235947,0.006650474207726117,3.2605256882323004,0.012109731009271277
Bacillota_A_368345,Merdimmobilis,unclassified,0.0004481841313902382,0.002125260235947259,2.2454734943066956,0.01351990191225797
Bacillota_A_368345,Petralouisia,unclassified,0.0004481841313902383,0.002443326393708073,2.4466804973838676,0.014526675899972917
Bacillota_A_368345,unclassified,unclassified,0.0076191302336340505,0.0036288457089983807,-1.0701153894750859,0.01561968846839304
Bacteroidota,Duncaniella,Duncaniella muricolitica,0.0813381910710155,0.05751214434420541,-0.5000662691329002,0.021751612147640785
Actinomycetota,Adlercreutzia_A_404260,Adlercreutzia_A_404260 sp011039075,0.0017493638676844784,0.0,-20.738399795061664,0.025885132692209496
Bacillota_A_368345,unclassified,unclassified,0.03508848022206801,0.09698126301179737,1.4667085541733145,0.03370824150600589
Bacillota_I,Lactobacillus,Lactobacillus johnsonii,0.003556557945870923,0.0005060143418922045,-2.813229042945494,0.0340153061400137
Bacteroidota,Alistipes_A_871400,Alistipes_A_871400 finegoldii,0.002703562340966921,0.0006795049733981032,-1.992304018682929,0.034294317666207864
Bacillota_A_368345,Acetitomaculum,unclassified,0.0012144344205412907,0.00033252371038630576,-1.8687523160610295,0.035071438371813646
Bacillota_A_368345,Roseburia_B,Roseburia_B sp003612565,0.0,0.001199976867915799,20.194576366705824,0.035171536020612286
Bacillota_A_368345,Anaerotignum_189125,unclassified,0.0002313208420078649,0.0016770761045570206,2.857975618614364,0.03760766241742061
Bacillota_A_368345,Anaerotruncus,unclassified,0.0006795049733981032,0.002660189683090446,1.9689715235527492,0.03770159898658295
Bacillota_I,Pelethenecus,unclassified,0.007937196391394865,0.03427885727504048,2.1106174688000348,0.04462947042671288
Bacillota_A_368345,Brotaphodocola,Brotaphodocola sp003611875,0.008876937312051815,0.0028625954198473282,-1.6327378838308917,0.049887406406214925
Bacillota_A_368345,Suilimivivens,Suilimivivens sp000403495,0.0,0.027657298172565348,24.721156943599738,0.05635004153907096
Bacillota_A_368345,Lawsonibacter,unclassified,0.0,0.009035970390932223,23.107248272301128,0.05947140085645279
Bacillota_A_368345,UBA3282,UBA3282 sp003611805,0.041319685403654875,0.01484790654637983,-1.4765696725281865,0.060165919561073054
Bacillota_I,Ligilactobacillus,unclassified,0.0016337034466805459,0.0005349294471431876,-1.6107237828891523,0.07476378340596812
Bacillota_A_368345,Coprocola,unclassified,0.0021397177885727502,0.02025503122831367,3.24278727178305,0.07619675959233221
Bacillota_A_368345,Roseburia_B,Roseburia_B sp009911505,0.000260235947258848,0.0011566042100393246,2.151998797013151,0.07865121263352133
Bacillota_A_368345,Lawsonibacter,Lawsonibacter sp000177015,0.003036086051353227,0.014023826046726811,2.207595047100483,0.07970275226942526
Bacillota_A_368345,UBA946,unclassified,0.001012028683784409,0.00033252371038630576,-1.6057181478182838,0.08103310786571563
Bacillota_A_368345,Luxibacter,Luxibacter massiliensis,0.0,0.013113000231320842,23.644494583639087,0.08357768728465498
Deferribacterota,Mucispirillum,Mucispirillum schaedleri,0.0008096229470275271,0.005089058524173028,2.652075198135867,0.0848914655376108
Bacteroidota,JAGBWK01,unclassified,0.0014602128151746472,0.0005638445523941707,-1.3728076932196067,0.08860709623521949
Bacillota_I,Turicibacter,unclassified,0.011262433495257922,0.03615833911635438,1.682809735920693,0.09286741025772376
Bacillota_A_368345,CAG-793,unclassified,0.0016047883414295628,0.0003036086051353227,-2.4020945907475943,0.09957832231588856
Bacillota_A_368345,Anaerotruncus,Anaerotruncus sp000403395,0.0038457089983807546,0.0013445523941707147,-1.5161229265448066,0.10425726762401709
Bacillota_A_368345,Enterenecus,Enterenecus sp004560375,0.005334836918806384,0.011855193152903077,1.1520029447090763,0.104556534885215
Bacillota_A_368345,Dysosmobacter,Dysosmobacter sp000403435,0.006144459865833912,0.025054938699976867,2.0277367309203154,0.10776665871828471
Bacillota_A_368345,Emergencia,Emergencia timonensis,0.0013590099467962063,0.00017349063150589867,-2.9696190968638256,0.11445765515204878
