Phylum,Genus,Species,Mean_Sham10W,Mean_HS10W,Log2FC(HS10W/Sham10W),P_value
Bacillota_A_368345,unclassified,unclassified,0.0036288457089983807,0.0,-21.791079684604146,1.772873197915886e-10
Bacteroidota,Duncaniella,Duncaniella dubosii,0.0012867221836687485,0.0,-20.295270285273517,2.7694407554297747e-10
Bacteroidota,Muribaculum,Muribaculum gordoncarteri,0.03215359703909323,0.001012028683784409,-4.989656675100519,1.1317324337410418e-07
Bacillota_A_368345,CAG-314,CAG-314 sp900551395,0.006462526023594726,0.0,-22.62366697751377,3.024001962030436e-07
Bacteroidota,Duncaniella,Duncaniella muricolitica,0.05751214434420541,9.397409206569512e-05,-9.257372515808523,3.9563067138274566e-07
Bacillota_A_368345,unclassified,unclassified,0.0020095998149433267,0.0,-20.938477523715346,2.859715559537026e-06
Pseudomonadota,Parasutterella_564865,unclassified,0.006245662734212352,0.0,-22.574423466245314,3.567236653387697e-06
Pseudomonadota,Escherichia,unclassified,0.003195119130233634,0.0004120402498265094,-2.9550094954168427,2.927899598622196e-05
Bacillota_A_368345,CAG-273,CAG-273 sp003507395,0.00371559102475133,0.0,-21.825160670565626,3.1216233438307076e-05
Pseudomonadota,Parasutterella_564865,Parasutterella excrementihominis,0.002645732130464955,0.0,-21.33523611666572,3.746318885448784e-05
Bacillota_A_368345,UBA3282,UBA3282 sp003611805,0.01484790654637983,0.0037372773536895674,-1.9901997071398296,4.7892325966442676e-05
Bacteroidota,UBA7173,UBA7173 sp002491305,0.016279204256303494,0.00018794818413139024,-6.436543806556089,5.528287533735847e-05
Bacteroidota,Paramuribaculum,Paramuribaculum sp001689565,0.013532269257460096,0.0,-23.68990055928522,6.612954864140291e-05
Bacillota_I,Turicibacter,unclassified,0.03615833911635438,0.0,-25.107825115170698,8.344894798194151e-05
Bacillota_A_368345,Ventrisoma,Ventrisoma faecale,0.0029637982882257693,0.0005927596576451537,-2.321926147799956,9.858669683909719e-05
Bacteroidota,Duncaniella,unclassified,0.02908859588248901,0.0,-24.793950372492468,0.00015748331379698813
Bacillota_A_368345,Brotaphodocola,Brotaphodocola sp003611875,0.0028625954198473282,0.00025300717094610224,-3.500068404936972,0.00020434515411950737
Bacillota_A_368345,Sporofaciens,unclassified,0.00014457552625491557,0.008226347443904694,5.830346943995583,0.0003741792509626051
Bacillota_A_368345,unclassified,unclassified,0.0012578070784177654,0.0,-20.262480375930934,0.0004266500374451399
Bacteroidota,Lepagella,Lepagella sp900547755,0.007922738838769372,0.053579690030071715,2.757614927897412,0.000639426160149344
Bacillota_A_368345,Avispirillum,Avispirillum sp011957885,0.0,0.0016553897756187831,20.658740392700842,0.0006525704304672729
Campylobacterota_A,Helicobacter_C,Helicobacter_C hepaticus,0.0057251908396946565,0.00014457552625491557,-5.307418798384411,0.0008207007671757774
Bacillota_A_368345,Eubacterium_F,unclassified,0.003816793893129771,0.0,-21.86393023043486,0.0013242854625099571
Bacillota_A_368345,unclassified,unclassified,0.09698126301179737,0.026363347212583852,-1.8791724493807378,0.0015145959147256879
Bacillota_I,Pelethenecus,unclassified,0.03427885727504048,0.008125144575526254,-2.0768534917888077,0.0016373194063158962
Bacteroidota,UBA7173,UBA7173 sp900540205,0.006766134628730048,0.061068702290076333,3.174029210176267,0.001979800426182966
Bacillota_A_368345,Roseburia_B,Roseburia_B sp003612565,0.001199976867915799,0.0,-20.194576366705824,0.0020081570415418147
Bacillota_A_368345,UMGS1994,UMGS1994 sp900553945,0.032095766828591256,0.00018794818413139024,-7.415896612041065,0.0023784933871937304
Patescibacteria,Nanosyncoccus,Nanosyncoccus sp003979185,0.005089058524173028,0.0,-22.278967635217203,0.002395975449955183
Bacillota_A_368345,Clostridium_T,Clostridium_T disporicum_B,0.0,0.0037083622484385837,21.822351137735684,0.002595772115669727
Bacillota_A_368345,CAG-269,CAG-269 sp000431335,0.003556557945870923,0.0004264978024520009,-3.059868478969653,0.0026501518107685043
Bacillota_A_368345,COE1,unclassified,0.00613000231320842,0.0017493638676844784,-1.8090566279417104,0.0027742733571331003
Bacillota_A_368345,Pseudobutyricicoccus,Pseudobutyricicoccus sp003477405,0.0014746703678001386,0.0008457668285912562,-0.8020598949223049,0.004333642467582913
Bacillota_A_368345,Sporofaciens,Sporofaciens musculi,0.0018071940781864448,0.0005638445523941707,-1.6803803054333881,0.004406794416200804
Bacillota_A_368345,Coprocola,unclassified,0.02025503122831367,0.0,-24.271777044747676,0.004670252487049552
