Phylum,Genus,Species,Mean_Sham,Mean_SS,Mean_HFD,Mean_HS,Driver_Category
Bacillota_A_368345,CAG-314,CAG-314 sp900551395,0.006462526023594726,0.00404088595882489,0.000130117973629424,0.0,HFD-Inhibited
Bacillota_A_368345,CAG-314,unclassified,0.0032529493407355997,0.0020095998149433267,0.023985079805690493,0.01767435808466343,HFD-Driven
Bacillota_A_368345,Acetatifactor,Acetatifactor sp011959105,0.002399953735831598,0.0045902729585935685,0.005009541984732824,0.03563786722183669,Synergistic (1+1>2)
Bacillota_A_368345,Kineothrix,Kineothrix sp000403275,0.02405736756881795,0.02560432569974555,0.11943384223918578,0.10785334258616701,HFD-Driven
Bacillota_A_368345,Roseburia_B,Roseburia_B sp009911505,0.0011566042100393246,0.0023638098542678693,0.017985195466111496,0.015599699282905393,HFD-Driven
Bacillota_A_368345,Sporofaciens,unclassified,0.00014457552625491557,0.0011855193152903076,0.006462526023594726,0.008226347443904694,HFD-Driven
Bacillota_A_368345,UBA3282,UBA3282 sp003611805,0.01484790654637983,0.05308090446449224,0.006007113115891741,0.0037372773536895674,HFD-Inhibited
Bacillota_A_368345,unclassified,unclassified,0.09698126301179737,0.07367568817950497,0.04436300023132084,0.026363347212583852,Synergistic Inhibition
Bacillota_A_368345,Lawsonibacter,Lawsonibacter sp000492175,0.00306500115660421,0.0020312861438815636,0.00811791579921351,0.0083058639833449,HFD-Driven
Bacillota_A_368345,Romboutsia_B,Romboutsia_B ilealis,0.0,0.0007011913023363404,0.029536780013879254,0.032298172565348136,HFD-Driven
Bacillota_I,Faecalibaculum,Faecalibaculum rodentium,0.0,0.0,0.002385496183206107,0.010149201943095073,Synergistic (1+1>2)
Bacteroidota,Bacteroides_H_857956,Bacteroides_H_857956 acidifaciens,0.07163717325931067,0.10582205644228544,0.07553348369188063,0.101029377746935,STZ-Driven
Bacteroidota,CAG-873,CAG-873 sp011959565,0.018216516308119362,0.010843164469118668,0.0669529262086514,0.03065724034235484,HFD-Driven
Bacteroidota,Duncaniella,unclassified,0.02908859588248901,0.026891047883414298,0.0004843280129539672,0.0,HFD-Inhibited
Bacteroidota,Lepagella,Lepagella muris_A,0.017724959518852647,0.037423374971084895,0.022647756187832522,0.04259195003469813,STZ-Driven
Bacteroidota,Lepagella,Lepagella sp900547755,0.007922738838769372,0.0060794008790192,0.01977793199167245,0.053579690030071715,HFD-Driven
Bacteroidota,Paramuribaculum,Paramuribaculum intestinale,0.002255378209576683,0.0033758385380522784,0.05827116585704373,0.05819164931760351,HFD-Driven
Bacteroidota,Paramuribaculum,Paramuribaculum sp001689565,0.013532269257460096,0.012216631968540366,0.000195176960444136,0.0,HFD-Inhibited
Bacteroidota,UBA7173,UBA7173 sp002491305,0.016279204256303494,0.025026023594725885,0.0004843280129539672,0.00018794818413139024,HFD-Inhibited
Bacteroidota,UBA7173,UBA7173 sp900540205,0.006766134628730048,0.03372224149895905,0.01760207032153597,0.061068702290076333,Synergistic (1+1>2)
Bacteroidota,unclassified,unclassified,0.08992597733055747,0.10728226925746011,0.03915828128614388,0.13676121906083738,STZ-Driven
Bacteroidota,Parabacteroides_B_862066,Parabacteroides_B_862066 goldsteinii,0.0017782789729354615,0.001199976867915799,0.0331294818413139,0.015852706453851492,HFD-Driven
Campylobacterota_A,Helicobacter_C,Helicobacter_C hepaticus,0.0057251908396946565,0.024411577608142495,0.006816736062919268,0.00014457552625491557,Synergistic Inhibition
Desulfobacterota_G_459543,Desulfovibrio_446353,Desulfovibrio sp011039135,0.0016192458940550542,0.0008529956049040018,0.014450323849178812,0.011797362942401112,HFD-Driven
Patescibacteria,Nanosyncoccus,Nanosyncoccus sp003979185,0.005089058524173028,0.005985426786953504,7.228776312745779e-05,0.0,HFD-Inhibited
