Group,Sample_ID,Image_ID,Mesangial_Expansion(0-4),Tubular_Injury(0-4),Inflammation(0-4),Casts(0-4)
Sham,sham-1,20251126_sham-1_he_1.jpg,0.5,0.0,0.0,0.5
Sham,sham-2,20251126_sham-2_he_1.jpg,0.0,0.0,0.0,0.0
Sham,sham-3,20251126_sham-3_he_1.jpg,0.5,0.0,0.5,0.5
Sham10W,sham-1(10w),20260107_sham-1(10w)_he_1.jpg,1.0,0.0,0.5,0.0
Sham10W,sham-2(10w),20260107_sham-2(10w)_he_1.jpg,0.0,0.0,0.0,0.0
Sham10W,sham-3(10w),20260107_sham-3(10w)_he_1.jpg,0.0,0.5,0.5,0.0
HS2W,hs2w-1,20251126_hs2w-1_he_1.jpg,1.0,3.0,1.0,1.5
HS2W,hs2w-2,20251126_hs2w-2_he_1.jpg,1.0,4.0,0.5,0.5
HS2W,hs2w-3,20251126_hs2w-3_he_1.jpg,0.5,4.0,0.5,0.5
HS2W,hs2w-4,20251126_hs2w-4_he_1.jpg,0.0,4.0,0.5,1.0
HS2W,hs2w-5,20251126_hs2w-5_he_1.jpg,0.5,3.0,0.0,1.0
HS6W,hs6w-1,20251210_hs6w-1_he_1.jpg,1.0,1.5,1.5,0.5
HS6W,hs6w-2,20251210_hs6w-2_he_1.jpg,1.5,2.0,2.0,1.0
HS6W,hs6w-3,20251210_hs6w-3_he_1.jpg,1.0,2.5,1.5,1.5
HS6W,hs6w-4,20251210_hs6w-4_he_1.jpg,1.0,2.0,1.0,1.5
HS6W,hs6w-5,20251210_hs6w-5_he_1.jpg,1.5,2.5,2.0,1.0
HS6W,hs6w-6,20251210_hs6w-6_he_1.jpg,2.0,1.5,2.0,0.5
HS10W,hs10w-1,20260107_hs10w-1_he_1.jpg,3.3,3.7,2.0,2.2
HS10W,hs10w-2,20260107_hs10w-2_he_1.jpg,3.3,2.7,2.0,2.2
HS10W,hs10w-3,20260107_hs10w-3_he_1.jpg,3.8,3.2,3.0,2.2
HS10W,hs10w-4,20260107_hs10w-4_he_1.jpg,3.3,3.2,2.5,1.7000000000000002
HS10W,hs10w-5,20260107_hs10w-5_he_1.jpg,4.0,3.2,3.0,2.7
HS10W,hs10w-6,20260107_hs10w-6_he_1.jpg,4.0,2.7,3.0,2.7
SS10W,ss10w-1,20260121_ss10w-1_he_1.jpg,0.7,2.3,1.7,0.30000000000000004
SS10W,ss10w-2,20260121_ss10w-2_he_1.jpg,0.7,1.8,1.2,0.8
SS10W,ss10w-3,20260121_ss10w-3_he_1.jpg,1.7,2.3,1.7,0.30000000000000004
SS10W,ss10w-4,20260121_ss10w-4_he_1.jpg,1.7,1.8,0.7,0.30000000000000004
SS10W,ss10w-5,20260121_ss10w-5_he_1.jpg,0.7,1.8,1.2,0.8
SS10W,ss10w-6,20260121_ss10w-6_he_1.jpg,0.7,1.3,1.7,1.3
HFD10W,hfd10w-1,20260107_hfd10w-1_he_1.jpg,0.8,1.7000000000000002,1.0,0.2
HFD10W,hfd10w-2,20260107_hfd10w-2_he_1.jpg,0.8,2.7,0.5,0.0
HFD10W,hfd10w-3,20260107_hfd10w-3_he_1.jpg,0.8,1.7000000000000002,0.0,0.7
HFD10W,hfd10w-4,20260107_hfd10w-4_he_1.jpg,1.3,2.7,0.5,0.7
HFD10W,hfd10w-5,20260107_hfd10w-5_he_1.jpg,1.3,2.2,1.0,0.2
HFD10W,hfd10w-6,20260107_hfd10w-6_he_1.jpg,0.8,1.7000000000000002,0.0,0.7
HS10WGaE9,hs10wgae9-1,20260121_hs10wgae9-1_he_1.jpg,2.8,1.7000000000000002,1.0,0.7
HS10WGaE9,hs10wgae9-2,20260121_hs10wgae9-2_he_1.jpg,2.3,2.7,1.0,1.7
HS10WGaE9,hs10wgae9-3,20260121_hs10wgae9-3_he_1.jpg,2.8,2.7,1.0,1.2
HS10WGaE9,hs10wgae9-4,20260121_hs10wgae9-4_he_1.jpg,2.8,2.7,1.5,1.7
HS10WGaE9,hs10wgae9-5,20260121_hs10wgae9-5_he_1.jpg,2.8,2.7,1.0,1.7
HS10WGaE10,hs10wgae10-1,20260121_hs10wgae10-1_he_1.jpg,2.3,0.7,1.3,1.0
HS10WGaE10,hs10wgae10-2,20260121_hs10wgae10-2_he_1.jpg,1.8,1.7,0.8,0.0
HS10WGaE10,hs10wgae10-3,20260121_hs10wgae10-3_he_1.jpg,1.8,1.2,0.30000000000000004,0.5
HS10WGaE10,hs10wgae10-4,20260121_hs10wgae10-4_he_1.jpg,1.3,1.7,1.3,0.5
HS10WGaE10,hs10wgae10-5,20260121_hs10wgae10-5_he_1.jpg,2.3,0.7,1.3,0.0
