Taxa,Rho,p-value
Duncaniella Duncaniella muricolitica,0.7728105094055361,3.492584708675044e-07
Duncaniella unclassified,0.7463487513712718,1.4316930103949328e-06
Kineothrix Kineothrix sp000403275,-0.7390077245073018,2.0550868783780656e-06
Porcipelethomonas Porcipelethomonas ammoniilytica,0.738637318684497,2.0922537683955185e-06
UMGS1994 UMGS1994 sp900553945,0.7336547669088627,2.6551483702785063e-06
Paramuribaculum Paramuribaculum sp001689565,0.7317719002877653,2.901368887426776e-06
Luxibacter Luxibacter massiliensis,0.7272149228439135,3.5852392243765514e-06
Acutalibacter Acutalibacter timonensis,0.7214573810127465,4.656911774653397e-06
Prevotella unclassified,0.7207401630974976,4.808973408819303e-06
Massilioclostridium unclassified,-0.7154617900269356,6.073814689155822e-06
Butyribacter Butyribacter intestini,0.7054746500342176,9.31865620759031e-06
Avispirillum Avispirillum sp011957885,-0.6966517382436604,1.3409244499846167e-05
CAG-475 CAG-475 sp900548005,0.6965143160455232,1.3484105483894053e-05
Turicibacter unclassified,0.6963843315722605,1.3555261399973685e-05
Romboutsia_B Romboutsia_B ilealis,-0.6849226208561603,2.1336759988243318e-05
Duncaniella Duncaniella dubosii,0.6766132143364262,2.928099603534695e-05
Hominibacterium Hominibacterium faecale,-0.6683898841485901,3.9665847913435185e-05
Coprocola unclassified,0.6675805651513054,4.0848198906524226e-05
Suilimivivens Suilimivivens sp000403495,0.6612987132118744,5.115569961352681e-05
Clostridium_T Clostridium_T disporicum_B,-0.6515967974725612,7.169108901385071e-05
Parasutterella_564865 unclassified,0.6514686721249006,7.200564287568259e-05
CAG-793 unclassified,0.646560699959882,8.502469399258642e-05
Agathobaculum unclassified,0.6423973320052405,9.767632998867606e-05
UBA5905 UBA5905 sp002437905,-0.6370533351963473,0.00011636647256747294
Pelethenecus unclassified,0.6357291385760055,0.00012146460938906788
Anaerotignum_189125 unclassified,-0.6287068919540181,0.00015197697891894459
Luxibacter unclassified,0.6138912356498165,0.00023964382302304492
Eubacterium_S Eubacterium_S uniforme,0.6105450818897726,0.00026477520653671907
Sporofaciens unclassified,-0.6077481840193705,0.000287546305874729
CAG-269 unclassified,0.6071484359432242,0.0002926493080765342
Duncaniella Duncaniella freteri,-0.601653941649913,0.000343266965025665
Thomasclavelia Thomasclavelia cocleata,-0.5931612885515488,0.0004367950206650079
unclassified unclassified,0.5877370385410146,0.0005077007739511777
Eubacterium_F unclassified,0.5872607568790135,0.0005143862474773068
UBA946 unclassified,0.585815721633901,0.0005351474605744582
Peptococcus Peptococcus niger,-0.5851911660966762,0.0005443468712642072
UBA7173 UBA7173 sp002491305,0.5834361845987013,0.0005709473231392267
Brotaphodocola Brotaphodocola sp003611875,0.5700606141022466,0.0008142130643702429
Faecalibaculum Faecalibaculum rodentium,-0.5651682500354426,0.000923632221948868
Desulfovibrio_446353 Desulfovibrio sp011039135,-0.5635905452133096,0.0009615656805309194
Ruminococcus_B unclassified,-0.5565553160730122,0.0011478330554508642
Roseburia_B Roseburia_B sp009911505,-0.5561831866251333,0.0011585089365993104
Lientehia Lientehia sp902363445,-0.5561020277685785,0.0011608487722188558
CAG-314 CAG-314 sp900551395,0.5411420043326363,0.0016694902670967783
Catonella Catonella morbi,0.5381792127617545,0.0017905348763329147
UBA3282 UBA3282 sp003611805,0.5327282139972623,0.002033275995920431
Nanosyncoccus Nanosyncoccus sp003979185,0.5272739728123311,0.0023042660279461963
Lepagella Lepagella sp900547755,-0.5175474402526573,0.0028657058132173343
Paludihabitans Paludihabitans psychrotolerans,-0.5174013947439842,0.002874964458601302
