Clean_Name,Area_1,Area_2,Area_3
Heat shock 70 kDa protein,2505463489.625,3187998044.0625,3692485600.75
PREDICTED: uncharacterized protein LOC105044482,956131362.738281,1049511973.98438,1284829112.36621
PREDICTED: uncharacterized protein LOC105035431,342609118.875,418732270.3125,464254890.5625
Casein kinase II subunit beta,255963903.5,377562944.0,439143936.0
"L-galactono-1,4-lactone dehydrogenase 2, mitochondrial",251756733.984375,387506470.160156,399700401.197266
PREDICTED: uncharacterized protein LOC103709675,208248688.453125,259409848.265625,276605155.851563
"Pyruvate kinase, cytosolic isozyme",179219282.46875,221579658.0,258447698.4375
Osmotin-like protein,185698143.84375,226291394.5625,218858006.75
Glutelin type-A 1,200157048.0,143750328.0,226071893.75
[translated],169606999.34375,162858244.0625,228581820.8125
U1 small nuclear ribonucleoprotein 70 kDa,129855545.828125,158935566.1875,213149230.5
[translated],133834213.25,160143842.125,206429273.125
[translated],128002986.15625,144883007.28125,197792968.65625
E3 ubiquitin-protein ligase SDIR1,122364970.75,132604817.8125,201653437.125
"Protease Do-like 10, mitochondrial",141806466.3125,154083658.875,152666434.0625
PREDICTED: uncharacterized protein LOC103712004,113322394.5625,151320684.625,162810730.375
[translated],107535244.40625,124026847.34375,190995709.875
Pentatricopeptide repeat-containing protein At4g21065,112778044.625,123300295.375,147816041.746094
"Pentatricopeptide repeat-containing protein At3g06430, chloroplastic",95579845.0,121587857.75,150534571.5
conserved hypothetical protein,162507104.34375,181871528.71875,0.0
T-complex protein 1 subunit zeta 1,148043130.46875,186667434.3125,0.0
"Internal alternative NAD(P)H-ubiquinone oxidoreductase A2, mitochondrial",93628455.3125,101688402.25,123014941.0625
Lachrymatory-factor synthase,78997306.0136719,86130427.25,141502696.375
[translated],80302185.65625,100362964.9375,111782460.875
Transcription factor GTE9,96955387.6875,96010560.125,94622447.5625
[translated],90967940.90625,89326114.5,99056085.8125
1-aminocyclopropane-1-carboxylate oxidase 3,68571850.3125,92239961.5,108171263.625
[translated],94207365.3125,85165568.25,83810771.0
Serine/threonine protein phosphatase 2A regulatory subunit B''beta,73819741.140625,88959705.5625,100168020.53125
Sperm-associated antigen 1A,76204831.4375,80995433.4375,100564868.625
