Clean_Name,Area_1,Area_2,Area_3
Large ribosomal subunit protein uL15/eL18 domain-containing protein,168939639.0,142229704.6875,170218877.125
Large ribosomal subunit protein uL4 C-terminal domain-containing protein,156753471.28125,130068045.0,155028898.25
Small ribosomal subunit protein uS15 N-terminal domain-containing protein,141434146.75,138414768.066406,131848671.273438
Large ribosomal subunit protein uL18 C-terminal eukaryotes domain-containing protein,136486843.671875,119302280.630859,147467106.574219
40S ribosomal protein S6,63883416.6875,149632212.59375,179554533.34375
60S ribosomal protein L6,132907118.265625,111011369.75,122317051.75
40S ribosomal protein S14,126703434.625,110292334.84375,83677206.0
40S ribosomal protein S4,134022681.0,66864750.5,116340973.625
Cysteine protease,3391659.75,4463954.0,286314877.390625
KH type-2 domain-containing protein,287629129.125,1514688.625,2469839.25
Small ribosomal subunit protein uS8c,124423794.8125,81494434.8125,82967879.875
Large ribosomal subunit protein uL15/eL18 domain-containing protein,94455947.25,80271296.0,108079143.0
40S ribosomal protein S18,92012634.5,77285736.25,104967113.5
Large ribosomal subunit protein eL20 domain-containing protein,102285891.875,84395023.25,86886331.875
Ribosomal protein L15,108103887.703125,97652044.78125,57497216.59375
Bulb-type lectin domain-containing protein,64468793.546875,69259532.5625,117116633.65625
Guanine nucleotide-binding protein subunit beta-like protein A,93164609.0,69144734.609375,85942158.75
40S ribosomal protein S23,78086852.0,89230349.875,60246549.25
Small ribosomal subunit protein uS17 N-terminal domain-containing protein,106707096.25,79506484.0625,6392694.5
Large ribosomal subunit protein eL20 domain-containing protein,67999622.03125,59042731.71875,64596944.34375
Uncharacterized protein,75964942.875,53543658.625,57081678.375
Large ribosomal subunit protein uL23 N-terminal domain-containing protein,83114202.5625,47234509.6875,54572754.71875
Ribosomal protein eL8/eL30/eS12/Gadd45 domain-containing protein,82608964.0,8956063.25,76862208.25
60S ribosomal protein L11,57274320.625,44871253.5625,55992067.0
Small ribosomal subunit protein uS2,52716731.8125,46126525.625,49354020.0
40S ribosomal protein S8,15245301.4375,15618791.5,110840053.375
Bulb-type lectin domain-containing protein,45099956.5,38812752.75,50258900.625
Ribosomal protein L3,22894614.515625,39463023.6875,64359893.65625
60S ribosomal protein L7a,42457907.5625,32287519.15625,47799766.75
40S ribosomal protein S7,47041180.53125,40065390.21875,34453620.0625
