Accession,Description,AVERAGE_NormPSM,SD_NormPSM,SEM_NormPSM
A0A8J5H111,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_023521 PE=3 SV=1,78.91383487090513,5.123073861040085,2.957808072749829
A0A8J5HQD9,40S ribosomal protein S4 OS=Zingiber officinale OX=94328 GN=ZIOFF_010793 PE=3 SV=1,78.45315895116543,8.047131596459877,4.646013593420453
A0A8J5F485,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_061304 PE=3 SV=1,77.88522749213962,4.32372038084535,2.4963011257817342
A0A8J5H5C3,Large ribosomal subunit protein uL18 C-terminal eukaryotes domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_020257 PE=3 SV=1,76.86377701417881,5.747943247102548,3.3185765810013477
A0A8J5GLH4,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_027457 PE=3 SV=1,76.19778779418961,5.738545209042588,3.3131506211975754
A0A8J5LTD2,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_019807 PE=3 SV=1,69.92976407220009,4.597528843380289,2.6543845153326786
A0A8J5KVC4,KH type-2 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_040623 PE=3 SV=1,69.8797147529594,6.378594582426493,3.682683299215425
A0A8J5FIH5,Large ribosomal subunit protein uL4 C-terminal domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_053302 PE=3 SV=1,69.29370975894628,8.638748660094755,4.987583864367227
A0A8J5GC50,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_040112 PE=3 SV=1,69.1636762137295,5.665409222249027,3.270925539534864
A0A8J5KV68,KH type-2 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_049415 PE=3 SV=1,67.83803156986912,2.116156110719854,1.2217633001713792
A0A8J5LRY7,40S ribosomal protein S4 OS=Zingiber officinale OX=94328 GN=ZIOFF_001315 PE=3 SV=1,63.604534130165156,2.473498464192367,1.428075004141589
A0A8J5LU07,"Alpha-1,4 glucan phosphorylase OS=Zingiber officinale OX=94328 GN=ZIOFF_013192 PE=3 SV=1",62.34579456770147,10.265742603971477,5.9269292558343425
A0A8J5HFD9,Small ribosomal subunit protein uS7c OS=Zingiber officinale OX=94328 GN=ZIOFF_014860 PE=3 SV=1,62.14595985668973,5.415060217432097,3.1263864742124547
A0A8J5EZR6,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_062241 PE=3 SV=1,61.57259035271909,7.521577688631858,4.342584903262287
A0A8J5FKU9,Small ribosomal subunit protein uS7c OS=Zingiber officinale OX=94328 GN=ZIOFF_055390 PE=3 SV=1,61.0125899127924,8.809125193460675,5.085950801769635
A0A8J5LNN6,"Alpha-1,4 glucan phosphorylase OS=Zingiber officinale OX=94328 GN=ZIOFF_009243 PE=3 SV=1",60.69748755480956,10.750816049423346,6.206986540142718
A0A8J5H8B8,Small ribosomal subunit protein uS5 OS=Zingiber officinale OX=94328 GN=ZIOFF_026792 PE=3 SV=1,58.98060559105338,2.5321441754225167,1.461934121307133
A0A8J5L9Q7,Small ribosomal subunit protein uS5 OS=Zingiber officinale OX=94328 GN=ZIOFF_028929 PE=3 SV=1,58.62025013706354,4.25722091670408,2.457907642258806
A0A8J5LHL8,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_022768 PE=3 SV=1,55.91163077481349,6.499924355777516,3.7527330765203537
A0A8J5HX36,Large ribosomal subunit protein uL4 C-terminal domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_009200 PE=3 SV=1,54.56620218220527,6.3781384220374004,3.682419934891988
A0A8J5LI97,Small ribosomal subunit protein uS7c OS=Zingiber officinale OX=94328 GN=ZIOFF_017415 PE=3 SV=1,53.443748872490524,6.875141081404737,3.96936455406568
A0A8J5FU54,Small ribosomal subunit protein uS5 OS=Zingiber officinale OX=94328 GN=ZIOFF_051824 PE=3 SV=1,52.898102778466175,4.2355526953732685,2.4453974888406016
A0A8J5HLV1,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_012581 PE=3 SV=1,52.6831013916501,0.0,0.0
A0A8J5KVB3,Ribosomal protein eL8/eL30/eS12/Gadd45 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_049542 PE=3 SV=1,52.10972955499411,2.9737339122464146,1.7168860747337866
A0A8J5HR62,40S ribosomal protein S4 OS=Zingiber officinale OX=94328 GN=ZIOFF_005660 PE=3 SV=1,51.184165885500555,5.070653458984006,2.927543139511723
A0A8J5C9G6,ATP synthase subunit beta OS=Zingiber officinale OX=94328 GN=ZIOFF_071402 PE=3 SV=1,49.88085559303392,5.818390991745968,3.3592496053350285
A0A8J5KED6,60S ribosomal protein L6 OS=Zingiber officinale OX=94328 GN=ZIOFF_062271 PE=3 SV=1,49.62254790275316,1.8822903825408674,1.0867408590530134
A0A8J5KYW8,60S ribosomal protein L7a OS=Zingiber officinale OX=94328 GN=ZIOFF_041914 PE=3 SV=1,49.07268997871466,2.0484857077002636,1.1826937747718482
A0A8J5FMM7,Ribosomal protein eL8/eL30/eS12/Gadd45 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_052749 PE=3 SV=1,48.82153918923863,4.545157074479064,2.6241476604596197
A0A8J5LJH3,40S ribosomal protein S6 OS=Zingiber officinale OX=94328 GN=ZIOFF_024946 PE=3 SV=1,48.56024588387439,5.505839613997212,3.178797983256196
