Clean_Name,Area_1,Area_2,Area_3
Ribulose bisphosphate carboxylase large chain,1644132771.69141,3209583233.30273,5842221407.46484
Ribulose bisphosphate carboxylase large chain,408485181.019531,1386048436.40527,2309056532.48242
"Ribulose bisphosphate carboxylase small subunit, chloroplastic",480110735.134766,837343082.589844,1538098505.91406
CSC1-like protein ERD4,57790090.15625,81795748.125,113222774.625
"Ribulose bisphosphate carboxylase small subunit, chloroplastic",26954380.765625,55288524.921875,114544711.0
thioglucosidase,41719928.234375,57140654.3984375,84038293.34375
FAS1 domain-containing protein,61206736.671875,60617361.40625,44838146.96875
Nucleoside phosphorylase domain-containing protein,43230270.375,46349963.59375,61488096.1875
Aquaporin,44989893.6875,37710396.640625,64631543.265625
Annexin,10457033.6875,16920845.875,92346223.1015625
Glutamine synthetase,4871931.0625,5401887.75,107592956.25
glycerophosphodiester phosphodiesterase,23717633.515625,44199272.125,26811062.15625
ATP synthase subunit beta,16450217.921875,25931905.1875,52147770.4375
nitrilase,23072445.1796875,24721865.96875,37912587.6875
Carbonic anhydrase,15846350.0859375,27469719.625,41283178.125
FAS1 domain-containing protein,9557554.875,35339330.671875,36378133.9375
glutamate synthase (ferredoxin),16004138.9335938,28917538.4023438,35547281.0546875
"Ferredoxin--NADP reductase, chloroplastic",13879889.1875,30590886.734375,35928711.125
60S ribosomal protein L3,1528646.640625,24905790.9375,50187283.75
phosphoenolpyruvate carboxylase,11250855.71875,27571099.25,35012280.984375
Catalase,8330819.9375,19780128.84375,43686621.4375
Ribosomal protein L5 C-terminal domain-containing protein,10508491.9375,22776880.625,35951314.75
Aquaporin,14330008.0,32456312.0,19280380.0
snRNP core protein D2,5404912.18359375,16961247.3828125,38784498.6445313
Peptidyl-prolyl cis-trans isomerase,15974619.09375,21289036.25,23120702.515625
DOMON domain-containing protein,10527518.75,22434771.5,26045996.375
Elongation factor 1-alpha,10829167.65625,18051772.875,26661825.25
Phosphoribulokinase,6737516.75,8362291.640625,40081924.53125
Glyceraldehyde-3-phosphate dehydrogenase,20180355.28125,30249127.875,0.0
Uncharacterized protein,9751755.25,13032120.84375,24988387.75
