### File: L7_Sham_HS2W_HS6W_HS10W-1.xlsx
Sample_ID,unclassified,Bacteroides_H_857956,Kineothrix,Paramuribaculum,UBA7173
HS6W-1,0.173014,0.142349,0.035826,0.072606,0.042896
HS6W-2,0.139053,0.076379,0.159915,0.047276,0.032529
HS6W-3,0.145559,0.090692,0.035913,0.087353,0.037431
HS6W-4,0.12513,0.094422,0.114764,0.064625,0.033701
HS6W-5,0.123569,0.156836,0.095246,0.03279,0.060765
HS6W-6,0.132113,0.070741,0.094683,0.044674,0.052091
HS10W-1,0.200382,0.104051,0.092167,0.046712,0.041985
HS10W-2,0.159048,0.085097,0.101275,0.049011,0.047753
HS10W-3,0.125867,0.060245,0.16525,0.044934,0.044457
HS10W-4,0.068832,0.107911,0.13953,0.024939,0.072736
HS10W-5,0.146253,0.101319,0.061936,0.109646,0.08822
HS10W-6,0.120186,0.147554,0.086962,0.073907,0.071261
Sham-1,0.08462,0.152802,0.022467,0.007894,0.004337
Sham-2,0.083839,0.151024,0.015961,0.010496,0.008197
Sham-3,0.108085,0.168373,0.013055,0.012708,0.011364
HS2W-1,0.052958,0.078114,0.109039,0.042896,0.06931
HS2W-2,0.079762,0.095333,0.111901,0.065796,0.094986
HS2W-3,0.035956,0.099454,0.077507,0.054129,0.021903
HS2W-4,0.059464,0.049141,0.105265,0.064192,0.053565
HS2W-5,0.027975,0.111771,0.093685,0.052958,0.024332

--------------------------------------------------

### File: L7_Sham10W_SS10W_HFD10W_HS10W_GaE10W-1.xlsx
Sample_ID,Kineothrix,Bacteroides_H_857956,unclassified,unclassified,Paramuribaculum
Sham10W-4,0.032963,0.078244,0.078461,0.133588,0.003426
Sham10W-5,0.015874,0.071478,0.086095,0.068659,0.001952
Sham10W-6,0.023334,0.065189,0.105222,0.088697,0.001388
SS10W-1,0.014139,0.167332,0.132026,0.071261,0.000911
SS10W-2,0.008241,0.160566,0.130682,0.017132,0.002472
SS10W-3,0.026631,0.079198,0.110167,0.074601,0.006029
SS10W-4,0.017306,0.132981,0.160869,0.045845,0.004858
SS10W-5,0.049705,0.036823,0.042982,0.124089,0.002559
SS10W-6,0.037604,0.058033,0.066967,0.109126,0.003426
HFD10W-1,0.1214,0.064755,0.013576,0.099454,0.085227
HFD10W-2,0.115588,0.036563,0.057295,0.02919,0.027238
