Accession,Description,Ginger-1,Ginger-2,Ginger-3
A0A8J5H111,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_023521 PE=3 SV=1,76.87728459530027,75.12220013253811,84.74201988487702
A0A8J5HQD9,40S ribosomal protein S4 OS=Zingiber officinale OX=94328 GN=ZIOFF_010793 PE=3 SV=1,72.6063243400058,75.12220013253811,87.63095238095238
A0A8J5F485,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_061304 PE=3 SV=1,74.74180446765304,76.09781312127237,82.81606488749345
A0A8J5H5C3,Large ribosomal subunit protein uL18 C-terminal eukaryotes domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_020257 PE=3 SV=1,83.28372497824195,72.19536116633532,75.11224489795917
A0A8J5GLH4,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_027457 PE=3 SV=1,72.6063243400058,73.17097415506959,82.81606488749345
A0A8J5LTD2,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_019807 PE=3 SV=1,68.33536408471134,66.34168323392976,75.11224489795917
A0A8J5KVC4,KH type-2 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_040623 PE=3 SV=1,76.87728459530027,64.39045725646123,68.3714024071167
A0A8J5FIH5,Large ribosomal subunit protein uL4 C-terminal domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_053302 PE=3 SV=1,77.94502465912387,69.26852220013254,60.667582417582416
A0A8J5GC50,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_040112 PE=3 SV=1,74.74180446765304,63.41484426772698,69.33437990580848
A0A8J5KV68,KH type-2 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_049415 PE=3 SV=1,-,66.34168323392976,69.33437990580848
A0A8J5LRY7,40S ribosomal protein S4 OS=Zingiber officinale OX=94328 GN=ZIOFF_001315 PE=3 SV=1,61.928923701769655,62.43923127899271,66.44544740973312
A0A8J5LU07,"Alpha-1,4 glucan phosphorylase OS=Zingiber officinale OX=94328 GN=ZIOFF_013192 PE=3 SV=1",73.67406440382942,53.65871438038436,59.70460491889063
A0A8J5HFD9,Small ribosomal subunit protein uS7c OS=Zingiber officinale OX=94328 GN=ZIOFF_014860 PE=3 SV=1,56.59022338265159,62.43923127899271,67.4084249084249
A0A8J5EZR6,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_062241 PE=3 SV=1,57.65796344647519,70.2441351888668,56.81567242281528
A0A8J5FKU9,Small ribosomal subunit protein uS7c OS=Zingiber officinale OX=94328 GN=ZIOFF_055390 PE=3 SV=1,51.251523063533504,63.41484426772698,68.3714024071167
A0A8J5LNN6,"Alpha-1,4 glucan phosphorylase OS=Zingiber officinale OX=94328 GN=ZIOFF_009243 PE=3 SV=1",72.6063243400058,51.707488402915835,57.77864992150706
A0A8J5H8B8,Small ribosomal subunit protein uS5 OS=Zingiber officinale OX=94328 GN=ZIOFF_026792 PE=3 SV=1,58.725703510298814,56.58555334658714,61.63055991627421
A0A8J5L9Q7,Small ribosomal subunit protein uS5 OS=Zingiber officinale OX=94328 GN=ZIOFF_028929 PE=3 SV=1,-,55.60994035785288,61.63055991627421
A0A8J5LHL8,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_022768 PE=3 SV=1,52.319263127357125,63.41484426772698,52.00078492935636
A0A8J5HX36,Large ribosomal subunit protein uL4 C-terminal domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_009200 PE=3 SV=1,61.928923701769655,50.73187541418157,51.03780743066457
A0A8J5LI97,Small ribosomal subunit protein uS7c OS=Zingiber officinale OX=94328 GN=ZIOFF_017415 PE=3 SV=1,46.98056280823905,52.6831013916501,60.667582417582416
A0A8J5FU54,Small ribosomal subunit protein uS5 OS=Zingiber officinale OX=94328 GN=ZIOFF_051824 PE=3 SV=1,50.18378299970989,50.73187541418157,57.77864992150706
A0A8J5HLV1,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_012581 PE=3 SV=1,-,52.6831013916501,-
A0A8J5KVB3,Ribosomal protein eL8/eL30/eS12/Gadd45 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_049542 PE=3 SV=1,55.522483318827966,50.73187541418157,50.074829931972786
A0A8J5HR62,40S ribosomal protein S4 OS=Zingiber officinale OX=94328 GN=ZIOFF_005660 PE=3 SV=1,46.98056280823905,49.75626242544731,56.81567242281528
A0A8J5C9G6,ATP synthase subunit beta OS=Zingiber officinale OX=94328 GN=ZIOFF_071402 PE=3 SV=1,56.59022338265159,46.82942345924454,46.22291993720565
A0A8J5KED6,60S ribosomal protein L6 OS=Zingiber officinale OX=94328 GN=ZIOFF_062271 PE=3 SV=1,48.04830287206266,51.707488402915835,49.11185243328101
A0A8J5KYW8,60S ribosomal protein L7a OS=Zingiber officinale OX=94328 GN=ZIOFF_041914 PE=3 SV=1,51.251523063533504,48.780649436713055,47.18589743589743
A0A8J5FMM7,Ribosomal protein eL8/eL30/eS12/Gadd45 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_052749 PE=3 SV=1,53.38700319118074,48.780649436713055,44.29696493982208
A0A8J5LJH3,40S ribosomal protein S6 OS=Zingiber officinale OX=94328 GN=ZIOFF_024946 PE=3 SV=1,45.912822744415436,44.87819748177601,54.88971742543171
