Sample,GiNV-1,GiNV-2,GiNV-3,Mean_Exp
A0A8J5H111,76.9,75.1,84.7,78.89999999999999
A0A8J5HQD9,72.6,75.1,87.6,78.43333333333332
A0A8J5F485,74.7,76.1,82.8,77.86666666666667
A0A8J5H5C3,83.3,72.2,75.1,76.86666666666666
A0A8J5GLH4,72.6,73.2,82.8,76.2
A0A8J5KVC4,76.9,64.4,68.4,69.9
A0A8J5LTD2,68.3,66.3,75.1,69.89999999999999
A0A8J5FIH5,77.9,69.3,60.7,69.3
A0A8J5GC50,74.7,63.4,69.3,69.13333333333333
A0A8J5LRY7,61.9,62.4,66.4,63.56666666666666
A0A8J5LU07,73.7,53.7,59.7,62.366666666666674
A0A8J5HFD9,56.6,62.4,67.4,62.13333333333333
A0A8J5EZR6,57.7,70.2,56.8,61.56666666666666
A0A8J5FKU9,51.3,63.4,68.4,61.03333333333333
A0A8J5LNN6,72.6,51.7,57.8,60.699999999999996
A0A8J5H8B8,58.7,56.6,61.6,58.96666666666667
A0A8J5LHL8,52.3,63.4,52.0,55.9
A0A8J5HX36,61.9,50.7,51.0,54.53333333333333
A0A8J5LI97,47.0,52.7,60.7,53.46666666666667
A0A8J5FU54,50.2,50.7,57.8,52.9
A0A8J5KVB3,55.5,50.7,50.1,52.1
A0A8J5HR62,47.0,49.8,56.8,51.199999999999996
A0A8J5C9G6,56.6,46.8,46.2,49.866666666666674
A0A8J5KED6,48.0,51.7,49.1,49.6
A0A8J5KYW8,51.3,48.8,47.2,49.1
A0A8J5FMM7,53.4,48.8,44.3,48.833333333333336
A0A8J5LJH3,45.9,44.9,54.9,48.56666666666666
A0A8J5BS66,51.3,45.9,48.1,48.43333333333333
A0A8J5FEC7,41.6,45.9,56.8,48.1
A0A8J5FF76,40.6,44.9,52.0,45.833333333333336
