Accession,Description,MW_kDa,NormPSM_1,NormPSM_2,NormPSM_3,Mean,SD,SEM,Functional_Category
Asa8G05233.1,[translated] | NR=heat shock protein 70 [Nicotiana benthamiana]; Swissprot=Probable mediator of RNA polymerase II transcription subunit 37e OS=Arabidopsis thaliana GN=MED37E PE=1 SV=3; KEGG=probable mediator of RNA polymerase II transcription subunit 37e; K03283 heat shock 70kDa protein 1/8 (A); IPRSCAN=IPR013126 Heat shock protein 70 family NULL NULL,33.4,7.523212627669452,5.961767036450079,7.524925769651508,7.003301811257013,0.901995980624615,0.5207676222215819,"Anti-stress/HSP, Exosome Marker"
Asa8G05174.1,[translated] | NR=PREDICTED: uncharacterized protein LOC103936350 [Pyrus x bretschneideri]; Swissprot=Lachrymatory-factor synthase OS=Allium cepa GN=LFS PE=1 SV=1; IPRSCAN=IPR019587 Polyketide cyclase/dehydrase,51.7,38.69080779944289,40.7387414157422,44.20893889670261,41.21282937062924,2.7894465837084845,1.6104877359941756,Other
Asa8G04956.1,[translated] | GO=Molecular Function: protein binding (GO:0005515); NR=PREDICTED: protein argonaute 1-like isoform X1 [Nelumbo nucifera]; Swissprot=Protein argonaute 11 OS=Oryza sativa subsp. japonica GN=AGO11 PE=2 SV=2; KEGG=protein argonaute 5-like; K11593 eukaryotic translation initiation factor 2C (A); IPRSCAN=NULL NULL NULL NULL IPR003165 Stem cell self-renewal protein Piwi,13.9,20.42014856081708,17.88530110935024,19.75293014533521,19.352793271834177,1.3139425553285682,0.7586050880186537,Protein Synthesis
Asa8G04922.1,[translated] | NR=PREDICTED: ethylene-responsive transcription factor TINY-like [Elaeis guineensis]; Swissprot=Ethylene-responsive transcription factor ERF043 OS=Arabidopsis thaliana GN=ERF043 PE=2 SV=1; KEGG=ethylene-responsive transcription factor TINY-like; K09286 EREBP-like factor (A); IPRSCAN=NULL NULL,30.7,3.224233983286908,3.974511357633386,4.703078606032192,3.967274648984162,0.7394488704567178,0.42692100441015074,Exosome Marker
Asa8G04886.1,"[translated] | GO=Molecular Function: triglyceride lipase activity (GO:0004806),Biological Process: lipid metabolic process (GO:0006629); NR=PREDICTED: GDSL esterase/lipase At4g10955-like [Elaeis guineensis]; Swissprot=GDSL esterase/lipase At4g10955 OS=Arabidopsis thaliana GN=At4g10955 PE=2 SV=1; IPRSCAN=IPR002921 Lipase, class 3 NULL NULL",25.1,10.74744661095636,9.936278394083466,9.406157212064384,10.029960739034737,0.6755343064653901,0.3900199136846202,"Lipid Metabolism, Exosome Marker"
Asa8G04879.1,"[translated] | GO=Molecular Function: triglyceride lipase activity (GO:0004806),Biological Process: lipid metabolic process (GO:0006629); NR=PREDICTED: GDSL esterase/lipase At4g10955-like [Elaeis guineensis]; Swissprot=GDSL esterase/lipase At4g10955 OS=Arabidopsis thaliana GN=At4g10955 PE=2 SV=1; IPRSCAN=IPR002921 Lipase, class 3 NULL NULL",11.7,10.74744661095636,9.936278394083466,9.406157212064384,10.029960739034737,0.6755343064653901,0.3900199136846202,"Lipid Metabolism, Exosome Marker"
Asa8G04874.1,[translated] | NR=PREDICTED: probable ureidoglycolate hydrolase [Elaeis guineensis]; Swissprot=Ureidoglycolate hydrolase OS=Arabidopsis thaliana GN=UAH PE=1 SV=1; KEGG=probable ureidoglycolate hydrolase; K18151 ureidoglycolate amidohydrolase [EC:3.5.1.116] (A); IPRSCAN=NULL NULL NULL NULL,12.2,12.89693593314763,11.92353407290016,11.28738865447726,12.035952886841685,0.8106411677584677,0.46802389642154396,Exosome Marker
Asa8G04868.1,"[translated] | GO=Molecular Function: ion channel activity (GO:0005216),Biological Process: ion transport (GO:0006811),Cellular Component: membrane (GO:0016020),Biological Process: transmembrane transport (GO:0055085); NR=PREDICTED: two pore calcium channel protein 1 isoform X3 [Elaeis guineensis]; Swissprot=Two pore calcium channel protein 1B OS=Nicotiana tabacum GN=TPC1B PE=2 SV=1; KEGG=two pore calcium channel protein 1; K16900 two pore calcium channel protein, plant (A); IPRSCAN=NULL NULL NULL NULL IPR005821 Ion transport domain",11.7,6.448467966573816,4.968139197041733,5.643694327238631,5.68676716361806,0.7411037500926704,0.4278764496134444,Transport
Asa8G04810.1,"[translated] | GO=Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553),Cellular Component: cell wall (GO:0005618),Biological Process: carbohydrate metabolic process (GO:0005975),Biological Process: cellular glucan metabolic process (GO:0006073),Molecular Function: xyloglucan:xyloglucosyl transferase activity (GO:0016762),Cellular Component: apoplast (GO:0048046); NR=xyloglucan endotransglycosylase XET1 [Asparagus officinalis]; Swissprot=Probable xyloglucan endotransglucosylase/hydrolase protein 23 OS=Arabidopsis thaliana GN=XTH23 PE=2 SV=1; KEGG=probable xyloglucan endotransglucosylase/hydrolase protein 23; K08235 xyloglucan:xyloglucosyl transferase [EC:2.4.1.207] (A); IPRSCAN=NULL NULL IPR008264 Beta-glucanase IPR008264 Beta-glucanase IPR008264 Beta-glucanase IPR000757 Glycoside hydrolase, family 16 IPR010713 Xyloglucan endo-transglycosylase, C-terminal",29.5,21.49489322191272,21.85981246698362,19.75293014533521,21.035878611410514,1.1259480844201988,0.6500664296335453,Exosome Marker
Asa8G04656.1,[translated],28.9,25.79387186629527,21.85981246698362,21.63416158774808,23.095948640342325,2.3391925700286436,1.35053345999241,Other
