Accession,Description,Mean,SD,SEM
Asa5G00606.1,[translated] | NR=PREDICTED: uncharacterized protein LOC105044482 [Elaeis guineensis]; IPRSCAN=IPR007750 Protein of unknown function DUF674,454.56766738397374,25.681355515012392,14.827137519746886
Asa5G00604.1,[translated] | NR=PREDICTED: uncharacterized protein LOC105035431 [Elaeis guineensis],434.62420413972615,24.657950568913662,14.23627439862679
Asa5G00608.1,"[translated] | GO=Cellular Component: protein kinase CK2 complex (GO:0005956),Molecular Function: protein kinase regulator activity (GO:0019887); NR=PREDICTED: casein kinase II subunit beta-like isoform X3 [Elaeis guineensis]; Swissprot=Casein kinase II subunit beta OS=Arabidopsis thaliana GN=CKB1 PE=1 SV=1; KEGG=casein kinase II subunit beta-like; K03115 casein kinase II subunit beta (A); IPRSCAN=IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit",309.4009235004211,21.72861133197804,12.545019601634275
Asa2G00312.1,[translated],236.6188725743468,16.137498211847017,9.31698893665698
Asa5G05839.1,"[translated] | GO=Molecular Function: catalytic activity (GO:0003824),Molecular Function: D-arabinono-1,4-lactone oxidase activity (GO:0003885),Molecular Function: UDP-N-acetylmuramate dehydrogenase activity (GO:0008762),Cellular Component: membrane (GO:0016020),Molecular Function: oxidoreductase activity (GO:0016491),Molecular Function: oxidoreductase activity, acting on CH-OH group of donors (GO:0016614),Molecular Function: galactonolactone dehydrogenase activity (GO:0016633),Molecular Function: flavin adenine dinucleotide binding (GO:0050660),Biological Process: oxidation-reduction process (GO:0055114); NR=hypothetical_protein [Oryza brachyantha]; Swissprot=L-galactono-1,4-lactone dehydrogenase 2, mitochondrial OS=Oryza sativa subsp. japonica GN=GLDH2 PE=2 SV=1; KEGG=L-galactono-1,4-lactone dehydrogenase 2, mitochondrial; K00225 L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3] (A); IPRSCAN=IPR010029 Galactonolactone dehydrogenase NULL NULL IPR006094 FAD linked oxidase, N-terminal IPR007173 D-arabinono-1,4-lactone oxidase IPR016166 FAD-binding, type 2",171.85256409965982,27.13442827130912,15.666069466746912
Asa0G00303.1,"[translated] | GO=Molecular Function: nutrient reservoir activity (GO:0045735); NR=PREDICTED: glutelin type-A 1-like [Musa acuminata subsp. malaccensis]; Swissprot=Glutelin type-A 1 OS=Oryza sativa subsp. japonica GN=GLUA1 PE=1 SV=2; IPRSCAN=IPR006045 Cupin 1 NULL NULL IPR006045 Cupin 1 IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant",123.62805411446963,9.336900727616143,5.390662148485993
Asa7G05851.1,"[translated] | GO=Molecular Function: protein binding (GO:0005515),Molecular Function: zinc ion binding (GO:0008270); NR=PREDICTED: uncharacterized protein LOC103720151 isoform X2 [Phoenix dactylifera]; Swissprot=E3 ubiquitin-protein ligase SDIR1 OS=Arabidopsis thaliana GN=SDIR1 PE=1 SV=1; KEGG=hypothetical protein; K19041 E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27] (A); IPRSCAN=IPR011016 Zinc finger, RING-CH-type IPR001841 Zinc finger, RING-type IPR001841 Zinc finger, RING-type NULL NULL NULL NULL IPR001841 Zinc finger, RING-type",112.18376063123257,4.338825603567206,2.505022130186367
Asa6G00770.1,[translated] | NR=PREDICTED: heat shock cognate 70 kDa protein 2-like [Phoenix dactylifera]; Swissprot=Heat shock cognate 70 kDa protein OS=Petunia hybrida GN=HSP70 PE=2 SV=1; KEGG=heat shock cognate 70 kDa protein 2-like; K03283 heat shock 70kDa protein 1/8 (A); IPRSCAN=NULL NULL IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family,108.56536596811846,5.232446830555992,3.0209545861419067
Asa6G07863.1,[translated],98.81253662776169,4.117644779551688,2.3773233219014247
Asa5G06128.1,[translated],85.61398026508341,7.934419482668809,4.580939224182249
