Accession,Description,MW_kDa,Area_1,Area_2,Area_3,PSM_1,PSM_2,PSM_3,NormPSM_1,NormPSM_2,NormPSM_3,AVERAGE_NormPSM,SD_NormPSM,Functional_Category,SEM_NormPSM
Q5ILG7,Cysteine protease gp2a OS=Zingiber officinale OX=94328 GN=ZIOFF_026231 PE=2 SV=1,41.9,52729260.0,56885524.0,0.0,23.0,33.0,,24.55802146794314,32.195228628230616,0.0,28.37662504808688,5.40032097236571,Other,3.1178767671057246
A0A8J5M9B5,40S ribosomal protein S25 OS=Zingiber officinale OX=94328 GN=ZIOFF_002434 PE=3 SV=1,15.4,0.0,0.0,0.0,5.0,4.0,3.0,5.3387003191180735,3.902451954937044,2.8889324960753533,4.0433615900434905,1.230947700210387,Protein Synthesis,0.7106879860748178
A0A8J5M8K1,Small ribosomal subunit protein uS10 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_001441 PE=3 SV=1,13.7,3946663.0,3018678.25,3359376.25,6.0,6.0,6.0,6.406440382941688,5.853677932405567,5.777864992150707,6.0126611024993215,0.3431231437207395,Protein Synthesis,0.1981022393923596
A0A8J5M8E3,Lipoxygenase OS=Zingiber officinale OX=94328 GN=ZIOFF_001226 PE=3 SV=1,89.5,0.0,250580.0,0.0,,7.0,,0.0,6.829290921139828,0.0,6.829290921139828,0.0,Other,0.0
A0A8J5M874,Polyadenylate-binding protein OS=Zingiber officinale OX=94328 GN=ZIOFF_000968 PE=3 SV=1,88.0,651832.125,708982.8125,987686.25,10.0,7.0,5.0,10.677400638236147,6.829290921139828,4.814887493458922,7.440526350944965,2.978669443922614,Other,1.719735605275634
A0A8J5M6G1,"Alpha-1,4 glucan phosphorylase OS=Zingiber officinale OX=94328 GN=ZIOFF_000195 PE=3 SV=1",96.2,2200418.046875,1654824.3125,2575254.296875,17.0,12.0,17.0,18.15158108500145,11.707355864811134,16.370617477760334,15.409851475857641,3.32780906227254,Other,1.921311457914727
A0A8J5M6F7,60S ribosomal protein L36 OS=Zingiber officinale OX=94328 GN=ZIOFF_000180 PE=3 SV=1,14.6,0.0,2633084.25,2895005.0,6.0,5.0,4.0,6.406440382941688,4.878064943671306,3.851909994767138,5.045471773793377,1.2854669039323603,Protein Synthesis,0.7421646630197031
A0A8J5M5Z3,protein-disulfide reductase OS=Zingiber officinale OX=94328 GN=ZIOFF_008484 PE=3 SV=1,64.6,780181.75,0.0,460943.15625,12.0,8.0,9.0,12.812880765883376,7.804903909874088,8.66679748822606,9.761527387994507,2.6774583493803323,Antioxidant,1.5458312987587461
A0A8J5M3A0,14-3-3 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_012310 PE=3 SV=1,29.4,1131494.390625,1288801.96875,466493.71875,9.0,9.0,4.0,9.609660574412533,8.78051689860835,3.851909994767138,7.414029155929341,3.1126177885376003,Other,1.7970707180966012
A0A8J5M299,RuBisCO large subunit-binding protein subunit alpha OS=Zingiber officinale OX=94328 GN=ZIOFF_012018 PE=3 SV=1,64.2,3658068.92578125,2357904.2109375,3276958.02929688,15.0,11.0,13.0,16.01610095735422,10.731742876076872,12.518707482993197,13.088850438808095,2.6879187720873112,Other,1.5518706266244575
A0A8J5M1V6,Large ribosomal subunit protein uL15/eL18 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_005808 PE=3 SV=1,28.8,10190119.625,13074700.0,16261595.5,28.0,32.0,35.0,29.896721787061214,31.219615639496354,33.70421245421245,31.60684996025667,1.9330569338464856,Protein Synthesis,1.1160509411151411
A0A8J5M0G1,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_012490 PE=4 SV=1,23.1,5212349.8125,6129538.25,8323774.53125,6.0,6.0,6.0,6.406440382941688,5.853677932405567,5.777864992150707,6.0126611024993215,0.3431231437207395,Other,0.1981022393923596
A0A8J5LZN8,Adenosylhomocysteinase OS=Zingiber officinale OX=94328 GN=ZIOFF_010598 PE=3 SV=1,67.1,14504143.125,13811528.75,14304644.75,23.0,30.0,27.0,24.55802146794314,29.26838966202783,26.00039246467818,26.60893453154971,2.413428001065161,Other,1.3933933060847512
A0A8J5LZG6,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase OS=Zingiber officinale OX=94328 GN=ZIOFF_002989 PE=3 SV=1,112.5,0.0,3165775.73046875,1672457.92578125,,16.0,19.0,0.0,15.609807819748177,18.296572475143904,16.95319014744604,1.8998295072826563,Other,1.0968670774440357
A0A8J5LYU9,NADP-dependent glyceraldehyde-3-phosphate dehydrogenase OS=Zingiber officinale OX=94328 GN=ZIOFF_002064 PE=3 SV=1,57.9,1602045.53125,1519472.765625,1550107.9765625,6.0,7.0,6.0,6.406440382941688,6.829290921139828,5.777864992150707,6.3378654320774075,0.5290567209214793,Other,0.30545104024059677
A0A8J5LXG5,Polyadenylate-binding protein OS=Zingiber officinale OX=94328 GN=ZIOFF_008757 PE=3 SV=1,73.5,670272.65625,312740.65625,491751.75,11.0,9.0,6.0,11.745140702059762,8.78051689860835,5.777864992150707,8.767840864272939,2.983658050263557,Other,1.7226157784894587
A0A8J5LX66,Phospholipase D alpha 1 OS=Zingiber officinale OX=94328 GN=ZIOFF_016258 PE=3 SV=1,92.3,0.0,4487352.8359375,3832580.546875,,19.0,17.0,0.0,18.53664678595096,16.370617477760334,17.45363213185565,1.5316140120703985,Lipid Metabolism,0.8842777621634473
A0A8J5LWQ1,Large ribosomal subunit protein eL14 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_003271 PE=3 SV=1,15.5,6760947.0,5862350.0,6285725.5,31.0,34.0,46.0,33.09994197853206,33.17084161696488,44.29696493982208,36.85591617843968,6.444234763851734,Protein Synthesis,3.720580675630943
A0A8J5LVP0,Xyloglucan endotransglucosylase/hydrolase OS=Zingiber officinale OX=94328 GN=ZIOFF_016832 PE=3 SV=1,31.2,0.0,588047.515625,0.0,,4.0,,0.0,3.902451954937044,0.0,3.902451954937044,0.0,Other,0.0
A0A8J5LU23,Clathrin heavy chain OS=Zingiber officinale OX=94328 GN=ZIOFF_013253 PE=3 SV=1,186.4,0.0,507441.78125,0.0,,6.0,,0.0,5.853677932405567,0.0,5.853677932405567,0.0,Other,0.0
A0A8J5LU07,"Alpha-1,4 glucan phosphorylase OS=Zingiber officinale OX=94328 GN=ZIOFF_013192 PE=3 SV=1",114.3,1865248.625,1874242.5625,1816409.96875,69.0,55.0,62.0,73.67406440382942,53.65871438038436,59.70460491889063,62.34579456770147,10.265742603971477,Other,5.9269292558343425
A0A8J5LTQ0,Vacuolar proton pump subunit B OS=Zingiber officinale OX=94328 GN=ZIOFF_008427 PE=3 SV=1,148.2,167092.703125,148547.046875,253825.328125,5.0,5.0,5.0,5.3387003191180735,4.878064943671306,4.814887493458922,5.010550918749434,0.2859359531006163,Other,0.16508519949363304
A0A8J5LTL4,Peroxidase 1 OS=Zingiber officinale OX=94328 GN=ZIOFF_008275 PE=3 SV=1,34.8,64370.171875,89194.40625,125049.9609375,3.0,3.0,3.0,3.203220191470844,2.9268389662027836,2.8889324960753533,3.0063305512496608,0.17156157186036974,Antioxidant,0.0990511196961798
A0A8J5LTJ1,Nucleoside diphosphate kinase OS=Zingiber officinale OX=94328 GN=ZIOFF_008155 PE=3 SV=1,16.8,0.0,947374.703125,0.0,,3.0,,0.0,2.9268389662027836,0.0,2.9268389662027836,0.0,Other,0.0
A0A8J5LTD2,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_019807 PE=3 SV=1,49.3,17163781.359375,12403091.46875,15932461.34375,64.0,68.0,78.0,68.33536408471134,66.34168323392976,75.11224489795917,69.92976407220009,4.597528843380289,Protein Synthesis,2.6543845153326786
A0A8J5LRY7,40S ribosomal protein S4 OS=Zingiber officinale OX=94328 GN=ZIOFF_001315 PE=3 SV=1,29.8,13326265.9375,10687536.8125,8274233.3125,58.0,64.0,69.0,61.928923701769655,62.43923127899271,66.44544740973312,63.604534130165156,2.473498464192367,Protein Synthesis,1.428075004141589
A0A8J5LRJ5,40S ribosomal protein S7 OS=Zingiber officinale OX=94328 GN=ZIOFF_009550 PE=3 SV=1,22.1,47041180.53125,40065390.21875,34453620.0625,38.0,40.0,31.0,40.574122425297354,39.024519549370446,29.852302459445315,36.48364814470437,5.794944043416059,Protein Synthesis,3.3457125034050805
A0A8J5LQZ6,Proteasome subunit beta OS=Zingiber officinale OX=94328 GN=ZIOFF_012841 PE=3 SV=1,22.5,12796262.6875,9003839.015625,12746743.984375,11.0,11.0,14.0,11.745140702059762,10.731742876076872,13.481684981684982,11.986189519940538,1.3907277934593745,Other,0.8029370659232642
A0A8J5LNN6,"Alpha-1,4 glucan phosphorylase OS=Zingiber officinale OX=94328 GN=ZIOFF_009243 PE=3 SV=1",114.6,1257354.328125,674906.9375,455947.65625,68.0,53.0,60.0,72.6063243400058,51.707488402915835,57.77864992150706,60.69748755480956,10.750816049423346,Other,6.206986540142718
A0A8J5LMS6,linoleate 13S-lipoxygenase OS=Zingiber officinale OX=94328 GN=ZIOFF_005715 PE=3 SV=1,99.9,1478643.5,13509952.25,14241502.84375,28.0,31.0,26.0,29.896721787061214,30.24400265076209,25.037414965986393,28.39271313460323,2.9109569474342702,Other,1.6806417772005873
A0A8J5LMN2,Serine protease EDA2 OS=Zingiber officinale OX=94328 GN=ZIOFF_022290 PE=3 SV=1,38.9,0.0,127431.703125,85355.1484375,,2.0,2.0,0.0,1.951225977468522,1.925954997383569,1.9385904874260456,0.017869281385300532,Other,0.010316834418028432
A0A8J5LMJ6,"Short-chain dehydrogenase TIC 32, chloroplastic OS=Zingiber officinale OX=94328 GN=ZIOFF_018656 PE=4 SV=1",34.6,5340193.984375,3686368.5,4507398.84375,19.0,18.0,14.0,20.287061212648677,17.5610337972167,13.481684981684982,17.109926663850118,3.425041553846061,Other,1.9774486630986774
A0A8J5LMG5,26S proteasome non-ATPase regulatory subunit 2 homolog OS=Zingiber officinale OX=94328 GN=ZIOFF_018870 PE=3 SV=1,100.5,721072.25,611114.03125,782777.30078125,5.0,4.0,4.0,5.3387003191180735,3.902451954937044,3.851909994767138,4.364354089607418,0.8441869186712613,Other,0.48739154474121343
A0A8J5LLZ1,40S ribosomal protein SA OS=Zingiber officinale OX=94328 GN=ZIOFF_004558 PE=4 SV=1,16.4,1838236.51953125,1127418.25,1286402.875,7.0,6.0,6.0,7.4741804467653035,5.853677932405567,5.777864992150707,6.368574457107193,0.9582329329309469,Protein Synthesis,0.5532360417740468
A0A8J5LK15,Large ribosomal subunit protein uL15/eL18 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_025830 PE=3 SV=1,16.2,4881176.59375,4870345.875,4455730.578125,12.0,14.0,16.0,12.812880765883376,13.658581842279656,15.407639979068552,13.959700862410529,1.3233285086537547,Protein Synthesis,0.7640240706975513
A0A8J5LJI5,Malate dehydrogenase OS=Zingiber officinale OX=94328 GN=ZIOFF_009609 PE=3 SV=1,35.5,0.0,4103526.5625,932425.375,,10.0,9.0,0.0,9.756129887342611,8.66679748822606,9.211463687784335,0.7702743263815246,Other,0.4447180896862309
