Accession,AVERAGE_NormPSM,Functional_Category,Description
Asa5G00606.1,454.56766738397374,Other,[translated] | NR=PREDICTED: uncharacterized protein LOC105044482 [Elaeis guineensis]; IPRSCAN=IPR007750 Protein of unknown function DUF674
Asa5G00604.1,434.62420413972615,Other,[translated] | NR=PREDICTED: uncharacterized protein LOC105035431 [Elaeis guineensis]
Asa5G00608.1,309.4009235004211,Exosome Marker,"[translated] | GO=Cellular Component: protein kinase CK2 complex (GO:0005956),Molecular Function: protein kinase regulator activity (GO:0019887); NR=PREDICTED: casein kinase II subunit beta-like isoform X3 [Elaeis guineensis]; Swissprot=Casein kinase II subunit beta OS=Arabidopsis thaliana GN=CKB1 PE=1 SV=1; KEGG=casein kinase II subunit beta-like; K03115 casein kinase II subunit beta (A); IPRSCAN=IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit IPR000704 Casein kinase II, regulatory subunit"
Asa2G00312.1,236.6188725743468,Other,[translated]
Asa5G05839.1,171.85256409965982,"Antioxidant, Exosome Marker","[translated] | GO=Molecular Function: catalytic activity (GO:0003824),Molecular Function: D-arabinono-1,4-lactone oxidase activity (GO:0003885),Molecular Function: UDP-N-acetylmuramate dehydrogenase activity (GO:0008762),Cellular Component: membrane (GO:0016020),Molecular Function: oxidoreductase activity (GO:0016491),Molecular Function: oxidoreductase activity, acting on CH-OH group of donors (GO:0016614),Molecular Function: galactonolactone dehydrogenase activity (GO:0016633),Molecular Function: flavin adenine dinucleotide binding (GO:0050660),Biological Process: oxidation-reduction process (GO:0055114); NR=hypothetical_protein [Oryza brachyantha]; Swissprot=L-galactono-1,4-lactone dehydrogenase 2, mitochondrial OS=Oryza sativa subsp. japonica GN=GLDH2 PE=2 SV=1; KEGG=L-galactono-1,4-lactone dehydrogenase 2, mitochondrial; K00225 L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3] (A); IPRSCAN=IPR010029 Galactonolactone dehydrogenase NULL NULL IPR006094 FAD linked oxidase, N-terminal IPR007173 D-arabinono-1,4-lactone oxidase IPR016166 FAD-binding, type 2"
Asa0G00303.1,123.62805411446963,Other,"[translated] | GO=Molecular Function: nutrient reservoir activity (GO:0045735); NR=PREDICTED: glutelin type-A 1-like [Musa acuminata subsp. malaccensis]; Swissprot=Glutelin type-A 1 OS=Oryza sativa subsp. japonica GN=GLUA1 PE=1 SV=2; IPRSCAN=IPR006045 Cupin 1 NULL NULL IPR006045 Cupin 1 IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant IPR006044 11-S seed storage protein, plant"
Asa0G00743.1,120.8107043611212,Exosome Marker,[translated] | NR=PREDICTED: E3 ubiquitin-protein ligase ORTHRUS 2-like [Jatropha curcas]; Swissprot=E3 ubiquitin-protein ligase ORTHRUS 2 OS=Arabidopsis thaliana GN=ORTH2 PE=1 SV=1; KEGG=E3 ubiquitin-protein ligase ORTHRUS 2-like; K10638 E3 ubiquitin-protein ligase UHRF1 [EC:2.3.2.27] (A)
Asa7G05851.1,112.18376063123257,Exosome Marker,"[translated] | GO=Molecular Function: protein binding (GO:0005515),Molecular Function: zinc ion binding (GO:0008270); NR=PREDICTED: uncharacterized protein LOC103720151 isoform X2 [Phoenix dactylifera]; Swissprot=E3 ubiquitin-protein ligase SDIR1 OS=Arabidopsis thaliana GN=SDIR1 PE=1 SV=1; KEGG=hypothetical protein; K19041 E3 ubiquitin-protein ligase RNF38/44 [EC:2.3.2.27] (A); IPRSCAN=IPR011016 Zinc finger, RING-CH-type IPR001841 Zinc finger, RING-type IPR001841 Zinc finger, RING-type NULL NULL NULL NULL IPR001841 Zinc finger, RING-type"
Asa6G00770.1,108.56536596811846,"Anti-stress/HSP, Exosome Marker",[translated] | NR=PREDICTED: heat shock cognate 70 kDa protein 2-like [Phoenix dactylifera]; Swissprot=Heat shock cognate 70 kDa protein OS=Petunia hybrida GN=HSP70 PE=2 SV=1; KEGG=heat shock cognate 70 kDa protein 2-like; K03283 heat shock 70kDa protein 1/8 (A); IPRSCAN=NULL NULL IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family IPR013126 Heat shock protein 70 family
Asa6G07863.1,98.81253662776169,Other,[translated]
Asa5G06128.1,85.61398026508341,Other,[translated]
Asa5G05302.1,85.52406625622837,Anti-stress/HSP,[translated] | NR=PREDICTED: protein FAM9A-like [Phoenix dactylifera]; Swissprot=Heat shock 70 kDa protein OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) GN=hsps-1 PE=2 SV=2; IPRSCAN=NULL NULL NULL NULL
Asa0G04635.1,82.81867732643094,Exosome Marker,[translated] | GO=Molecular Function: calcium ion binding (GO:0005509); NR=PREDICTED: probable serine/threonine protein phosphatase 2A regulatory subunit B''delta-like [Oryza brachyantha]; Swissprot=Serine/threonine protein phosphatase 2A regulatory subunit B''beta OS=Arabidopsis thaliana GN=B''BETA PE=1 SV=1; KEGG=probable serine/threonine protein phosphatase 2A regulatory subunit B''delta-like; K11583 serine/threonine-protein phosphatase 2A regulatory subunit B'' (A); IPRSCAN=NULL NULL IPR002048 EF-hand domain
Asa8G01973.1,68.80483699526769,Other,[translated]
