Accession,Description,MW_kDa,Area_1,Area_2,Area_3,PSM_1,PSM_2,PSM_3,NormPSM_1,NormPSM_2,NormPSM_3,Mean_Area,Mean_NormPSM,Clean_Name,Category
A0A0D3EHZ6,glutamate synthase (ferredoxin) OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,176.3,16004138.9335938,28917538.4023438,35547281.0546875,63.0,64.0,69.0,73.66828177413343,62.40538720538721,61.64772889078741,26822986.130208362,65.90713262343603,glutamate synthase (ferredoxin),Metabolism
A0A0D3EHV5,40S ribosomal protein S17 OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,15.6,0.0,1079498.8125,0.0,0.0,2.0,0.0,0.0,1.9501683501683502,0.0,359832.9375,0.6500561167227834,40S ribosomal protein S17,Protein Synthesis
A0A0D3EHV1,aspartyl aminopeptidase OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,56.8,0.0,333526.4375,577348.3125,0.0,3.0,3.0,0.0,2.9252525252525254,2.680336038729888,303624.9166666667,1.8685295213274713,aspartyl aminopeptidase,Other
A0A0D3EHD9,thioredoxin-dependent peroxiredoxin OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,37.3,5029023.734375,6193626.4375,5349209.3125,15.0,15.0,12.0,17.54006708907939,14.626262626262626,10.721344154919551,5523953.161458333,14.295891290087189,thioredoxin-dependent peroxiredoxin,Antioxidant/Redox
A0A0D3EHD4,Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein OS=Brassica oleracea var. oleracea OX=109376 PE=4 SV=1,26.4,2798171.625,2265522.1875,5684261.5,4.0,3.0,4.0,4.677351223754504,2.9252525252525254,3.573781384973184,3582651.7708333335,3.7254617113267376,Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein,Other
A0A0D3EGT2,ATP synthase subunit beta OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,59.6,16450217.921875,25931905.1875,52147770.4375,40.0,41.0,49.0,46.773512237545035,39.97845117845118,43.778821965921495,31509964.515625,43.510261793972575,ATP synthase subunit beta,Metabolism
A0A0D3EGQ6,Protein EXORDIUM-like 2 OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,31.1,0.0,2264086.0625,2368435.34375,0.0,4.0,4.0,0.0,3.9003367003367004,3.573781384973184,1544173.8020833333,2.4913726951032946,Protein EXORDIUM-like 2,Other
A0A0D3EGD3,Peptidase A1 domain-containing protein OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,50.8,4780601.68359375,3867010.171875,3296169.25,13.0,10.0,7.0,15.201391477202138,9.75084175084175,6.254117423703072,3981260.3684895835,10.402116883915653,Peptidase A1 domain-containing protein,Other
A0A0D3EEW1,Small ribosomal subunit protein uS14c OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,54.9,3395300.1875,7308181.0625,16894231.625,11.0,11.0,15.0,12.862715865324887,10.725925925925926,13.40168019364944,9199237.625,12.330107328300086,Small ribosomal subunit protein uS14c,Protein Synthesis
A0A0D3EEL1,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,82.6,2459303.3046875,2640828.59765625,4379725.21875,29.0,34.0,38.0,33.910796372220155,33.152861952861954,33.95092315724524,3159952.3736979165,33.67152716077579,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,Other
A0A0D3EEJ0,Glutamate dehydrogenase OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,44.6,4607706.890625,2807320.34375,3207898.34375,17.0,9.0,6.0,19.878742700956643,8.775757575757575,5.360672077459776,3540975.1927083335,11.338390784724664,Glutamate dehydrogenase,Metabolism
A0A0D3EE37,Glucose-1-phosphate adenylyltransferase OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,56.9,0.0,3085005.3125,0.0,0.0,9.0,0.0,0.0,8.775757575757575,0.0,1028335.1041666666,2.925252525252525,Glucose-1-phosphate adenylyltransferase,Other
A0A0D3EDU6,40S ribosomal protein S8 OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,25.3,0.0,1817711.15625,1963554.59375,0.0,16.0,12.0,0.0,15.601346801346802,10.721344154919551,1260421.9166666667,8.774230318755452,40S ribosomal protein S8,Protein Synthesis
A0A0D3EDR5,Germin-like protein OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,21.9,3036257.0625,4197147.1875,7552752.75,19.0,20.0,18.0,22.217418312833892,19.5016835016835,16.082016232379328,4928719.0,19.26703934896557,Germin-like protein,Other
A0A0D3EDD7,Ribosomal protein OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,24.5,0.0,678430.125,1250086.875,0.0,4.0,8.0,0.0,3.9003367003367004,7.147562769946368,642839.0,3.682633156761023,Ribosomal protein,Protein Synthesis
A0A0D3ECW9,Uncharacterized protein OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,23.8,653898.90625,2302790.6875,1147211.5,3.0,5.0,4.0,3.508013417815878,4.875420875420875,3.573781384973184,1367967.03125,3.9857385594033126,Uncharacterized protein,Other
A0A0D3ECD8,40S ribosomal protein S4 OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,29.7,2846166.25,1008605.5625,26547517.359375,10.0,20.0,24.0,11.693378059386259,19.5016835016835,21.442688309839102,10134096.390625,17.545916623636288,40S ribosomal protein S4,Protein Synthesis
A0A0D3ECA8,"glucan endo-1,3-beta-D-glucosidase OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1",52.6,3766175.953125,3955013.515625,4747913.5234375,10.0,9.0,9.0,11.693378059386259,8.775757575757575,8.041008116189664,4156367.6640625,9.5033812504445,"glucan endo-1,3-beta-D-glucosidase",Other
A0A0D3EBU0,"glucan endo-1,3-beta-D-glucosidase OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1",55.1,2454289.3515625,1453190.75,0.0,8.0,4.0,0.0,9.354702447509007,3.9003367003367004,0.0,1302493.3671875,4.418346382615236,"glucan endo-1,3-beta-D-glucosidase",Other
A0A0D3EBG9,FAS1 domain-containing protein OS=Brassica oleracea var. oleracea OX=109376 PE=3 SV=1,44.7,4569246.421875,3560115.1875,2882501.40625,11.0,8.0,8.0,12.862715865324887,7.800673400673401,7.147562769946368,3670621.0052083335,9.270317345314885,FAS1 domain-containing protein,Other
A0A0D3EBE4,Uncharacterized protein OS=Brassica oleracea var. oleracea OX=109376 PE=4 SV=1,6.1,0.0,720659.265625,0.0,0.0,2.0,0.0,0.0,1.9501683501683502,0.0,240219.75520833334,0.6500561167227834,Uncharacterized protein,Other
