Accession,Description,MW_kDa,Area_1,Area_2,Area_3,PSM_1,PSM_2,PSM_3,NormPSM_1,NormPSM_2,NormPSM_3,AVERAGE_NormPSM,SD_NormPSM,Functional_Category,SEM_NormPSM
A0A8J5H111,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_023521 PE=3 SV=1,49.3,3186080.1875,2171702.15625,6444331.0625,72.0,77.0,88.0,76.87728459530027,75.12220013253811,84.74201988487702,78.91383487090513,5.123073861040085,Protein Synthesis,2.957808072749829
A0A8J5HQD9,40S ribosomal protein S4 OS=Zingiber officinale OX=94328 GN=ZIOFF_010793 PE=3 SV=1,29.9,134022681.0,66864750.5,116340973.625,68.0,77.0,91.0,72.6063243400058,75.12220013253811,87.63095238095238,78.45315895116543,8.047131596459877,Protein Synthesis,4.646013593420453
A0A8J5F485,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_061304 PE=3 SV=1,46.5,22894614.515625,39463023.6875,64359893.65625,70.0,78.0,86.0,74.74180446765304,76.09781312127237,82.81606488749345,77.88522749213962,4.32372038084535,Protein Synthesis,2.4963011257817342
A0A8J5H5C3,Large ribosomal subunit protein uL18 C-terminal eukaryotes domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_020257 PE=3 SV=1,36.9,136486843.671875,119302280.630859,147467106.574219,78.0,74.0,78.0,83.28372497824195,72.19536116633532,75.11224489795917,76.86377701417881,5.747943247102548,Protein Synthesis,3.3185765810013477
A0A8J5GLH4,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_027457 PE=3 SV=1,57.7,1445497.28125,1140672.875,3628784.9375,68.0,75.0,86.0,72.6063243400058,73.17097415506959,82.81606488749345,76.19778779418961,5.738545209042588,Protein Synthesis,3.3131506211975754
A0A8J5LTD2,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_019807 PE=3 SV=1,49.3,17163781.359375,12403091.46875,15932461.34375,64.0,68.0,78.0,68.33536408471134,66.34168323392976,75.11224489795917,69.92976407220009,4.597528843380289,Protein Synthesis,2.6543845153326786
A0A8J5KVC4,KH type-2 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_040623 PE=3 SV=1,26.0,287629129.125,1514688.625,2469839.25,72.0,66.0,71.0,76.87728459530027,64.39045725646123,68.3714024071167,69.8797147529594,6.378594582426493,Other,3.682683299215425
A0A8J5FIH5,Large ribosomal subunit protein uL4 C-terminal domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_053302 PE=3 SV=1,45.1,156753471.28125,130068045.0,155028898.25,73.0,71.0,63.0,77.94502465912387,69.26852220013254,60.667582417582416,69.29370975894628,8.638748660094755,Protein Synthesis,4.987583864367227
A0A8J5GC50,Ribosomal protein L3 OS=Zingiber officinale OX=94328 GN=ZIOFF_040112 PE=3 SV=1,108.9,34450356.53125,6819278.28125,6086121.625,70.0,65.0,72.0,74.74180446765304,63.41484426772698,69.33437990580848,69.1636762137295,5.665409222249027,Protein Synthesis,3.270925539534864
A0A8J5KV68,KH type-2 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_049415 PE=3 SV=1,26.0,0.0,2355145.75,2678810.0,,68.0,72.0,0.0,66.34168323392976,69.33437990580848,67.83803156986912,2.116156110719854,Other,1.2217633001713792
