Accession,Description,MW_kDa,Area_1,Area_2,Area_3,PSM_1,PSM_2,PSM_3,NormPSM_1,NormPSM_2,NormPSM_3,Mean_Area,Mean_NormPSM,Clean_Name,Category
Q5ILG7,Cysteine protease gp2a OS=Zingiber officinale OX=94328 GN=ZIOFF_026231 PE=2 SV=1,41.9,52729260.0,56885524.0,0.0,23.0,33.0,0.0,24.55802146794314,32.195228628230616,0.0,36538261.333333336,18.91775003205792,Cysteine protease gp2a,Other
A0A8J5M9B5,40S ribosomal protein S25 OS=Zingiber officinale OX=94328 GN=ZIOFF_002434 PE=3 SV=1,15.4,0.0,0.0,0.0,5.0,4.0,3.0,5.3387003191180735,3.902451954937044,2.8889324960753533,0.0,4.0433615900434905,40S ribosomal protein S25,Protein Synthesis
A0A8J5M8K1,Small ribosomal subunit protein uS10 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_001441 PE=3 SV=1,13.7,3946663.0,3018678.25,3359376.25,6.0,6.0,6.0,6.406440382941688,5.853677932405567,5.777864992150707,3441572.5,6.0126611024993215,Small ribosomal subunit protein uS10 domain-containing protein,Protein Synthesis
A0A8J5M8E3,Lipoxygenase OS=Zingiber officinale OX=94328 GN=ZIOFF_001226 PE=3 SV=1,89.5,0.0,250580.0,0.0,0.0,7.0,0.0,0.0,6.829290921139828,0.0,83526.66666666667,2.2764303070466094,Lipoxygenase,Other
A0A8J5M874,Polyadenylate-binding protein OS=Zingiber officinale OX=94328 GN=ZIOFF_000968 PE=3 SV=1,88.0,651832.125,708982.8125,987686.25,10.0,7.0,5.0,10.677400638236147,6.829290921139828,4.814887493458922,782833.7291666666,7.440526350944965,Polyadenylate-binding protein,Other
A0A8J5M6G1,"Alpha-1,4 glucan phosphorylase OS=Zingiber officinale OX=94328 GN=ZIOFF_000195 PE=3 SV=1",96.2,2200418.046875,1654824.3125,2575254.296875,17.0,12.0,17.0,18.15158108500145,11.707355864811134,16.370617477760334,2143498.8854166665,15.409851475857641,"Alpha-1,4 glucan phosphorylase",Other
A0A8J5M6F7,60S ribosomal protein L36 OS=Zingiber officinale OX=94328 GN=ZIOFF_000180 PE=3 SV=1,14.6,0.0,2633084.25,2895005.0,6.0,5.0,4.0,6.406440382941688,4.878064943671306,3.851909994767138,1842696.4166666667,5.045471773793377,60S ribosomal protein L36,Protein Synthesis
A0A8J5M5Z3,protein-disulfide reductase OS=Zingiber officinale OX=94328 GN=ZIOFF_008484 PE=3 SV=1,64.6,780181.75,0.0,460943.15625,12.0,8.0,9.0,12.812880765883376,7.804903909874088,8.66679748822606,413708.3020833333,9.761527387994507,protein-disulfide reductase,Antioxidant/Redox
A0A8J5M3A0,14-3-3 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_012310 PE=3 SV=1,29.4,1131494.390625,1288801.96875,466493.71875,9.0,9.0,4.0,9.609660574412533,8.78051689860835,3.851909994767138,962263.359375,7.414029155929341,14-3-3 domain-containing protein,Other
A0A8J5M299,RuBisCO large subunit-binding protein subunit alpha OS=Zingiber officinale OX=94328 GN=ZIOFF_012018 PE=3 SV=1,64.2,3658068.92578125,2357904.2109375,3276958.02929688,15.0,11.0,13.0,16.01610095735422,10.731742876076872,12.518707482993197,3097643.7220052104,13.088850438808095,RuBisCO large subunit-binding protein subunit alpha,Other
A0A8J5M1V6,Large ribosomal subunit protein uL15/eL18 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_005808 PE=3 SV=1,28.8,10190119.625,13074700.0,16261595.5,28.0,32.0,35.0,29.896721787061214,31.219615639496354,33.70421245421245,13175471.708333334,31.60684996025667,Large ribosomal subunit protein uL15/eL18 domain-containing protein,Protein Synthesis
