Accession,Description,MW_kDa,NormPSM_1,NormPSM_2,NormPSM_3,Mean,SD,SEM,Functional_Category
A0A8J5G3D1,UDP-arabinopyranose mutase OS=Zingiber officinale OX=94328 GN=ZIOFF_052092 PE=3 SV=1,59.3,18.15158108500145,17.5610337972167,12.518707482993197,16.077107455070447,3.0957784636076635,1.7873485293153306,Exosome Marker
A0A8J5IB55,Annexin OS=Zingiber officinale OX=94328 GN=ZIOFF_004311 PE=4 SV=1,38.7,16.01610095735422,13.658581842279656,13.481684981684982,14.385455927106284,1.4149471848186688,0.8169201380441616,Exosome Marker
A0A8J5H952,UDP-arabinopyranose mutase OS=Zingiber officinale OX=94328 GN=ZIOFF_019156 PE=3 SV=1,45.1,13.880620829706992,9.756129887342611,8.66679748822606,10.767849401758554,2.750212853749755,1.5878361314411902,Exosome Marker
A0A8J5GX75,UDP-arabinopyranose mutase OS=Zingiber officinale OX=94328 GN=ZIOFF_029189 PE=3 SV=1,71.1,10.677400638236149,8.78051689860835,7.703819989534276,9.053912508792925,1.5055246056888962,0.8692150363660894,Exosome Marker
A0A8J5G4A9,14-3-3 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_040616 PE=3 SV=1,29.4,9.609660574412532,10.731742876076872,6.740842490842491,9.0274153137773,2.0581736148501,1.1882870905726903,Other
A0A8J5IFF3,Ras-related protein Rab7 OS=Zingiber officinale OX=94328 GN=ZIOFF_007882 PE=3 SV=1,23.2,7.474180446765303,8.78051689860835,7.703819989534276,7.98617244496931,0.6974388239631597,0.4026664927584263,Exosome Marker
A0A8J5LU63,UDP-arabinopyranose mutase OS=Zingiber officinale OX=94328 GN=ZIOFF_012747 PE=3 SV=1,41.4,13.880620829706992,0.0,9.629774986917845,7.836798605541612,7.1118901765039695,4.106051707851623,Exosome Marker
A0A8J5M3A0,14-3-3 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_012310 PE=3 SV=1,29.4,9.609660574412532,8.78051689860835,3.851909994767138,7.414029155929341,3.1126177885376007,1.7970707180966017,Other
A0A8J5IGV0,Annexin OS=Zingiber officinale OX=94328 GN=ZIOFF_008762 PE=4 SV=1,34.9,0.0,9.756129887342611,9.629774986917845,6.461968291420152,5.596585301744712,3.2311900305050125,Exosome Marker
A0A8J5L138,14-3-3 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_032277 PE=3 SV=1,29.0,6.406440382941688,2.926838966202784,7.703819989534276,5.679033112892917,2.470167590813861,1.426151923499872,Other
