Accession,Description,MW_kDa,NormPSM_1,NormPSM_2,NormPSM_3,Mean,SD,SEM,Functional_Category,Marker_Group,Global_Rank
A0A8J5G3D1,UDP-arabinopyranose mutase OS=Zingiber officinale OX=94328 GN=ZIOFF_052092 PE=3 SV=1,59.3,18.15158108500145,17.5610337972167,12.518707482993197,16.077107455070447,3.0957784636076635,1.7873485293153306,Exosome Marker,Classic EV Markers,159
A0A8J5IB55,Annexin OS=Zingiber officinale OX=94328 GN=ZIOFF_004311 PE=4 SV=1,38.7,16.01610095735422,13.658581842279656,13.481684981684982,14.385455927106284,1.4149471848186688,0.8169201380441616,Exosome Marker,Classic EV Markers,176
A0A8J5LZG6,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase OS=Zingiber officinale OX=94328 GN=ZIOFF_002989 PE=3 SV=1,112.5,0.0,15.609807819748177,18.296572475143904,11.302126764964028,9.879687653810626,5.704040326436988,Other,Classic EV Markers,217
A0A8J5H952,UDP-arabinopyranose mutase OS=Zingiber officinale OX=94328 GN=ZIOFF_019156 PE=3 SV=1,45.1,13.880620829706992,9.756129887342611,8.66679748822606,10.767849401758554,2.750212853749755,1.5878361314411902,Exosome Marker,Classic EV Markers,226
A0A8J5FCL2,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase OS=Zingiber officinale OX=94328 GN=ZIOFF_057497 PE=3 SV=1,84.7,13.880620829706992,0.0,16.370617477760334,10.083746102489108,8.821081136767047,5.092853568855985,Other,Classic EV Markers,237
A0A8J5GX75,UDP-arabinopyranose mutase OS=Zingiber officinale OX=94328 GN=ZIOFF_029189 PE=3 SV=1,71.1,10.677400638236149,8.78051689860835,7.703819989534276,9.053912508792925,1.5055246056888962,0.8692150363660894,Exosome Marker,Classic EV Markers,249
A0A8J5IFF3,Ras-related protein Rab7 OS=Zingiber officinale OX=94328 GN=ZIOFF_007882 PE=3 SV=1,23.2,7.474180446765303,8.78051689860835,7.703819989534276,7.98617244496931,0.6974388239631597,0.4026664927584263,Exosome Marker,Classic EV Markers,266
A0A8J5LU63,UDP-arabinopyranose mutase OS=Zingiber officinale OX=94328 GN=ZIOFF_012747 PE=3 SV=1,41.4,13.880620829706992,0.0,9.629774986917845,7.836798605541612,7.1118901765039695,4.106051707851623,Exosome Marker,Classic EV Markers,270
A0A8J5IGV0,Annexin OS=Zingiber officinale OX=94328 GN=ZIOFF_008762 PE=4 SV=1,34.9,0.0,9.756129887342611,9.629774986917845,6.461968291420152,5.596585301744712,3.2311900305050125,Exosome Marker,Classic EV Markers,296
A0A8J5HAI9,Ras-related protein Rab7 OS=Zingiber officinale OX=94328 GN=ZIOFF_025274 PE=3 SV=1,26.9,5.3387003191180735,4.878064943671306,4.814887493458922,5.010550918749434,0.2859359531006163,0.165085199493633,Exosome Marker,Classic EV Markers,336
A0A8J5IE53,non-reducing end alpha-L-arabinofuranosidase OS=Zingiber officinale OX=94328 GN=ZIOFF_007650 PE=3 SV=1,93.7,2.135480127647229,2.926838966202784,2.8889324960753533,2.6504171966417887,0.4463511665582505,0.2577009661655094,Exosome Marker,Classic EV Markers,413
A0A8J5HHL6,Protein argonaute 1-like OS=Zingiber officinale OX=94328 GN=ZIOFF_009390 PE=3 SV=1,132.0,13.880620829706992,11.707355864811134,10.592752485609628,12.060243060042586,1.6720994562071134,0.9653870711530038,Other,RNA-binding / Cargo,204
A0A8J5LXG5,Polyadenylate-binding protein OS=Zingiber officinale OX=94328 GN=ZIOFF_008757 PE=3 SV=1,73.5,11.745140702059762,8.78051689860835,5.777864992150707,8.767840864272939,2.983658050263553,1.722615778489457,Other,RNA-binding / Cargo,252
